일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","15200","-300","-1.94","4169","3.65","3859","3.94","46904","0.32","600","3.95"
"2022/07/14","15500","0","0.00","4169","3.72","3859","4.02","46904","0.33","600","3.87"
"2022/07/13","15500","300","1.97","4169","3.72","3859","4.02","46904","0.33","600","3.87"
"2022/07/12","15200","-750","-4.70","4169","3.65","3859","3.94","46904","0.32","600","3.95"
"2022/07/11","15950","-200","-1.24","4169","3.83","3859","4.13","46904","0.34","600","3.76"
"2022/07/08","16150","100","0.62","4169","3.87","3859","4.18","46904","0.34","600","3.72"
"2022/07/07","16050","50","0.31","4169","3.85","3859","4.16","46904","0.34","600","3.74"
"2022/07/06","16000","0","0.00","4169","3.84","3859","4.15","46904","0.34","600","3.75"
"2022/07/05","16000","-300","-1.84","4169","3.84","3859","4.15","46904","0.34","600","3.75"
"2022/07/04","16300","850","5.50","4169","3.91","3859","4.22","46904","0.35","600","3.68"
"2022/07/01","15450","-50","-0.32","4169","3.71","3839","4.02","46904","0.33","600","3.88"
"2022/06/30","15500","-400","-2.52","4169","3.72","3839","4.04","46904","0.33","600","3.87"
"2022/06/29","15900","-200","-1.24","4169","3.81","3839","4.14","46904","0.34","600","3.77"
"2022/06/28","16100","50","0.31","4169","3.86","3839","4.19","46904","0.34","600","3.73"
"2022/06/27","16050","400","2.56","4169","3.85","3839","4.18","46904","0.34","600","3.74"
"2022/06/24","15650","700","4.68","4169","3.75","3839","4.08","46904","0.33","600","3.83"
"2022/06/23","14950","-550","-3.55","4169","3.59","3839","3.89","46904","0.32","600","4.01"
"2022/06/22","15500","-750","-4.62","4169","3.72","3839","4.04","46904","0.33","600","3.87"
"2022/06/21","16250","300","1.88","4169","3.90","3839","4.23","46904","0.35","600","3.69"
"2022/06/20","15950","-450","-2.74","4169","3.83","3839","4.15","46904","0.34","600","3.76"
"2022/06/17","16400","-550","-3.24","4169","3.93","3839","4.27","46904","0.35","600","3.66"
"2022/06/16","16950","50","0.30","4169","4.07","3839","4.42","46904","0.36","600","3.54"
"2022/06/15","16900","-350","-2.03","4169","4.05","3839","4.40","46904","0.36","600","3.55"
"2022/06/14","17250","-50","-0.29","4169","4.14","3839","4.49","46904","0.37","600","3.48"
"2022/06/13","17300","-700","-3.89","4169","4.15","3839","4.51","46904","0.37","600","3.47"
"2022/06/10","18000","-400","-2.17","4169","4.32","3839","4.69","46904","0.38","600","3.33"
"2022/06/09","18400","-200","-1.08","4169","4.41","3839","4.79","46904","0.39","600","3.26"
"2022/06/08","18600","-100","-0.53","4169","4.46","3839","4.85","46904","0.40","600","3.23"
"2022/06/07","18700","-450","-2.35","4169","4.49","3839","4.87","46904","0.40","600","3.21"
"2022/06/03","19150","-200","-1.03","4169","4.59","3839","4.99","46904","0.41","600","3.13"
"2022/06/02","19350","-150","-0.77","4169","4.64","3819","5.07","46904","0.41","600","3.10"
"2022/05/31","19500","150","0.78","4169","4.68","3819","5.11","46904","0.42","600","3.08"
"2022/05/30","19350","-50","-0.26","4169","4.64","3819","5.07","46904","0.41","600","3.10"
"2022/05/27","19400","450","2.37","4169","4.65","3819","5.08","46904","0.41","600","3.09"
"2022/05/26","18950","-200","-1.04","4169","4.55","3819","4.96","46904","0.40","600","3.17"
"2022/05/25","19150","-50","-0.26","4169","4.59","3819","5.01","46904","0.41","600","3.13"
"2022/05/24","19200","-300","-1.54","4169","4.61","3819","5.03","46904","0.41","600","3.13"
"2022/05/23","19500","-150","-0.76","4169","4.68","3819","5.11","46904","0.42","600","3.08"
"2022/05/20","19650","-250","-1.26","4169","4.71","3819","5.15","46904","0.42","600","3.05"
"2022/05/19","19900","-400","-1.97","4169","4.77","3819","5.21","46904","0.42","600","3.02"
"2022/05/18","20300","250","1.25","4169","4.87","3819","5.32","46904","0.43","600","2.96"
"2022/05/17","20050","1000","5.25","4169","4.81","3819","5.25","46904","0.43","600","2.99"
"2022/05/16","19050","-250","-1.30","4169","4.57","3819","4.99","46904","0.41","600","3.15"
"2022/05/13","19300","-50","-0.26","4169","4.63","3819","5.05","46904","0.41","600","3.11"
"2022/05/12","19350","-200","-1.02","4169","4.64","3819","5.07","46904","0.41","600","3.10"
"2022/05/11","19550","150","0.77","4169","4.69","3819","5.12","46904","0.42","600","3.07"
"2022/05/10","19400","650","3.47","4169","4.65","3819","5.08","46904","0.41","600","3.09"
"2022/05/09","18750","-450","-2.34","4169","4.50","3819","4.91","46904","0.40","600","3.20"
"2022/05/06","19200","-350","-1.79","4169","4.61","3819","5.03","46904","0.41","600","3.13"
"2022/05/04","19550","-200","-1.01","4169","4.69","3819","5.12","46904","0.42","600","3.07"
"2022/05/03","19750","400","2.07","4169","4.74","3819","5.17","46904","0.42","600","3.04"
"2022/05/02","19350","-200","-1.02","4169","4.64","3798","5.09","46904","0.41","600","3.10"
"2022/04/29","19550","50","0.26","605","32.31","3798","5.15","42186","0.46","500","2.56"
"2022/04/28","19500","250","1.30","605","32.23","3798","5.13","42186","0.46","500","2.56"
"2022/04/27","19250","200","1.05","605","31.82","3798","5.07","42186","0.46","500","2.60"
"2022/04/26","19050","200","1.06","605","31.49","3798","5.02","42186","0.45","500","2.62"
"2022/04/25","18850","-900","-4.56","605","31.16","3798","4.96","42186","0.45","500","2.65"
"2022/04/22","19750","100","0.51","605","32.64","3798","5.20","42186","0.47","500","2.53"
"2022/04/21","19650","350","1.81","605","32.48","3798","5.17","42186","0.47","500","2.54"
"2022/04/20","19300","0","0.00","605","31.90","0","0","42186","0.46","500","2.59"
"2022/04/19","19300","650","3.49","605","31.90","0","0","42186","0.46","500","2.59"
"2022/04/18","18650","550","3.04","605","30.83","0","0","42186","0.44","500","2.68"
