일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","51800","-1000","-1.89","10004","5.18","11778","4.40","127727","0.41","1450","2.80"
"2022/07/14","52800","1100","2.13","10004","5.28","11926","4.43","127727","0.41","1450","2.75"
"2022/07/13","51700","-600","-1.15","10004","5.17","11926","4.33","127727","0.40","1450","2.80"
"2022/07/12","52300","-600","-1.13","10004","5.23","11926","4.39","127727","0.41","1450","2.77"
"2022/07/11","52900","-2500","-4.51","10004","5.29","11926","4.44","127727","0.41","1450","2.74"
"2022/07/08","55400","1600","2.97","10004","5.54","11926","4.65","127727","0.43","1450","2.62"
"2022/07/07","53800","700","1.32","10004","5.38","11926","4.51","127727","0.42","1450","2.70"
"2022/07/06","53100","-9000","-14.49","10004","5.31","11926","4.45","127727","0.42","1450","2.73"
"2022/07/05","62100","900","1.47","10004","6.21","11926","5.21","127727","0.49","1450","2.33"
"2022/07/04","61200","-2700","-4.23","10004","6.12","11926","5.13","127727","0.48","1450","2.37"
"2022/07/01","63900","300","0.47","10004","6.39","11910","5.37","127727","0.50","1450","2.27"
"2022/06/30","63600","-1900","-2.90","10004","6.36","11910","5.34","127727","0.50","1450","2.28"
"2022/06/29","65500","1400","2.18","10004","6.55","11910","5.50","127727","0.51","1450","2.21"
"2022/06/28","64100","2200","3.55","10004","6.41","11910","5.38","127727","0.50","1450","2.26"
"2022/06/27","61900","3200","5.45","10004","6.19","11910","5.20","127727","0.48","1450","2.34"
"2022/06/24","58700","200","0.34","10004","5.87","11910","4.93","127727","0.46","1450","2.47"
"2022/06/23","58500","-2700","-4.41","10004","5.85","11910","4.91","127727","0.46","1450","2.48"
"2022/06/22","61200","-1500","-2.39","10004","6.12","11910","5.14","127727","0.48","1450","2.37"
"2022/06/21","62700","2300","3.81","10004","6.27","11910","5.26","127727","0.49","1450","2.31"
"2022/06/20","60400","-2300","-3.67","10004","6.04","12004","5.03","127727","0.47","1450","2.40"
"2022/06/17","62700","0","0.00","10004","6.27","12004","5.22","127727","0.49","1450","2.31"
"2022/06/16","62700","1800","2.96","10004","6.27","12004","5.22","127727","0.49","1450","2.31"
"2022/06/15","60900","-1300","-2.09","10004","6.09","12004","5.07","127727","0.48","1450","2.38"
"2022/06/14","62200","-1700","-2.66","10004","6.22","12004","5.18","127727","0.49","1450","2.33"
"2022/06/13","63900","-2400","-3.62","10004","6.39","12004","5.32","127727","0.50","1450","2.27"
"2022/06/10","66300","-500","-0.75","10004","6.63","12004","5.52","127727","0.52","1450","2.19"
"2022/06/09","66800","-1900","-2.77","10004","6.68","12004","5.56","127727","0.52","1450","2.17"
"2022/06/08","68700","1100","1.63","10004","6.87","12004","5.72","127727","0.54","1450","2.11"
"2022/06/07","67600","-700","-1.02","10004","6.76","12004","5.63","127727","0.53","1450","2.14"
"2022/06/03","68300","1600","2.40","10004","6.83","12004","5.69","127727","0.53","1450","2.12"
"2022/06/02","66700","700","1.06","10004","6.67","11994","5.56","127727","0.52","1450","2.17"
"2022/05/31","66000","4200","6.80","10004","6.60","11994","5.50","127727","0.52","1450","2.20"
"2022/05/30","61800","2200","3.69","10004","6.18","11603","5.33","127727","0.48","1450","2.35"
"2022/05/27","59600","800","1.36","10004","5.96","11276","5.29","127727","0.47","1450","2.43"
"2022/05/26","58800","-300","-0.51","10004","5.88","11276","5.21","127727","0.46","1450","2.47"
"2022/05/25","59100","-200","-0.34","10004","5.91","11276","5.24","127727","0.46","1450","2.45"
"2022/05/24","59300","0","0.00","10004","5.93","11276","5.26","127727","0.46","1450","2.45"
"2022/05/23","59300","-1400","-2.31","10004","5.93","11276","5.26","127727","0.46","1450","2.45"
"2022/05/20","60700","200","0.33","10004","6.07","10368","5.85","127727","0.48","1450","2.39"
"2022/05/19","60500","1100","1.85","10004","6.05","10368","5.84","127727","0.47","1450","2.40"
"2022/05/18","59400","-1200","-1.98","10004","5.94","10368","5.73","127727","0.47","1450","2.44"
"2022/05/17","60600","1200","2.02","10004","6.06","9308","6.51","127727","0.47","1450","2.39"
"2022/05/16","59400","-400","-0.67","10004","5.94","8732","6.80","127727","0.47","1450","2.44"
"2022/05/13","59800","700","1.18","10004","5.98","8732","6.85","127727","0.47","1450","2.42"
"2022/05/12","59100","-100","-0.17","10004","5.91","8732","6.77","127727","0.46","1450","2.45"
"2022/05/11","59200","800","1.37","10004","5.92","8732","6.78","127727","0.46","1450","2.45"
"2022/05/10","58400","2000","3.55","10004","5.84","8732","6.69","127727","0.46","1450","2.48"
"2022/05/09","56400","-400","-0.70","10004","5.64","8732","6.46","127727","0.44","1450","2.57"
"2022/05/06","56800","-400","-0.70","10004","5.68","8732","6.50","127727","0.44","1450","2.55"
"2022/05/04","57200","600","1.06","10004","5.72","8732","6.55","127727","0.45","1450","2.53"
"2022/05/03","56600","-900","-1.57","10004","5.66","8732","6.48","127727","0.44","1450","2.56"
"2022/05/02","57500","-200","-0.35","10004","5.75","8688","6.62","127727","0.45","1450","2.52"
"2022/04/29","57700","600","1.05","4568","12.63","8688","6.64","101468","0.57","1450","2.51"
"2022/04/28","57100","-200","-0.35","4568","12.50","8688","6.57","101468","0.56","1450","2.54"
"2022/04/27","57300","600","1.06","4568","12.54","8688","6.60","101468","0.56","1450","2.53"
"2022/04/26","56700","-800","-1.39","4568","12.41","8688","6.53","101468","0.56","1450","2.56"
"2022/04/25","57500","-1900","-3.20","4568","12.59","8688","6.62","101468","0.57","1450","2.52"
"2022/04/22","59400","100","0.17","4568","13.00","8688","6.84","101468","0.59","1450","2.44"
"2022/04/21","59300","-300","-0.50","4568","12.98","8688","6.83","101468","0.58","1450","2.45"
"2022/04/20","59600","-300","-0.50","4568","13.05","8688","6.86","101468","0.59","1450","2.43"
"2022/04/19","59900","600","1.01","4568","13.11","8688","6.89","101468","0.59","1450","2.42"
"2022/04/18","59300","-1100","-1.82","4568","12.98","8688","6.83","101468","0.58","1450","2.45"
"2022/04/15","60400","1000","1.68","4568","13.22","8740","6.91","101468","0.60","1450","2.40"
"2022/04/14","59400","4300","7.80","4568","13.00","8707","6.82","101468","0.59","1450","2.44"
"2022/04/13","55100","1400","2.61","4568","12.06","8707","6.33","101468","0.54","1450","2.63"
"2022/04/12","53700","-400","-0.74","4568","11.76","8421","6.38","101468","0.53","1450","2.70"
"2022/04/11","54100","1700","3.24","4568","11.84","8421","6.42","101468","0.53","1450","2.68"
"2022/04/08","52400","1500","2.95","4568","11.47","8421","6.22","101468","0.52","1450","2.77"
"2022/04/07","50900","400","0.79","4568","11.14","8421","6.04","101468","0.50","1450","2.85"
"2022/04/06","50500","-1100","-2.13","4568","11.06","8421","6.00","101468","0.50","1450","2.87"
"2022/04/05","51600","-100","-0.19","4568","11.30","8421","6.13","101468","0.51","1450","2.81"
"2022/04/04","51700","-600","-1.15","4568","11.32","8421","6.14","101468","0.51","1450","2.80"
"2022/04/01","52300","-500","-0.95","4568","11.45","8351","6.26","101468","0.52","1450","2.77"
"2022/03/31","52800","1400","2.72","4568","11.56","8351","6.32","101468","0.52","1450","2.75"
