일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","4840","-45","-0.92","771","6.28","0","0","4960","0.98","75","1.55"
"2022/07/14","4885","80","1.66","771","6.34","0","0","4960","0.98","75","1.54"
"2022/07/13","4805","5","0.10","771","6.23","0","0","4960","0.97","75","1.56"
"2022/07/12","4800","-95","-1.94","771","6.23","0","0","4960","0.97","75","1.56"
"2022/07/11","4895","45","0.93","771","6.35","0","0","4960","0.99","75","1.53"
"2022/07/08","4850","80","1.68","771","6.29","0","0","4960","0.98","75","1.55"
"2022/07/07","4770","135","2.91","771","6.19","0","0","4960","0.96","75","1.57"
"2022/07/06","4635","45","0.98","771","6.01","0","0","4960","0.93","75","1.62"
"2022/07/05","4590","410","9.81","771","5.95","0","0","4960","0.93","75","1.63"
"2022/07/04","4180","-115","-2.68","771","5.42","0","0","4960","0.84","75","1.79"
"2022/07/01","4295","-75","-1.72","771","5.57","0","0","4960","0.87","75","1.75"
"2022/06/30","4370","-115","-2.56","771","5.67","0","0","4960","0.88","75","1.72"
"2022/06/29","4485","-130","-2.82","771","5.82","0","0","4960","0.90","75","1.67"
"2022/06/28","4615","-125","-2.64","771","5.99","0","0","4960","0.93","75","1.63"
"2022/06/27","4740","135","2.93","771","6.15","0","0","4960","0.96","75","1.58"
"2022/06/24","4605","60","1.32","771","5.97","0","0","4960","0.93","75","1.63"
"2022/06/23","4545","-225","-4.72","771","5.89","0","0","4960","0.92","75","1.65"
"2022/06/22","4770","-40","-0.83","771","6.19","0","0","4960","0.96","75","1.57"
"2022/06/21","4810","265","5.83","771","6.24","0","0","4960","0.97","75","1.56"
"2022/06/20","4545","-335","-6.86","771","5.89","0","0","4960","0.92","75","1.65"
"2022/06/17","4880","-105","-2.11","771","6.33","0","0","4960","0.98","75","1.54"
"2022/06/16","4985","85","1.73","771","6.47","0","0","4960","1.01","75","1.50"
"2022/06/15","4900","-140","-2.78","771","6.36","0","0","4960","0.99","75","1.53"
"2022/06/14","5040","-130","-2.51","771","6.54","0","0","4960","1.02","75","1.49"
"2022/06/13","5170","-370","-6.68","771","6.71","0","0","4960","1.04","75","1.45"
"2022/06/10","5540","-250","-4.32","771","7.19","0","0","4960","1.12","75","1.35"
"2022/06/09","5790","-50","-0.86","771","7.51","0","0","4960","1.17","75","1.30"
"2022/06/08","5840","280","5.04","771","7.57","0","0","4960","1.18","75","1.28"
"2022/06/07","5560","30","0.54","771","7.21","0","0","4960","1.12","75","1.35"
"2022/06/03","5530","-30","-0.54","771","7.17","0","0","4960","1.11","75","1.36"
"2022/06/02","5560","40","0.72","771","7.21","0","0","4960","1.12","75","1.35"
"2022/05/31","5520","0","0.00","771","7.16","0","0","4960","1.11","75","1.36"
"2022/05/30","5520","30","0.55","771","7.16","0","0","4960","1.11","75","1.36"
"2022/05/27","5490","0","0.00","771","7.12","0","0","4960","1.11","75","1.37"
"2022/05/26","5490","70","1.29","771","7.12","0","0","4960","1.11","75","1.37"
"2022/05/25","5420","-20","-0.37","771","7.03","0","0","4960","1.09","75","1.38"
"2022/05/24","5440","-160","-2.86","771","7.06","0","0","4960","1.10","75","1.38"
"2022/05/23","5600","40","0.72","771","7.26","0","0","4960","1.13","75","1.34"
"2022/05/20","5560","-70","-1.24","771","7.21","0","0","4960","1.12","75","1.35"
"2022/05/19","5630","-30","-0.53","771","7.30","0","0","4960","1.14","75","1.33"
"2022/05/18","5660","-10","-0.18","771","7.34","0","0","4960","1.14","75","1.33"
"2022/05/17","5670","240","4.42","771","7.35","0","0","4960","1.14","75","1.32"
"2022/05/16","5430","310","6.05","771","7.04","0","0","4960","1.09","75","1.38"
"2022/05/13","5120","125","2.50","771","6.64","0","0","4960","1.03","75","1.46"
"2022/05/12","4995","-35","-0.70","771","6.48","0","0","4960","1.01","75","1.50"
"2022/05/11","5030","-130","-2.52","771","6.52","0","0","4960","1.01","75","1.49"
"2022/05/10","5160","-10","-0.19","771","6.69","0","0","4960","1.04","75","1.45"
"2022/05/09","5170","-330","-6.00","771","6.71","0","0","4960","1.04","75","1.45"
"2022/05/06","5500","-170","-3.00","771","7.13","0","0","4960","1.11","75","1.36"
"2022/05/04","5670","-100","-1.73","771","7.35","0","0","4960","1.14","75","1.32"
"2022/05/03","5770","-120","-2.04","771","7.48","0","0","4960","1.16","75","1.30"
"2022/05/02","5890","-80","-1.34","771","7.64","0","0","4960","1.19","75","1.27"
"2022/04/29","5970","-20","-0.33","424","14.08","0","0","4246","1.41","50","0.84"
"2022/04/28","5990","150","2.57","424","14.13","0","0","4246","1.41","50","0.83"
"2022/04/27","5840","-220","-3.63","424","13.77","0","0","4246","1.38","50","0.86"
"2022/04/26","6060","240","4.12","424","14.29","0","0","4246","1.43","50","0.83"
"2022/04/25","5820","420","7.78","424","13.73","0","0","4246","1.37","50","0.86"
"2022/04/22","5400","-40","-0.74","424","12.74","0","0","4246","1.27","50","0.93"
"2022/04/21","5440","-160","-2.86","424","12.83","0","0","4246","1.28","50","0.92"
"2022/04/20","5600","310","5.86","424","13.21","0","0","4246","1.32","50","0.89"
"2022/04/19","5290","-20","-0.38","424","12.48","0","0","4246","1.25","50","0.95"
"2022/04/18","5310","40","0.76","424","12.52","0","0","4246","1.25","50","0.94"
"2022/04/15","5270","-10","-0.19","424","12.43","0","0","4246","1.24","50","0.95"
"2022/04/14","5280","160","3.13","424","12.45","0","0","4246","1.24","50","0.95"
"2022/04/13","5120","0","0.00","424","12.08","0","0","4246","1.21","50","0.98"
"2022/04/12","5120","-40","-0.78","424","12.08","0","0","4246","1.21","50","0.98"
"2022/04/11","5160","-30","-0.58","424","12.17","0","0","4246","1.22","50","0.97"
