일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","53500","-1400","-2.55","7191","7.44","5189","10.31","53218","1.01","3295","6.16"
"2022/07/14","54900","-900","-1.61","7191","7.63","5190","10.58","53218","1.03","3295","6.00"
"2022/07/13","55800","800","1.45","7191","7.76","5131","10.88","53218","1.05","3295","5.91"
"2022/07/12","55000","0","0.00","7191","7.65","5125","10.73","53218","1.03","3295","5.99"
"2022/07/11","55000","1000","1.85","7191","7.65","5157","10.67","53218","1.03","3295","5.99"
"2022/07/08","54000","200","0.37","7191","7.51","5157","10.47","53218","1.01","3295","6.10"
"2022/07/07","53800","0","0.00","7191","7.48","5197","10.35","53218","1.01","3295","6.12"
"2022/07/06","53800","-400","-0.74","7191","7.48","5197","10.35","53218","1.01","3295","6.12"
"2022/07/05","54200","600","1.12","7191","7.54","5197","10.43","53218","1.02","3295","6.08"
"2022/07/04","53600","800","1.52","7191","7.45","5197","10.31","53218","1.01","3295","6.15"
"2022/07/01","52800","800","1.54","7191","7.34","5130","10.29","53218","0.99","3295","6.24"
"2022/06/30","52000","-1000","-1.89","7191","7.23","5130","10.14","53218","0.98","3295","6.34"
"2022/06/29","53000","-1500","-2.75","7191","7.37","5130","10.33","53218","1.00","3295","6.22"
"2022/06/28","54500","400","0.74","7191","7.58","5130","10.62","53218","1.02","6660","12.22"
"2022/06/27","54100","-300","-0.55","7191","7.52","5130","10.55","53218","1.02","6660","12.31"
"2022/06/24","54400","800","1.49","7191","7.57","5130","10.60","53218","1.02","6660","12.24"
"2022/06/23","53600","1600","3.08","7191","7.45","5130","10.45","53218","1.01","6660","12.43"
"2022/06/22","52000","-600","-1.14","7191","7.23","5130","10.14","53218","0.98","6660","12.81"
"2022/06/21","52600","-100","-0.19","7191","7.31","5130","10.25","53218","0.99","6660","12.66"
"2022/06/20","52700","800","1.54","7191","7.33","5130","10.27","53218","0.99","6660","12.64"
"2022/06/17","51900","1000","1.96","7191","7.22","5130","10.12","53218","0.98","6660","12.83"
"2022/06/16","50900","-900","-1.74","7191","7.08","5130","9.92","53218","0.96","6660","13.08"
"2022/06/15","51800","-1900","-3.54","7191","7.20","5147","10.06","53218","0.97","6660","12.86"
"2022/06/14","53700","-1000","-1.83","7191","7.47","5147","10.43","53218","1.01","6660","12.40"
"2022/06/13","54700","-1100","-1.97","7191","7.61","5147","10.63","53218","1.03","6660","12.18"
"2022/06/10","55800","200","0.36","7191","7.76","5147","10.84","53218","1.05","6660","11.94"
"2022/06/09","55600","-500","-0.89","7191","7.73","5147","10.80","53218","1.04","6660","11.98"
"2022/06/08","56100","-100","-0.18","7191","7.80","5147","10.90","53218","1.05","6660","11.87"
"2022/06/07","56200","-400","-0.71","7191","7.82","5147","10.92","53218","1.06","6660","11.85"
"2022/06/03","56600","400","0.71","7191","7.87","5147","11.00","53218","1.06","6660","11.77"
"2022/06/02","56200","-900","-1.58","7191","7.82","5084","11.06","53218","1.06","6660","11.85"
"2022/05/31","57100","0","0.00","7191","7.94","5108","11.18","53218","1.07","6660","11.66"
"2022/05/30","57100","-100","-0.17","7191","7.94","5082","11.24","53218","1.07","6660","11.66"
"2022/05/27","57200","200","0.35","7191","7.95","5082","11.26","53218","1.07","6660","11.64"
"2022/05/26","57000","600","1.06","7191","7.93","5082","11.22","53218","1.07","6660","11.68"
"2022/05/25","56400","-100","-0.18","7191","7.84","5082","11.10","53218","1.06","6660","11.81"
"2022/05/24","56500","-800","-1.40","7191","7.86","5082","11.12","53218","1.06","6660","11.79"
"2022/05/23","57300","-900","-1.55","7191","7.97","5082","11.28","53218","1.08","6660","11.62"
"2022/05/20","58200","400","0.69","7191","8.09","5082","11.45","53218","1.09","6660","11.44"
"2022/05/19","57800","-1000","-1.70","7191","8.04","5082","11.37","53218","1.09","6660","11.52"
"2022/05/18","58800","-1700","-2.81","7191","8.18","5082","11.57","53218","1.10","6660","11.33"
"2022/05/17","60500","1400","2.37","7191","8.41","5082","11.91","53218","1.14","6660","11.01"
"2022/05/16","59100","-1900","-3.11","7191","8.22","5082","11.63","53218","1.11","6660","11.27"
"2022/05/13","61000","1200","2.01","7191","8.48","5082","12.00","53218","1.15","6660","10.92"
"2022/05/12","59800","200","0.34","7191","8.32","5145","11.62","53218","1.12","6660","11.14"
"2022/05/11","59600","500","0.85","7191","8.29","5299","11.25","53218","1.12","6660","11.17"
"2022/05/10","59100","1000","1.72","7191","8.22","5278","11.20","53218","1.11","6660","11.27"
"2022/05/09","58100","300","0.52","7191","8.08","5278","11.01","53218","1.09","6660","11.46"
"2022/05/06","57800","-400","-0.69","7191","8.04","5278","10.95","53218","1.09","6660","11.52"
"2022/05/04","58200","400","0.69","7191","8.09","5278","11.03","53218","1.09","6660","11.44"
"2022/05/03","57800","800","1.40","7191","8.04","5278","10.95","53218","1.09","6660","11.52"
"2022/05/02","57000","0","0.00","7191","7.93","5226","10.91","53218","1.07","6660","11.68"
"2022/04/29","57000","300","0.53","4093","13.93","5226","10.91","58812","0.97","2000","3.51"
"2022/04/28","56700","-100","-0.18","4093","13.85","5226","10.85","58812","0.96","2000","3.53"
"2022/04/27","56800","-2200","-3.73","4093","13.88","5226","10.87","58812","0.97","2000","3.52"
"2022/04/26","59000","-600","-1.01","4093","14.41","5226","11.29","58812","1.00","2000","3.39"
"2022/04/25","59600","-2000","-3.25","4093","14.56","5226","11.40","58812","1.01","2000","3.36"
"2022/04/22","61600","-400","-0.65","4093","15.05","5226","11.79","58812","1.05","2000","3.25"
"2022/04/21","62000","700","1.14","4093","15.15","5226","11.86","58812","1.05","2000","3.23"
"2022/04/20","61300","900","1.49","4093","14.98","5226","11.73","58812","1.04","2000","3.26"
"2022/04/19","60400","600","1.00","4093","14.76","5226","11.56","58812","1.03","2000","3.31"
"2022/04/18","59800","300","0.50","4093","14.61","5226","11.44","58812","1.02","2000","3.34"
"2022/04/15","59500","-1000","-1.65","4093","14.54","5253","11.33","58812","1.01","2000","3.36"
"2022/04/14","60500","-1000","-1.63","4093","14.78","5304","11.41","58812","1.03","2000","3.31"
"2022/04/13","61500","-1000","-1.60","4093","15.03","5305","11.59","58812","1.05","2000","3.25"
"2022/04/12","62500","0","0.00","4093","15.27","5294","11.81","58812","1.06","2000","3.20"
"2022/04/11","62500","2000","3.31","4093","15.27","5361","11.66","58812","1.06","2000","3.20"
"2022/04/08","60500","2500","4.31","4093","14.78","5233","11.56","58812","1.03","2000","3.31"
"2022/04/07","58000","100","0.17","4093","14.17","5233","11.08","58812","0.99","2000","3.45"
"2022/04/06","57900","200","0.35","4093","14.15","5233","11.06","58812","0.98","2000","3.45"
"2022/04/05","57700","-800","-1.37","4093","14.10","5228","11.04","58812","0.98","2000","3.47"
"2022/04/04","58500","1300","2.27","4093","14.29","5228","11.19","58812","0.99","2000","3.42"
"2022/04/01","57200","300","0.53","4093","13.98","5179","11.05","58812","0.97","2000","3.50"
"2022/03/31","56900","600","1.07","4093","13.90","5179","10.99","58812","0.97","2000","3.51"
"2022/03/30","56300","-2000","-3.43","4093","13.76","5179","10.87","58812","0.96","2000","3.55"
"2022/03/29","58300","300","0.52","4093","14.24","5173","11.27","58812","0.99","2000","3.43"
"2022/03/28","58000","1000","1.75","4093","14.17","5173","11.21","58812","0.99","2000","3.45"
"2022/03/25","57000","-300","-0.52","4093","13.93","5173","11.02","58812","0.97","2000","3.51"
"2022/03/24","57300","-800","-1.38","4093","14.00","5176","11.07","58812","0.97","2000","3.49"
"2022/03/23","58100","900","1.57","4093","14.19","5176","11.22","58812","0.99","2000","3.44"
"2022/03/22","57200","100","0.18","4093","13.98","5176","11.05","58812","0.97","2000","3.50"
"2022/03/21","57100","-1000","-1.72","4093","13.95","5176","11.03","58812","0.97","2000","3.50"
"2022/03/18","58100","900","1.57","4093","14.19","5176","11.22","58812","0.99","2000","3.44"
"2022/03/17","57200","-800","-1.38","4093","13.98","5176","11.05","58812","0.97","2000","3.50"
"2022/03/16","58000","200","0.35","4093","14.17","5109","11.35","58812","0.99","2000","3.45"
"2022/03/15","57800","-1500","-2.53","4093","14.12","5109","11.31","58812","0.98","2000","3.46"
"2022/03/14","59300","2200","3.85","4093","14.49","5109","11.61","58812","1.01","2000","3.37"
"2022/03/11","57100","100","0.18","4093","13.95","5109","11.18","58812","0.97","2000","3.50"
"2022/03/10","57000","800","1.42","4093","13.93","5109","11.16","58812","0.97","2000","3.51"
"2022/03/08","56200","-200","-0.35","4093","13.73","5090","11.04","58812","0.96","2000","3.56"
"2022/03/07","56400","0","0.00","4093","13.78","5090","11.08","58812","0.96","2000","3.55"
"2022/03/04","56400","1500","2.73","4093","13.78","5090","11.08","58812","0.96","2000","3.55"
"2022/03/03","54900","400","0.73","4093","13.41","5090","10.79","58812","0.93","2000","3.64"
"2022/03/02","54500","-100","-0.18","4093","13.32","5000","10.90","58812","0.93","2000","3.67"
"2022/02/28","54600","700","1.30","4093","13.34","5042","10.83","58812","0.93","2000","3.66"
"2022/02/25","53900","-100","-0.19","4093","13.17","5042","10.69","58812","0.92","2000","3.71"
"2022/02/24","54000","-1000","-1.82","4093","13.19","5009","10.78","58812","0.92","2000","3.70"
"2022/02/23","55000","0","0.00","4093","13.44","5009","10.98","58812","0.94","2000","3.64"
"2022/02/22","55000","300","0.55","4093","13.44","5009","10.98","58812","0.94","2000","3.64"
"2022/02/21","54700","-300","-0.55","4093","13.36","5009","10.92","58812","0.93","2000","3.66"
"2022/02/18","55000","-500","-0.90","4093","13.44","5009","10.98","58812","0.94","2000","3.64"
"2022/02/17","55500","200","0.36","4093","13.56","5009","11.08","58812","0.94","2000","3.60"
"2022/02/16","55300","500","0.91","4093","13.51","5009","11.04","58812","0.94","2000","3.62"
"2022/02/15","54800","100","0.18","4093","13.39","5009","10.94","58812","0.93","2000","3.65"
"2022/02/14","54700","-200","-0.36","4093","13.36","5011","10.92","58812","0.93","2000","3.66"
"2022/02/11","54900","-700","-1.26","4093","13.41","5011","10.96","58812","0.93","2000","3.64"
"2022/02/10","55600","-600","-1.07","4093","13.58","5021","11.07","58812","0.95","2000","3.60"
"2022/02/09","56200","300","0.54","4093","13.73","5021","11.19","58812","0.96","2000","3.56"
"2022/02/08","55900","500","0.90","4093","13.66","5021","11.13","58812","0.95","2000","3.58"
"2022/02/07","55400","-1000","-1.77","4093","13.54","5021","11.03","58812","0.94","2000","3.61"
"2022/02/04","56400","100","0.18","4093","13.78","5021","11.23","58812","0.96","2000","3.55"
"2022/02/03","56300","-100","-0.18","4093","13.76","4971","11.32","58812","0.96","2000","3.55"
"2022/01/28","56400","900","1.62","4093","13.78","4971","11.34","58812","0.96","2000","3.55"
"2022/01/27","55500","-1100","-1.94","4093","13.56","4936","11.24","58812","0.94","2000","3.60"
"2022/01/26","56600","300","0.53","4093","13.83","4936","11.47","58812","0.96","2000","3.53"
"2022/01/25","56300","0","0.00","4093","13.76","5000","11.26","58812","0.96","2000","3.55"
"2022/01/24","56300","-1000","-1.75","4093","13.76","5000","11.26","58812","0.96","2000","3.55"
"2022/01/21","57300","500","0.88","4093","14.00","5000","11.46","58812","0.97","2000","3.49"
"2022/01/20","56800","1000","1.79","4093","13.88","5000","11.36","58812","0.97","2000","3.52"
"2022/01/19","55800","-400","-0.71","4093","13.63","5080","10.98","58812","0.95","2000","3.58"
"2022/01/18","56200","400","0.72","4093","13.73","5080","11.06","58812","0.96","2000","3.56"
"2022/01/17","55800","-500","-0.89","4093","13.63","5214","10.70","58812","0.95","2000","3.58"
"2022/01/14","56300","0","0.00","4093","13.76","5214","10.80","58812","0.96","2000","3.55"
"2022/01/13","56300","200","0.36","4093","13.76","5260","10.70","58812","0.96","2000","3.55"
"2022/01/12","56100","-100","-0.18","4093","13.71","5260","10.67","58812","0.95","2000","3.57"
"2022/01/11","56200","-300","-0.53","4093","13.73","5260","10.69","58812","0.96","2000","3.56"
"2022/01/10","56500","100","0.18","4093","13.80","5260","10.74","58812","0.96","2000","3.54"
"2022/01/07","56400","-1500","-2.59","4093","13.78","5260","10.72","58812","0.96","2000","3.55"
"2022/01/06","57900","-400","-0.69","4093","14.15","5260","11.01","58812","0.98","2000","3.45"
"2022/01/05","58300","1100","1.92","4093","14.24","5260","11.08","58812","0.99","2000","3.43"
"2022/01/04","57200","0","0.00","4093","13.98","5260","10.88","58812","0.97","2000","3.50"
"2022/01/03","57200","-700","-1.21","4093","13.98","3236","17.68","58812","0.97","2000","3.50"
"2021/12/30","57900","-400","-0.69","4093","14.15","3236","17.90","58812","0.98","2000","3.45"
"2021/12/29","58300","-3000","-4.89","4093","14.24","3236","18.02","58812","0.99","2000","3.43"
"2021/12/28","61300","0","0.00","4093","14.98","3236","18.95","58812","1.04","2000","3.26"
"2021/12/27","61300","-400","-0.65","4093","14.98","3236","18.95","58812","1.04","2000","3.26"
"2021/12/24","61700","-1000","-1.59","4093","15.07","3236","19.07","58812","1.05","2000","3.24"
"2021/12/23","62700","100","0.16","4093","15.32","3236","19.38","58812","1.07","2000","3.19"
"2021/12/22","62600","800","1.29","4093","15.29","3236","19.35","58812","1.06","2000","3.19"
"2021/12/21","61800","800","1.31","4093","15.10","3236","19.10","58812","1.05","2000","3.24"
"2021/12/20","61000","100","0.16","4093","14.90","3236","18.85","58812","1.04","2000","3.28"
"2021/12/17","60900","2200","3.75","4093","14.88","3236","18.82","58812","1.04","2000","3.28"
"2021/12/16","58700","2700","4.82","4093","14.34","3236","18.14","58812","1.00","2000","3.41"
"2021/12/15","56000","-200","-0.36","4093","13.68","3236","17.31","58812","0.95","2000","3.57"
"2021/12/14","56200","200","0.36","4093","13.73","3236","17.37","58812","0.96","2000","3.56"
"2021/12/13","56000","200","0.36","4093","13.68","3232","17.32","58812","0.95","2000","3.57"
"2021/12/10","55800","-100","-0.18","4093","13.63","3232","17.26","58812","0.95","2000","3.58"
"2021/12/09","55900","800","1.45","4093","13.66","3299","16.94","58812","0.95","2000","3.58"
"2021/12/08","55100","-700","-1.25","4093","13.46","3299","16.70","58812","0.94","2000","3.63"
"2021/12/07","55800","100","0.18","4093","13.63","3299","16.91","58812","0.95","2000","3.58"
"2021/12/06","55700","-1100","-1.94","4093","13.61","3299","16.88","58812","0.95","2000","3.59"
"2021/12/03","56800","1400","2.53","4093","13.88","3336","17.02","58812","0.97","2000","3.52"
"2021/12/02","55400","800","1.47","4093","13.54","3588","15.44","58812","0.94","2000","3.61"
"2021/12/01","54600","100","0.18","4093","13.34","3689","14.80","58812","0.93","2000","3.66"
"2021/11/30","54500","-3400","-5.87","4093","13.32","3689","14.77","58812","0.93","2000","3.67"
"2021/11/29","57900","4500","8.43","4093","14.15","8104","7.14","58812","0.98","2000","3.45"
"2021/11/26","309500","0","0.00","20463","15.12","0","0","294058","1.05","10000","3.23"
"2021/11/25","309500","0","0.00","20463","15.12","0","0","294058","1.05","10000","3.23"
"2021/11/24","309500","0","0.00","20463","15.12","0","0","294058","1.05","10000","3.23"
"2021/11/23","309500","0","0.00","20463","15.12","0","0","294058","1.05","10000","3.23"
"2021/11/22","309500","0","0.00","20463","15.12","0","0","294058","1.05","10000","3.23"
"2021/11/19","309500","0","0.00","20463","15.12","0","0","294058","1.05","10000","3.23"
"2021/11/18","309500","0","0.00","20463","15.12","0","0","294058","1.05","10000","3.23"
"2021/11/17","309500","0","0.00","20463","15.12","0","0","294058","1.05","10000","3.23"
