일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","5810","-470","-7.48","183","31.75","0","0","4323","1.34","40","0.69"
"2022/07/14","6280","-350","-5.28","183","34.32","0","0","4323","1.45","40","0.64"
"2022/07/13","6630","60","0.91","183","36.23","0","0","4323","1.53","40","0.60"
"2022/07/12","6570","-330","-4.78","183","35.90","0","0","4323","1.52","40","0.61"
"2022/07/11","6900","-170","-2.40","183","37.70","0","0","4323","1.60","40","0.58"
"2022/07/08","7070","290","4.28","183","38.63","0","0","4323","1.64","40","0.57"
"2022/07/07","6780","580","9.35","183","37.05","0","0","4323","1.57","40","0.59"
"2022/07/06","6200","-640","-9.36","183","33.88","0","0","4323","1.43","40","0.65"
"2022/07/05","6840","-30","-0.44","183","37.38","0","0","4323","1.58","40","0.58"
"2022/07/04","6870","-260","-3.65","183","37.54","0","0","4323","1.59","40","0.58"
"2022/07/01","7130","-850","-10.65","183","38.96","0","0","4323","1.65","40","0.56"
"2022/06/30","7980","380","5.00","183","43.61","0","0","4323","1.85","40","0.50"
"2022/06/29","7600","500","7.04","183","41.53","0","0","4323","1.76","40","0.53"
"2022/06/28","7100","-350","-4.70","183","38.80","0","0","4323","1.64","40","0.56"
"2022/06/27","7450","450","6.43","183","40.71","0","0","4323","1.72","40","0.54"
"2022/06/24","7000","140","2.04","183","38.25","0","0","4323","1.62","40","0.57"
"2022/06/23","6860","-1760","-20.42","183","37.49","0","0","4323","1.59","40","0.58"
"2022/06/22","8620","-670","-7.21","183","47.10","0","0","4323","1.99","40","0.46"
"2022/06/21","9290","90","0.98","183","50.77","0","0","4323","2.15","40","0.43"
"2022/06/20","9200","1730","23.16","183","50.27","0","0","4323","2.13","40","0.43"
"2022/06/17","7470","460","6.56","183","40.82","0","0","4323","1.73","40","0.54"
"2022/06/16","7010","250","3.70","183","38.31","0","0","4323","1.62","40","0.57"
"2022/06/15","6760","120","1.81","183","36.94","0","0","4323","1.56","40","0.59"
"2022/06/14","6640","-1120","-14.43","183","36.28","0","0","4323","1.54","40","0.60"
"2022/06/13","7760","950","13.95","183","42.40","0","0","4323","1.80","40","0.52"
"2022/06/10","6810","430","6.74","183","37.21","0","0","4323","1.58","40","0.59"
"2022/06/09","6380","-410","-6.04","183","34.86","0","0","4323","1.48","40","0.63"
"2022/06/08","6790","-280","-3.96","183","37.10","0","0","4323","1.57","40","0.59"
"2022/06/07","7070","110","1.58","183","38.63","0","0","4323","1.64","40","0.57"
"2022/06/03","6960","-340","-4.66","183","38.03","0","0","4323","1.61","40","0.57"
"2022/06/02","7300","20","0.27","183","39.89","0","0","4323","1.69","40","0.55"
"2022/05/31","7280","60","0.83","183","39.78","0","0","4323","1.68","40","0.55"
"2022/05/30","7220","-70","-0.96","183","39.45","0","0","4323","1.67","40","0.55"
"2022/05/27","7290","800","12.33","183","39.84","0","0","4323","1.69","40","0.55"
"2022/05/26","6490","-510","-7.29","183","35.46","0","0","4323","1.50","40","0.62"
"2022/05/25","7000","-360","-4.89","183","38.25","0","0","4323","1.62","40","0.57"
"2022/05/24","7360","-760","-9.36","183","40.22","0","0","4323","1.70","40","0.54"
"2022/05/23","8120","520","6.84","183","44.37","0","0","4323","1.88","40","0.49"
"2022/05/20","7600","1510","24.79","183","41.53","0","0","4323","1.76","40","0.53"
"2022/05/19","6090","-280","-4.40","183","33.28","0","0","4323","1.41","40","0.66"
"2022/05/18","6370","120","1.92","183","34.81","0","0","4323","1.47","40","0.63"
"2022/05/17","6250","-800","-11.35","183","34.15","0","0","4323","1.45","40","0.64"
"2022/05/16","7050","940","15.38","183","38.52","0","0","4323","1.63","40","0.57"
"2022/05/13","6110","-280","-4.38","183","33.39","0","0","4323","1.41","40","0.65"
"2022/05/12","6390","-610","-8.71","183","34.92","0","0","4323","1.48","40","0.63"
"2022/05/11","7000","180","2.64","183","38.25","0","0","4323","1.62","40","0.57"
