일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","6650","-200","-2.92","631","10.54","0","0","7407","0.90","120","1.80"
"2022/07/14","6850","-60","-0.87","631","10.86","0","0","7407","0.92","120","1.75"
"2022/07/13","6910","80","1.17","631","10.95","0","0","7407","0.93","120","1.74"
"2022/07/12","6830","-320","-4.48","631","10.82","0","0","7407","0.92","120","1.76"
"2022/07/11","7150","30","0.42","631","11.33","0","0","7407","0.97","120","1.68"
"2022/07/08","7120","80","1.14","631","11.28","0","0","7407","0.96","120","1.69"
"2022/07/07","7040","140","2.03","631","11.16","0","0","7407","0.95","120","1.70"
"2022/07/06","6900","-90","-1.29","631","10.94","0","0","7407","0.93","120","1.74"
"2022/07/05","6990","330","4.95","631","11.08","0","0","7407","0.94","120","1.72"
"2022/07/04","6660","-180","-2.63","631","10.55","0","0","7407","0.90","120","1.80"
"2022/07/01","6840","-160","-2.29","631","10.84","0","0","7407","0.92","120","1.75"
"2022/06/30","7000","-310","-4.24","631","11.09","0","0","7407","0.95","120","1.71"
"2022/06/29","7310","20","0.27","631","11.58","0","0","7407","0.99","120","1.64"
"2022/06/28","7290","30","0.41","631","11.55","0","0","7407","0.98","120","1.65"
"2022/06/27","7260","460","6.76","631","11.51","0","0","7407","0.98","120","1.65"
"2022/06/24","6800","300","4.62","631","10.78","0","0","7407","0.92","120","1.76"
"2022/06/23","6500","-500","-7.14","631","10.30","0","0","7407","0.88","120","1.85"
"2022/06/22","7000","-350","-4.76","631","11.09","0","0","7407","0.95","120","1.71"
"2022/06/21","7350","100","1.38","631","11.65","0","0","7407","0.99","120","1.63"
"2022/06/20","7250","-410","-5.35","631","11.49","0","0","7407","0.98","120","1.66"
"2022/06/17","7660","-110","-1.42","631","12.14","0","0","7407","1.03","120","1.57"
"2022/06/16","7770","110","1.44","631","12.31","0","0","7407","1.05","120","1.54"
"2022/06/15","7660","-330","-4.13","631","12.14","0","0","7407","1.03","120","1.57"
"2022/06/14","7990","-210","-2.56","631","12.66","0","0","7407","1.08","120","1.50"
"2022/06/13","8200","-910","-9.99","631","13.00","0","0","7407","1.11","120","1.46"
"2022/06/10","9110","0","0.00","631","14.44","0","0","7407","1.23","120","1.32"
"2022/06/09","9110","-460","-4.81","631","14.44","0","0","7407","1.23","120","1.32"
"2022/06/08","9570","-250","-2.55","631","15.17","0","0","7407","1.29","120","1.25"
"2022/06/07","9820","330","3.48","631","15.56","0","0","7407","1.33","120","1.22"
"2022/06/03","9490","240","2.59","631","15.04","0","0","7407","1.28","120","1.26"
"2022/06/02","9250","10","0.11","631","14.66","0","0","7407","1.25","120","1.30"
"2022/05/31","9240","10","0.11","631","14.64","0","0","7407","1.25","120","1.30"
"2022/05/30","9230","30","0.33","631","14.63","0","0","7407","1.25","120","1.30"
"2022/05/27","9200","230","2.56","631","14.58","0","0","7407","1.24","120","1.30"
"2022/05/26","8970","-260","-2.82","631","14.22","0","0","7407","1.21","120","1.34"
"2022/05/25","9230","-160","-1.70","631","14.63","0","0","7407","1.25","120","1.30"
"2022/05/24","9390","-760","-7.49","631","14.88","0","0","7407","1.27","120","1.28"
"2022/05/23","10150","-600","-5.58","631","16.09","0","0","7407","1.37","120","1.18"
"2022/05/20","10750","1550","16.85","631","17.04","0","0","7407","1.45","120","1.12"
"2022/05/19","9200","-170","-1.81","631","14.58","0","0","7407","1.24","120","1.30"
"2022/05/18","9370","70","0.75","631","14.85","0","0","7407","1.27","120","1.28"
"2022/05/17","9300","-50","-0.53","631","14.74","0","0","7407","1.26","120","1.29"
"2022/05/16","9350","470","5.29","631","14.82","0","0","7407","1.26","120","1.28"
"2022/05/13","8880","80","0.91","631","14.07","0","0","7407","1.20","120","1.35"
"2022/05/12","8800","-420","-4.56","631","13.95","0","0","7407","1.19","120","1.36"
"2022/05/11","9220","-620","-6.30","631","14.61","0","0","7407","1.24","120","1.30"
"2022/05/10","9840","80","0.82","631","15.59","0","0","7407","1.33","120","1.22"
"2022/05/09","9760","-790","-7.49","631","15.47","0","0","7407","1.32","120","1.23"
"2022/05/06","10550","-550","-4.95","631","16.72","0","0","7407","1.42","120","1.14"
"2022/05/04","11100","0","0.00","631","17.59","0","0","7407","1.50","120","1.08"
"2022/05/03","11100","-150","-1.33","631","17.59","0","0","7407","1.50","120","1.08"
"2022/05/02","11250","100","0.90","631","17.83","0","0","7407","1.52","120","1.07"
"2022/04/29","11150","150","1.36","172","64.83","0","0","5941","1.88","100","0.90"
"2022/04/28","11000","-600","-5.17","172","63.95","0","0","5941","1.85","100","0.91"
"2022/04/27","11600","-1750","-13.11","172","67.44","0","0","5941","1.95","100","0.86"
"2022/04/26","13350","900","7.23","172","77.62","0","0","5941","2.25","100","0.75"
"2022/04/25","12450","150","1.22","172","72.38","0","0","5941","2.10","100","0.80"
"2022/04/22","12300","-450","-3.53","172","71.51","0","0","5941","2.07","100","0.81"
"2022/04/21","12750","1550","13.84","172","74.13","0","0","5941","2.15","100","0.78"
"2022/04/20","11200","2560","29.63","172","65.12","0","0","5941","1.89","100","0.89"
"2022/04/19","8640","-250","-2.81","172","50.23","0","0","5941","1.45","100","1.16"
"2022/04/18","8890","590","7.11","172","51.69","0","0","5941","1.50","100","1.12"
"2022/04/15","8300","410","5.20","172","48.26","0","0","5941","1.40","100","1.20"
"2022/04/14","7890","160","2.07","172","45.87","0","0","5941","1.33","100","1.27"
"2022/04/13","7730","-450","-5.50","172","44.94","0","0","5941","1.30","100","1.29"
"2022/04/12","8180","-420","-4.88","172","47.56","0","0","5941","1.38","100","1.22"
"2022/04/11","8600","-310","-3.48","172","50.00","0","0","5941","1.45","100","1.16"
"2022/04/08","8910","-30","-0.34","172","51.80","0","0","5941","1.50","100","1.12"
"2022/04/07","8940","-570","-5.99","172","51.98","0","0","5941","1.50","100","1.12"
"2022/04/06","9510","1100","13.08","172","55.29","0","0","5941","1.60","100","1.05"
"2022/04/05","8410","410","5.13","172","48.90","0","0","5941","1.42","100","1.19"
"2022/04/04","8000","110","1.39","172","46.51","0","0","5941","1.35","100","1.25"
"2022/04/01","7890","210","2.73","172","45.87","0","0","5941","1.33","100","1.27"
"2022/03/31","7680","450","6.22","172","44.65","0","0","5941","1.29","100","1.30"
"2022/03/30","7230","-410","-5.37","172","42.03","0","0","5941","1.22","100","1.38"
"2022/03/29","7640","-350","-4.38","172","44.42","0","0","5941","1.29","100","1.31"
"2022/03/28","7990","610","8.27","172","46.45","0","0","5941","1.34","100","1.25"
"2022/03/25","7380","-840","-10.22","172","42.91","0","0","5941","1.24","100","1.36"
"2022/03/24","8220","1140","16.10","172","47.79","0","0","5941","1.38","100","1.22"
"2022/03/23","7080","1630","29.91","172","41.16","0","0","5941","1.19","100","1.41"
"2022/03/22","5450","100","1.87","172","31.69","0","0","5941","0.92","100","1.83"
"2022/03/21","5350","-30","-0.56","172","31.10","0","0","5941","0.90","100","1.87"
"2022/03/18","5380","395","7.92","172","31.28","0","0","5941","0.91","100","1.86"
"2022/03/17","4985","30","0.61","172","28.98","0","0","5941","0.84","100","2.01"
"2022/03/16","4955","90","1.85","172","28.81","0","0","5941","0.83","100","2.02"
"2022/03/15","4865","-75","-1.52","172","28.28","0","0","5941","0.82","100","2.06"
"2022/03/14","4940","-100","-1.98","172","28.72","0","0","5941","0.83","100","2.02"
"2022/03/11","5040","45","0.90","172","29.30","0","0","5941","0.85","100","1.98"
"2022/03/10","4995","160","3.31","172","29.04","0","0","5941","0.84","100","2.00"
"2022/03/08","4835","-215","-4.26","172","28.11","0","0","5941","0.81","100","2.07"
"2022/03/07","5050","-40","-0.79","172","29.36","0","0","5941","0.85","100","1.98"
"2022/03/04","5090","60","1.19","172","29.59","0","0","5941","0.86","100","1.96"
"2022/03/03","5030","40","0.80","172","29.24","0","0","5941","0.85","100","1.99"
"2022/03/02","4990","120","2.46","172","29.01","0","0","5941","0.84","100","2.00"
"2022/02/28","4870","55","1.14","172","28.31","0","0","5941","0.82","100","2.05"
"2022/02/25","4815","135","2.88","172","27.99","0","0","5941","0.81","100","2.08"
"2022/02/24","4680","-275","-5.55","172","27.21","0","0","5941","0.79","100","2.14"
"2022/02/23","4955","105","2.16","172","28.81","0","0","5941","0.83","100","2.02"
"2022/02/22","4850","-135","-2.71","172","28.20","0","0","5941","0.82","100","2.06"
"2022/02/21","4985","-35","-0.70","172","28.98","0","0","5941","0.84","100","2.01"
"2022/02/18","5020","210","4.37","172","29.19","0","0","5941","0.84","100","1.99"
"2022/02/17","4810","-70","-1.43","172","27.97","0","0","5941","0.81","100","2.08"
"2022/02/16","4880","120","2.52","172","28.37","0","0","5941","0.82","100","2.05"
"2022/02/15","4760","-150","-3.05","172","27.67","0","0","5941","0.80","100","2.10"
"2022/02/14","4910","-240","-4.66","172","28.55","0","0","5941","0.83","100","2.04"
"2022/02/11","5150","-40","-0.77","172","29.94","0","0","5941","0.87","100","1.94"
"2022/02/10","5190","-30","-0.57","172","30.17","0","0","5941","0.87","100","1.93"
"2022/02/09","5220","120","2.35","172","30.35","0","0","5941","0.88","100","1.92"
"2022/02/08","5100","20","0.39","172","29.65","0","0","5941","0.86","100","1.96"
"2022/02/07","5080","-10","-0.20","172","29.53","0","0","5941","0.86","100","1.97"
"2022/02/04","5090","230","4.73","172","29.59","0","0","5941","0.86","100","1.96"
"2022/02/03","4860","15","0.31","172","28.26","0","0","5941","0.82","100","2.06"
"2022/01/28","4845","45","0.94","172","28.17","0","0","5941","0.82","100","2.06"
"2022/01/27","4800","-490","-9.26","172","27.91","0","0","5941","0.81","100","2.08"
"2022/01/26","5290","335","6.76","172","30.76","0","0","5941","0.89","100","1.89"
"2022/01/25","4955","-95","-1.88","172","28.81","0","0","5941","0.83","100","2.02"
"2022/01/24","5050","-130","-2.51","172","29.36","0","0","5941","0.85","100","1.98"
"2022/01/21","5180","-190","-3.54","172","30.12","0","0","5941","0.87","100","1.93"
"2022/01/20","5370","140","2.68","172","31.22","0","0","5941","0.90","100","1.86"
"2022/01/19","5230","-290","-5.25","172","30.41","0","0","5941","0.88","100","1.91"
"2022/01/18","5520","110","2.03","172","32.09","0","0","5941","0.93","100","1.81"
"2022/01/17","5410","340","6.71","172","31.45","0","0","5941","0.91","100","1.85"
"2022/01/14","5070","0","0.00","172","29.48","0","0","5941","0.85","100","1.97"
"2022/01/13","5070","-10","-0.20","172","29.48","0","0","5941","0.85","100","1.97"
"2022/01/12","5080","-20","-0.39","172","29.53","0","0","5941","0.86","100","1.97"
"2022/01/11","5100","-40","-0.78","172","29.65","0","0","5941","0.86","100","1.96"
"2022/01/10","5140","-20","-0.39","172","29.88","0","0","5941","0.87","100","1.95"
"2022/01/07","5160","100","1.98","172","30.00","0","0","5941","0.87","100","1.94"
"2022/01/06","5060","50","1.00","172","29.42","0","0","5941","0.85","100","1.98"
"2022/01/05","5010","-80","-1.57","172","29.13","0","0","5941","0.84","100","2.00"
"2022/01/04","5090","10","0.20","172","29.59","0","0","5941","0.86","100","1.96"
"2022/01/03","5080","-20","-0.39","172","29.53","0","0","5941","0.86","100","1.97"
"2021/12/30","5100","-30","-0.58","172","29.65","0","0","5941","0.86","100","1.96"
"2021/12/29","5130","0","0.00","172","29.83","0","0","5941","0.86","100","1.95"
"2021/12/28","5130","70","1.38","172","29.83","0","0","5941","0.86","100","1.95"
"2021/12/27","5060","-40","-0.78","172","29.42","0","0","5941","0.85","100","1.98"
"2021/12/24","5100","-20","-0.39","172","29.65","0","0","5941","0.86","100","1.96"
"2021/12/23","5120","-110","-2.10","172","29.77","0","0","5941","0.86","100","1.95"
"2021/12/22","5230","60","1.16","172","30.41","0","0","5941","0.88","100","1.91"
"2021/12/21","5170","-60","-1.15","172","30.06","0","0","5941","0.87","100","1.93"
"2021/12/20","5230","-220","-4.04","172","30.41","0","0","5941","0.88","100","1.91"
"2021/12/17","5450","-70","-1.27","172","31.69","0","0","5941","0.92","100","1.83"
"2021/12/16","5520","-220","-3.83","172","32.09","0","0","5941","0.93","100","1.81"
"2021/12/15","5740","250","4.55","172","33.37","0","0","5941","0.97","100","1.74"
"2021/12/14","5490","290","5.58","172","31.92","0","0","5941","0.92","100","1.82"
"2021/12/13","5200","80","1.56","172","30.23","0","0","5941","0.88","100","1.92"
"2021/12/10","5120","30","0.59","172","29.77","0","0","5941","0.86","100","1.95"
"2021/12/09","5090","90","1.80","172","29.59","0","0","5941","0.86","100","1.96"
"2021/12/08","5000","-60","-1.19","172","29.07","0","0","5941","0.84","100","2.00"
"2021/12/07","5060","10","0.20","172","29.42","0","0","5941","0.85","100","1.98"
"2021/12/06","5050","110","2.23","172","29.36","0","0","5941","0.85","100","1.98"
"2021/12/03","4940","110","2.28","172","28.72","0","0","5941","0.83","100","2.02"
"2021/12/02","4830","85","1.79","172","28.08","0","0","5941","0.81","100","2.07"
"2021/12/01","4745","190","4.17","172","27.59","0","0","5941","0.80","100","2.11"
"2021/11/30","4555","-340","-6.95","172","26.48","0","0","5941","0.77","100","2.20"
"2021/11/29","4895","-5","-0.10","172","28.46","0","0","5941","0.82","100","2.04"
"2021/11/26","4900","-140","-2.78","172","28.49","0","0","5941","0.82","100","2.04"
"2021/11/25","5040","-120","-2.33","172","29.30","0","0","5941","0.85","100","1.98"
"2021/11/24","5160","-160","-3.01","172","30.00","0","0","5941","0.87","100","1.94"
"2021/11/23","5320","80","1.53","172","30.93","0","0","5941","0.90","100","1.88"
"2021/11/22","5240","-80","-1.50","172","30.47","0","0","5941","0.88","100","1.91"
"2021/11/19","5320","80","1.53","172","30.93","0","0","5941","0.90","100","1.88"
"2021/11/18","5240","-170","-3.14","172","30.47","0","0","5941","0.88","100","1.91"
"2021/11/17","5410","-10","-0.18","172","31.45","0","0","5941","0.91","100","1.85"
"2021/11/16","5420","-160","-2.87","172","31.51","0","0","5941","0.91","100","1.85"
"2021/11/15","5580","100","1.82","172","32.44","0","0","5941","0.94","100","1.79"
"2021/11/12","5480","230","4.38","172","31.86","0","0","5941","0.92","100","1.82"
"2021/11/11","5250","-170","-3.14","172","30.52","0","0","5941","0.88","100","1.90"
"2021/11/10","5420","-180","-3.21","172","31.51","0","0","5941","0.91","100","1.85"
"2021/11/09","5600","10","0.18","172","32.56","0","0","5941","0.94","100","1.79"
"2021/11/08","5590","-100","-1.76","172","32.50","0","0","5941","0.94","100","1.79"
"2021/11/05","5690","70","1.25","172","33.08","0","0","5941","0.96","100","1.76"
"2021/11/04","5620","-380","-6.33","172","32.67","0","0","5941","0.95","100","1.78"
"2021/11/03","6000","40","0.67","172","34.88","0","0","5941","1.01","100","1.67"
