일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","8300","-150","-1.78","706","11.76","0","0","16859","0.49","275","3.31"
"2022/07/14","8450","20","0.24","706","11.97","0","0","16859","0.50","275","3.25"
"2022/07/13","8430","180","2.18","706","11.94","0","0","16859","0.50","275","3.26"
"2022/07/12","8250","-200","-2.37","706","11.69","0","0","16859","0.49","275","3.33"
"2022/07/11","8450","90","1.08","706","11.97","0","0","16859","0.50","275","3.25"
"2022/07/08","8360","20","0.24","706","11.84","0","0","16859","0.50","275","3.29"
"2022/07/07","8340","40","0.48","706","11.81","0","0","16859","0.49","275","3.30"
"2022/07/06","8300","-80","-0.95","706","11.76","0","0","16859","0.49","275","3.31"
"2022/07/05","8380","250","3.08","706","11.87","0","0","16859","0.50","275","3.28"
"2022/07/04","8130","-120","-1.45","706","11.52","0","0","16859","0.48","275","3.38"
"2022/07/01","8250","-140","-1.67","706","11.69","0","0","16859","0.49","275","3.33"
"2022/06/30","8390","-130","-1.53","706","11.88","0","0","16859","0.50","275","3.28"
"2022/06/29","8520","-50","-0.58","706","12.07","0","0","16859","0.51","275","3.23"
"2022/06/28","8570","30","0.35","706","12.14","0","0","16859","0.51","275","3.21"
"2022/06/27","8540","190","2.28","706","12.10","0","0","16859","0.51","275","3.22"
"2022/06/24","8350","590","7.60","706","11.83","0","0","16859","0.50","275","3.29"
"2022/06/23","7760","-440","-5.37","706","10.99","0","0","16859","0.46","275","3.54"
"2022/06/22","8200","-420","-4.87","706","11.61","0","0","16859","0.49","275","3.35"
"2022/06/21","8620","170","2.01","706","12.21","0","0","16859","0.51","275","3.19"
"2022/06/20","8450","-460","-5.16","706","11.97","0","0","16859","0.50","275","3.25"
"2022/06/17","8910","-260","-2.84","706","12.62","0","0","16859","0.53","275","3.09"
"2022/06/16","9170","60","0.66","706","12.99","0","0","16859","0.54","275","3.00"
"2022/06/15","9110","-310","-3.29","706","12.90","0","0","16859","0.54","275","3.02"
"2022/06/14","9420","-230","-2.38","706","13.34","0","0","16859","0.56","275","2.92"
"2022/06/13","9650","-550","-5.39","706","13.67","0","0","16859","0.57","275","2.85"
"2022/06/10","10200","0","0.00","706","14.45","0","0","16859","0.61","275","2.70"
"2022/06/09","10200","50","0.49","706","14.45","0","0","16859","0.61","275","2.70"
"2022/06/08","10150","50","0.50","706","14.38","0","0","16859","0.60","275","2.71"
"2022/06/07","10100","-200","-1.94","706","14.31","0","0","16859","0.60","275","2.72"
"2022/06/03","10300","-50","-0.48","706","14.59","0","0","16859","0.61","275","2.67"
"2022/06/02","10350","0","0.00","706","14.66","0","0","16859","0.61","275","2.66"
"2022/05/31","10350","100","0.98","706","14.66","0","0","16859","0.61","275","2.66"
"2022/05/30","10250","150","1.49","706","14.52","0","0","16859","0.61","275","2.68"
"2022/05/27","10100","130","1.30","706","14.31","0","0","16859","0.60","275","2.72"
"2022/05/26","9970","20","0.20","706","14.12","0","0","16859","0.59","275","2.76"
"2022/05/25","9950","-50","-0.50","706","14.09","0","0","16859","0.59","275","2.76"
"2022/05/24","10000","-150","-1.48","706","14.16","0","0","16859","0.59","275","2.75"
"2022/05/23","10150","-150","-1.46","706","14.38","0","0","16859","0.60","275","2.71"
"2022/05/20","10300","150","1.48","706","14.59","0","0","16859","0.61","275","2.67"
"2022/05/19","10150","-150","-1.46","706","14.38","0","0","16859","0.60","275","2.71"
"2022/05/18","10300","-50","-0.48","706","14.59","0","0","16859","0.61","275","2.67"
"2022/05/17","10350","50","0.49","706","14.66","0","0","16859","0.61","275","2.66"
"2022/05/16","10300","0","0.00","706","14.59","0","0","16859","0.61","275","2.67"
"2022/05/13","10300","150","1.48","706","14.59","0","0","16859","0.61","275","2.67"
"2022/05/12","10150","-200","-1.93","706","14.38","0","0","16859","0.60","275","2.71"
"2022/05/11","10350","-250","-2.36","706","14.66","0","0","16859","0.61","275","2.66"
"2022/05/10","10600","50","0.47","706","15.01","0","0","16859","0.63","275","2.59"
"2022/05/09","10550","-550","-4.95","706","14.94","0","0","16859","0.63","275","2.61"
"2022/05/06","11100","-100","-0.89","706","15.72","0","0","16859","0.66","275","2.48"
"2022/05/04","11200","0","0.00","706","15.86","0","0","16859","0.66","275","2.46"
"2022/05/03","11200","-50","-0.44","706","15.86","0","0","16859","0.66","275","2.46"
"2022/05/02","11250","50","0.45","706","15.93","0","0","16859","0.67","275","2.44"
"2022/04/29","11200","0","0.00","879","12.74","0","0","16315","0.69","275","2.46"
"2022/04/28","11200","150","1.36","879","12.74","0","0","16315","0.69","275","2.46"
"2022/04/27","11050","-150","-1.34","879","12.57","0","0","16315","0.68","275","2.49"
"2022/04/26","11200","-100","-0.88","879","12.74","0","0","16315","0.69","275","2.46"
"2022/04/25","11300","-500","-4.24","879","12.86","0","0","16315","0.69","275","2.43"
"2022/04/22","11800","-200","-1.67","879","13.42","0","0","16315","0.72","275","2.33"
"2022/04/21","12000","-50","-0.41","879","13.65","0","0","16315","0.74","275","2.29"
"2022/04/20","12050","100","0.84","879","13.71","0","0","16315","0.74","275","2.28"
"2022/04/19","11950","-100","-0.83","879","13.59","0","0","16315","0.73","275","2.30"
"2022/04/18","12050","-50","-0.41","879","13.71","0","0","16315","0.74","275","2.28"
"2022/04/15","12100","200","1.68","879","13.77","0","0","16315","0.74","275","2.27"
"2022/04/14","11900","-50","-0.42","879","13.54","0","0","16315","0.73","275","2.31"
"2022/04/13","11950","150","1.27","879","13.59","0","0","16315","0.73","275","2.30"
"2022/04/12","11800","50","0.43","879","13.42","0","0","16315","0.72","275","2.33"
"2022/04/11","11750","-200","-1.67","879","13.37","0","0","16315","0.72","275","2.34"
"2022/04/08","11950","-450","-3.63","879","13.59","0","0","16315","0.73","275","2.30"
"2022/04/07","12400","600","5.08","879","14.11","0","0","16315","0.76","275","2.22"
"2022/04/06","11800","-150","-1.26","879","13.42","0","0","16315","0.72","275","2.33"
"2022/04/05","11950","-200","-1.65","879","13.59","0","0","16315","0.73","275","2.30"
"2022/04/04","12150","-150","-1.22","879","13.82","0","0","16315","0.74","275","2.26"
"2022/04/01","12300","0","0.00","879","13.99","0","0","16315","0.75","275","2.24"
"2022/03/31","12300","50","0.41","879","13.99","0","0","16315","0.75","275","2.24"
"2022/03/30","12250","-350","-2.78","879","13.94","0","0","16315","0.75","275","2.24"
"2022/03/29","12600","400","3.28","879","14.33","0","0","16315","0.77","275","2.18"
"2022/03/28","12200","550","4.72","879","13.88","0","0","16315","0.75","275","2.25"
"2022/03/25","11650","0","0.00","879","13.25","0","0","16315","0.71","275","2.36"
"2022/03/24","11650","-150","-1.27","879","13.25","0","0","16315","0.71","275","2.36"
"2022/03/23","11800","150","1.29","879","13.42","0","0","16315","0.72","275","2.33"
"2022/03/22","11650","-100","-0.85","879","13.25","0","0","16315","0.71","275","2.36"
"2022/03/21","11750","-200","-1.67","879","13.37","0","0","16315","0.72","275","2.34"
"2022/03/18","11950","-50","-0.42","879","13.59","0","0","16315","0.73","275","2.30"
"2022/03/17","12000","-50","-0.41","879","13.65","0","0","16315","0.74","275","2.29"
"2022/03/16","12050","700","6.17","879","13.71","0","0","16315","0.74","275","2.28"
"2022/03/15","11350","-150","-1.30","879","12.91","0","0","16315","0.70","275","2.42"
"2022/03/14","11500","-300","-2.54","879","13.08","0","0","16315","0.70","275","2.39"
"2022/03/11","11800","850","7.76","879","13.42","0","0","16315","0.72","275","2.33"
"2022/03/10","10950","200","1.86","879","12.46","0","0","16315","0.67","275","2.51"
"2022/03/08","10750","-400","-3.59","879","12.23","0","0","16315","0.66","275","2.56"
"2022/03/07","11150","200","1.83","879","12.68","0","0","16315","0.68","275","2.47"
"2022/03/04","10950","50","0.46","879","12.46","0","0","16315","0.67","275","2.51"
"2022/03/03","10900","250","2.35","879","12.40","0","0","16315","0.67","275","2.52"
"2022/03/02","10650","100","0.95","879","12.12","0","0","16315","0.65","275","2.58"
"2022/02/28","10550","100","0.96","879","12.00","0","0","16315","0.65","275","2.61"
"2022/02/25","10450","200","1.95","879","11.89","0","0","16315","0.64","275","2.63"
"2022/02/24","10250","-600","-5.53","879","11.66","0","0","16315","0.63","275","2.68"
"2022/02/23","10850","250","2.36","879","12.34","0","0","16315","0.67","275","2.53"
"2022/02/22","10600","-500","-4.50","879","12.06","0","0","16315","0.65","275","2.59"
"2022/02/21","11100","50","0.45","879","12.63","0","0","16315","0.68","275","2.48"
"2022/02/18","11050","650","6.25","879","12.57","0","0","16315","0.68","275","2.49"
"2022/02/17","10400","50","0.48","879","11.83","0","0","16315","0.64","275","2.64"
"2022/02/16","10350","480","4.86","879","11.77","0","0","16315","0.63","275","2.66"
"2022/02/15","9870","-430","-4.17","879","11.23","0","0","16315","0.60","275","2.79"
"2022/02/14","10300","-450","-4.19","879","11.72","0","0","16315","0.63","275","2.67"
"2022/02/11","10750","-400","-3.59","879","12.23","0","0","16315","0.66","275","2.56"
"2022/02/10","11150","-350","-3.04","879","12.68","0","0","16315","0.68","275","2.47"
"2022/02/09","11500","500","4.55","879","13.08","0","0","16315","0.70","275","2.39"
"2022/02/08","11000","0","0.00","879","12.51","0","0","16315","0.67","275","2.50"
"2022/02/07","11000","-50","-0.45","879","12.51","0","0","16315","0.67","275","2.50"
"2022/02/04","11050","250","2.31","879","12.57","0","0","16315","0.68","275","2.49"
"2022/02/03","10800","50","0.47","879","12.29","0","0","16315","0.66","275","2.55"
"2022/01/28","10750","600","5.91","879","12.23","0","0","16315","0.66","275","2.56"
"2022/01/27","10150","-400","-3.79","879","11.55","0","0","16315","0.62","275","2.71"
"2022/01/26","10550","0","0.00","879","12.00","0","0","16315","0.65","275","2.61"
"2022/01/25","10550","-450","-4.09","879","12.00","0","0","16315","0.65","275","2.61"
"2022/01/24","11000","-550","-4.76","879","12.51","0","0","16315","0.67","275","2.50"
