일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","10750","-350","-3.15","1619","6.64","2095","5.13","16953","0.63","80","0.74"
"2022/07/14","11100","-50","-0.45","1619","6.86","2095","5.30","16953","0.65","80","0.72"
"2022/07/13","11150","300","2.76","1619","6.89","2095","5.32","16953","0.66","80","0.72"
"2022/07/12","10850","-600","-5.24","1619","6.70","2095","5.18","16953","0.64","80","0.74"
"2022/07/11","11450","0","0.00","1619","7.07","2095","5.47","16953","0.68","80","0.70"
"2022/07/08","11450","100","0.88","1619","7.07","2095","5.47","16953","0.68","80","0.70"
"2022/07/07","11350","250","2.25","1619","7.01","2095","5.42","16953","0.67","80","0.70"
"2022/07/06","11100","-250","-2.20","1619","6.86","2095","5.30","16953","0.65","80","0.72"
"2022/07/05","11350","600","5.58","1619","7.01","2095","5.42","16953","0.67","80","0.70"
"2022/07/04","10750","-500","-4.44","1619","6.64","2095","5.13","16953","0.63","80","0.74"
"2022/07/01","11250","-350","-3.02","1619","6.95","2069","5.44","16953","0.66","80","0.71"
"2022/06/30","11600","-100","-0.85","1619","7.16","2069","5.61","16953","0.68","80","0.69"
"2022/06/29","11700","-150","-1.27","1619","7.23","2069","5.66","16953","0.69","80","0.68"
"2022/06/28","11850","250","2.16","1619","7.32","2069","5.73","16953","0.70","80","0.68"
"2022/06/27","11600","300","2.65","1619","7.16","2069","5.61","16953","0.68","80","0.69"
"2022/06/24","11300","200","1.80","1619","6.98","2069","5.46","16953","0.67","80","0.71"
"2022/06/23","11100","-850","-7.11","1619","6.86","2069","5.37","16953","0.65","80","0.72"
"2022/06/22","11950","-550","-4.40","1619","7.38","2069","5.78","16953","0.70","80","0.67"
"2022/06/21","12500","550","4.60","1619","7.72","2069","6.04","16953","0.74","80","0.64"
"2022/06/20","11950","-650","-5.16","1619","7.38","2069","5.78","16953","0.70","80","0.67"
"2022/06/17","12600","50","0.40","1619","7.78","2069","6.09","16953","0.74","80","0.63"
"2022/06/16","12550","150","1.21","1619","7.75","2069","6.07","16953","0.74","80","0.64"
"2022/06/15","12400","-700","-5.34","1619","7.66","2069","5.99","16953","0.73","80","0.65"
"2022/06/14","13100","-250","-1.87","1619","8.09","2069","6.33","16953","0.77","80","0.61"
"2022/06/13","13350","-950","-6.64","1619","8.25","2069","6.45","16953","0.79","80","0.60"
"2022/06/10","14300","-450","-3.05","1619","8.83","2069","6.91","16953","0.84","80","0.56"
"2022/06/09","14750","400","2.79","1619","9.11","2069","7.13","16953","0.87","80","0.54"
"2022/06/08","14350","-50","-0.35","1619","8.86","2069","6.94","16953","0.85","80","0.56"
"2022/06/07","14400","-300","-2.04","1619","8.89","2069","6.96","16953","0.85","80","0.56"
"2022/06/03","14700","-100","-0.68","1619","9.08","2069","7.11","16953","0.87","80","0.54"
"2022/06/02","14800","100","0.68","1619","9.14","2043","7.25","16953","0.87","80","0.54"
"2022/05/31","14700","200","1.38","1619","9.08","2043","7.20","16953","0.87","80","0.54"
"2022/05/30","14500","0","0.00","1619","8.96","2043","7.10","16953","0.86","80","0.55"
"2022/05/27","14500","750","5.45","1619","8.96","2043","7.10","16953","0.86","80","0.55"
"2022/05/26","13750","-150","-1.08","1619","8.49","2043","6.73","16953","0.81","80","0.58"
"2022/05/25","13900","-200","-1.42","1619","8.59","2043","6.80","16953","0.82","80","0.58"
"2022/05/24","14100","-500","-3.42","1619","8.71","1955","7.21","16953","0.83","80","0.57"
"2022/05/23","14600","50","0.34","1619","9.02","2058","7.09","16953","0.86","80","0.55"
"2022/05/20","14550","300","2.11","1619","8.99","2058","7.07","16953","0.86","80","0.55"
"2022/05/19","14250","-450","-3.06","1619","8.80","2058","6.92","16953","0.84","80","0.56"
"2022/05/18","14700","-300","-2.00","1619","9.08","2058","7.14","16953","0.87","80","0.54"
"2022/05/17","15000","-650","-4.15","1619","9.26","2058","7.29","16953","0.88","80","0.53"
"2022/05/16","15650","-1250","-7.40","1619","9.67","2215","7.06","16953","0.92","80","0.51"
"2022/05/13","16900","900","5.63","1619","10.44","2215","7.63","16953","1.00","80","0.47"
