일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","7770","10","0.13","1450","5.36","0","0","19055","0.41","240","3.09"
"2022/07/14","7760","0","0.00","1450","5.35","0","0","19055","0.41","240","3.09"
"2022/07/13","7760","70","0.91","1450","5.35","0","0","19055","0.41","240","3.09"
"2022/07/12","7690","-230","-2.90","1450","5.30","0","0","19055","0.40","240","3.12"
"2022/07/11","7920","-70","-0.88","1450","5.46","0","0","19055","0.42","240","3.03"
"2022/07/08","7990","40","0.50","1450","5.51","0","0","19055","0.42","240","3.00"
"2022/07/07","7950","-20","-0.25","1450","5.48","0","0","19055","0.42","240","3.02"
"2022/07/06","7970","0","0.00","1450","5.50","0","0","19055","0.42","240","3.01"
"2022/07/05","7970","80","1.01","1450","5.50","0","0","19055","0.42","240","3.01"
"2022/07/04","7890","90","1.15","1450","5.44","0","0","19055","0.41","240","3.04"
"2022/07/01","7800","0","0.00","1450","5.38","0","0","19055","0.41","240","3.08"
"2022/06/30","7800","-30","-0.38","1450","5.38","0","0","19055","0.41","240","3.08"
"2022/06/29","7830","-90","-1.14","1450","5.40","0","0","19055","0.41","240","3.07"
"2022/06/28","7920","20","0.25","1450","5.46","0","0","19055","0.42","240","3.03"
"2022/06/27","7900","130","1.67","1450","5.45","0","0","19055","0.41","240","3.04"
"2022/06/24","7770","440","6.00","1450","5.36","0","0","19055","0.41","240","3.09"
"2022/06/23","7330","-440","-5.66","1450","5.06","0","0","19055","0.38","240","3.27"
"2022/06/22","7770","-350","-4.31","1450","5.36","0","0","19055","0.41","240","3.09"
"2022/06/21","8120","-40","-0.49","1450","5.60","0","0","19055","0.43","240","2.96"
"2022/06/20","8160","-360","-4.23","1450","5.63","0","0","19055","0.43","240","2.94"
"2022/06/17","8520","250","3.02","1450","5.88","0","0","19055","0.45","240","2.82"
"2022/06/16","8270","100","1.22","1450","5.70","0","0","19055","0.43","240","2.90"
"2022/06/15","8170","-200","-2.39","1450","5.63","0","0","19055","0.43","240","2.94"
"2022/06/14","8370","-280","-3.24","1450","5.77","0","0","19055","0.44","240","2.87"
"2022/06/13","8650","-110","-1.26","1450","5.97","0","0","19055","0.45","240","2.77"
"2022/06/10","8760","-10","-0.11","1450","6.04","0","0","19055","0.46","240","2.74"
"2022/06/09","8770","-70","-0.79","1450","6.05","0","0","19055","0.46","240","2.74"
"2022/06/08","8840","-110","-1.23","1450","6.10","0","0","19055","0.46","240","2.71"
"2022/06/07","8950","-100","-1.10","1450","6.17","0","0","19055","0.47","240","2.68"
"2022/06/03","9050","0","0.00","1450","6.24","0","0","19055","0.47","240","2.65"
"2022/06/02","9050","-40","-0.44","1450","6.24","0","0","19055","0.47","240","2.65"
"2022/05/31","9090","-10","-0.11","1450","6.27","0","0","19055","0.48","240","2.64"
"2022/05/30","9100","50","0.55","1450","6.28","0","0","19055","0.48","240","2.64"
"2022/05/27","9050","110","1.23","1450","6.24","0","0","19055","0.47","240","2.65"
"2022/05/26","8940","80","0.90","1450","6.17","0","0","19055","0.47","240","2.68"
"2022/05/25","8860","60","0.68","1450","6.11","0","0","19055","0.46","240","2.71"
"2022/05/24","8800","-130","-1.46","1450","6.07","0","0","19055","0.46","240","2.73"
"2022/05/23","8930","-60","-0.67","1450","6.16","0","0","19055","0.47","240","2.69"
"2022/05/20","8990","-10","-0.11","1450","6.20","0","0","19055","0.47","240","2.67"
"2022/05/19","9000","-250","-2.70","1450","6.21","0","0","19055","0.47","240","2.67"
"2022/05/18","9250","-240","-2.53","1450","6.38","0","0","19055","0.49","240","2.59"
"2022/05/17","9490","-710","-6.96","1450","6.54","0","0","19055","0.50","240","2.53"
"2022/05/16","10200","290","2.93","1450","7.03","0","0","19055","0.54","240","2.35"
"2022/05/13","9910","90","0.92","1450","6.83","0","0","19055","0.52","240","2.42"
"2022/05/12","9820","-80","-0.81","1450","6.77","0","0","19055","0.52","240","2.44"
"2022/05/11","9900","-150","-1.49","1450","6.83","0","0","19055","0.52","240","2.42"
"2022/05/10","10050","110","1.11","1450","6.93","0","0","19055","0.53","240","2.39"
"2022/05/09","9940","40","0.40","1450","6.86","0","0","19055","0.52","240","2.41"
"2022/05/06","9900","-250","-2.46","1450","6.83","0","0","19055","0.52","240","2.42"
"2022/05/04","10150","-400","-3.79","1450","7.00","0","0","19055","0.53","240","2.36"
"2022/05/03","10550","-150","-1.40","1450","7.28","0","0","19055","0.55","240","2.27"
"2022/05/02","10700","100","0.94","1450","7.38","0","0","19055","0.56","240","2.24"
"2022/04/29","10600","-700","-6.19","2360","4.49","0","0","17589","0.60","220","2.08"
"2022/04/28","11300","900","8.65","2360","4.79","0","0","17589","0.64","220","1.95"
"2022/04/27","10400","-600","-5.45","2360","4.41","0","0","17589","0.59","220","2.12"
"2022/04/26","11000","-350","-3.08","2360","4.66","0","0","17589","0.63","220","2.00"
"2022/04/25","11350","650","6.07","2360","4.81","0","0","17589","0.65","220","1.94"
"2022/04/22","10700","450","4.39","2360","4.53","0","0","17589","0.61","220","2.06"
"2022/04/21","10250","-500","-4.65","2360","4.34","0","0","17589","0.58","220","2.15"
"2022/04/20","10750","450","4.37","2360","4.56","0","0","17589","0.61","220","2.05"
"2022/04/19","10300","-100","-0.96","2360","4.36","0","0","17589","0.59","220","2.14"
"2022/04/18","10400","250","2.46","2360","4.41","0","0","17589","0.59","220","2.12"
"2022/04/15","10150","-50","-0.49","2360","4.30","0","0","17589","0.58","220","2.17"
"2022/04/14","10200","50","0.49","2360","4.32","0","0","17589","0.58","220","2.16"
"2022/04/13","10150","100","1.00","2360","4.30","0","0","17589","0.58","220","2.17"
"2022/04/12","10050","300","3.08","2360","4.26","0","0","17589","0.57","220","2.19"
"2022/04/11","9750","-50","-0.51","2360","4.13","0","0","17589","0.55","220","2.26"
"2022/04/08","9800","-300","-2.97","2360","4.15","0","0","17589","0.56","220","2.24"
"2022/04/07","10100","230","2.33","2360","4.28","0","0","17589","0.57","220","2.18"
"2022/04/06","9870","30","0.30","2360","4.18","0","0","17589","0.56","220","2.23"
"2022/04/05","9840","100","1.03","2360","4.17","0","0","17589","0.56","220","2.24"
"2022/04/04","9740","380","4.06","2360","4.13","0","0","17589","0.55","220","2.26"
"2022/04/01","9360","140","1.52","2360","3.97","0","0","17589","0.53","220","2.35"
"2022/03/31","9220","80","0.88","2360","3.91","0","0","17589","0.52","220","2.39"
"2022/03/30","9140","30","0.33","2360","3.87","0","0","17589","0.52","220","2.41"
"2022/03/29","9110","30","0.33","2360","3.86","0","0","17589","0.52","220","2.41"
"2022/03/28","9080","-60","-0.66","2360","3.85","0","0","17589","0.52","220","2.42"
"2022/03/25","9140","-160","-1.72","2360","3.87","0","0","17589","0.52","220","2.41"
"2022/03/24","9300","0","0.00","2360","3.94","0","0","17589","0.53","220","2.37"
"2022/03/23","9300","30","0.32","2360","3.94","0","0","17589","0.53","220","2.37"
"2022/03/22","9270","200","2.21","2360","3.93","0","0","17589","0.53","220","2.37"
"2022/03/21","9070","-30","-0.33","2360","3.84","0","0","17589","0.52","220","2.43"
"2022/03/18","9100","80","0.89","2360","3.86","0","0","17589","0.52","220","2.42"
"2022/03/17","9020","30","0.33","2360","3.82","0","0","17589","0.51","220","2.44"
"2022/03/16","8990","110","1.24","2360","3.81","0","0","17589","0.51","220","2.45"
"2022/03/15","8880","0","0.00","2360","3.76","0","0","17589","0.50","220","2.48"
"2022/03/14","8880","-200","-2.20","2360","3.76","0","0","17589","0.50","220","2.48"
"2022/03/11","9080","10","0.11","2360","3.85","0","0","17589","0.52","220","2.42"
"2022/03/10","9070","180","2.02","2360","3.84","0","0","17589","0.52","220","2.43"
"2022/03/08","8890","-300","-3.26","2360","3.77","0","0","17589","0.51","220","2.47"
"2022/03/07","9190","240","2.68","2360","3.89","0","0","17589","0.52","220","2.39"
"2022/03/04","8950","-220","-2.40","2360","3.79","0","0","17589","0.51","220","2.46"
"2022/03/03","9170","-60","-0.65","2360","3.89","0","0","17589","0.52","220","2.40"
"2022/03/02","9230","30","0.33","2360","3.91","0","0","17589","0.52","220","2.38"
