일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","18300","300","1.67","1177","15.55","0","0","18829","0.97","300","1.64"
"2022/07/14","18000","150","0.84","1177","15.29","0","0","18829","0.96","300","1.67"
"2022/07/13","17850","-600","-3.25","1177","15.17","0","0","18829","0.95","300","1.68"
"2022/07/12","18450","300","1.65","1177","15.68","0","0","18829","0.98","300","1.63"
"2022/07/11","18150","50","0.28","1177","15.42","0","0","18829","0.96","300","1.65"
"2022/07/08","18100","300","1.69","1177","15.38","0","0","18829","0.96","300","1.66"
"2022/07/07","17800","700","4.09","1177","15.12","0","0","18829","0.95","300","1.69"
"2022/07/06","17100","200","1.18","1177","14.53","0","0","18829","0.91","300","1.75"
"2022/07/05","16900","1050","6.62","1177","14.36","0","0","18829","0.90","300","1.78"
"2022/07/04","15850","-450","-2.76","1177","13.47","0","0","18829","0.84","300","1.89"
"2022/07/01","16300","-200","-1.21","1177","13.85","0","0","18829","0.87","300","1.84"
"2022/06/30","16500","-700","-4.07","1177","14.02","0","0","18829","0.88","300","1.82"
"2022/06/29","17200","50","0.29","1177","14.61","0","0","18829","0.91","300","1.74"
"2022/06/28","17150","400","2.39","1177","14.57","0","0","18829","0.91","300","1.75"
"2022/06/27","16750","700","4.36","1177","14.23","0","0","18829","0.89","300","1.79"
"2022/06/24","16050","900","5.94","1177","13.64","0","0","18829","0.85","300","1.87"
"2022/06/23","15150","-800","-5.02","1177","12.87","0","0","18829","0.80","300","1.98"
"2022/06/22","15950","-1150","-6.73","1177","13.55","0","0","18829","0.85","300","1.88"
"2022/06/21","17100","150","0.88","1177","14.53","0","0","18829","0.91","300","1.75"
"2022/06/20","16950","-1000","-5.57","1177","14.40","0","0","18829","0.90","300","1.77"
"2022/06/17","17950","750","4.36","1177","15.25","0","0","18829","0.95","300","1.67"
"2022/06/16","17200","-50","-0.29","1177","14.61","0","0","18829","0.91","300","1.74"
"2022/06/15","17250","-850","-4.70","1177","14.66","0","0","18829","0.92","300","1.74"
"2022/06/14","18100","-800","-4.23","1177","15.38","0","0","18829","0.96","300","1.66"
"2022/06/13","18900","-1450","-7.13","1177","16.06","0","0","18829","1.00","300","1.59"
"2022/06/10","20350","-400","-1.93","1177","17.29","0","0","18829","1.08","300","1.47"
"2022/06/09","20750","-200","-0.95","1177","17.63","0","0","18829","1.10","300","1.45"
"2022/06/08","20950","100","0.48","1177","17.80","0","0","18829","1.11","300","1.43"
"2022/06/07","20850","-150","-0.71","1177","17.71","0","0","18829","1.11","300","1.44"
"2022/06/03","21000","400","1.94","1177","17.84","0","0","18829","1.12","300","1.43"
"2022/06/02","20600","750","3.78","1177","17.50","0","0","18829","1.09","300","1.46"
"2022/05/31","19850","-50","-0.25","1177","16.86","0","0","18829","1.05","300","1.51"
"2022/05/30","19900","50","0.25","1177","16.91","0","0","18829","1.06","300","1.51"
"2022/05/27","19850","150","0.76","1177","16.86","0","0","18829","1.05","300","1.51"
"2022/05/26","19700","-200","-1.01","1177","16.74","0","0","18829","1.05","300","1.52"
"2022/05/25","19900","300","1.53","1177","16.91","0","0","18829","1.06","300","1.51"
"2022/05/24","19600","-400","-2.00","1177","16.65","0","0","18829","1.04","300","1.53"
"2022/05/23","20000","550","2.83","1177","16.99","0","0","18829","1.06","300","1.50"
"2022/05/20","19450","400","2.10","1177","16.53","0","0","18829","1.03","300","1.54"
"2022/05/19","19050","-500","-2.56","1177","16.19","0","0","18829","1.01","300","1.57"
"2022/05/18","19550","50","0.26","1177","16.61","0","0","18829","1.04","300","1.53"
"2022/05/17","19500","300","1.56","1177","16.57","0","0","18829","1.04","300","1.54"
"2022/05/16","19200","100","0.52","1177","16.31","0","0","18829","1.02","300","1.56"
"2022/05/13","19100","150","0.79","1177","16.23","0","0","18829","1.01","300","1.57"
"2022/05/12","18950","-1050","-5.25","1177","16.10","0","0","18829","1.01","300","1.58"
"2022/05/11","20000","-300","-1.48","1177","16.99","0","0","18829","1.06","300","1.50"
"2022/05/10","20300","-1350","-6.24","1177","17.25","0","0","18829","1.08","300","1.48"
"2022/05/09","21650","550","2.61","1177","18.39","0","0","18829","1.15","300","1.39"
"2022/05/06","21100","300","1.44","1177","17.93","0","0","18829","1.12","300","1.42"
"2022/05/04","20800","-650","-3.03","1177","17.67","0","0","18829","1.10","300","1.44"
"2022/05/03","21450","-50","-0.23","1177","18.22","0","0","18829","1.14","300","1.40"
"2022/05/02","21500","800","3.86","1177","18.27","0","0","18829","1.14","300","1.40"
"2022/04/29","20700","50","0.24","1256","16.48","0","0","17934","1.15","300","1.45"
"2022/04/28","20650","-400","-1.90","1256","16.44","0","0","17934","1.15","300","1.45"
"2022/04/27","21050","450","2.18","1256","16.76","0","0","17934","1.17","300","1.43"
"2022/04/26","20600","150","0.73","1256","16.40","0","0","17934","1.15","300","1.46"
"2022/04/25","20450","-200","-0.97","1256","16.28","0","0","17934","1.14","300","1.47"
"2022/04/22","20650","-250","-1.20","1256","16.44","0","0","17934","1.15","300","1.45"
"2022/04/21","20900","200","0.97","1256","16.64","0","0","17934","1.17","300","1.44"
"2022/04/20","20700","-150","-0.72","1256","16.48","0","0","17934","1.15","300","1.45"
"2022/04/19","20850","-250","-1.18","1256","16.60","0","0","17934","1.16","300","1.44"
"2022/04/18","21100","850","4.20","1256","16.80","0","0","17934","1.18","300","1.42"
"2022/04/15","20250","-100","-0.49","1256","16.12","0","0","17934","1.13","300","1.48"
"2022/04/14","20350","-450","-2.16","1256","16.20","0","0","17934","1.13","300","1.47"
