일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","3045","-180","-5.58","220","13.84","0","0","5313","0.57","110","3.61"
"2022/07/14","3225","5","0.16","220","14.66","0","0","5313","0.61","110","3.41"
"2022/07/13","3220","10","0.31","220","14.64","0","0","5313","0.61","110","3.42"
"2022/07/12","3210","-115","-3.46","220","14.59","0","0","5313","0.60","110","3.43"
"2022/07/11","3325","25","0.76","220","15.11","0","0","5313","0.63","110","3.31"
"2022/07/08","3300","90","2.80","220","15.00","0","0","5313","0.62","110","3.33"
"2022/07/07","3210","75","2.39","220","14.59","0","0","5313","0.60","110","3.43"
"2022/07/06","3135","-110","-3.39","220","14.25","0","0","5313","0.59","110","3.51"
"2022/07/05","3245","75","2.37","220","14.75","0","0","5313","0.61","110","3.39"
"2022/07/04","3170","5","0.16","220","14.41","0","0","5313","0.60","110","3.47"
"2022/07/01","3165","-155","-4.67","220","14.39","0","0","5313","0.60","110","3.48"
"2022/06/30","3320","-90","-2.64","220","15.09","0","0","5313","0.62","110","3.31"
"2022/06/29","3410","-50","-1.45","220","15.50","0","0","5313","0.64","110","3.23"
"2022/06/28","3460","-5","-0.14","220","15.73","0","0","5313","0.65","110","3.18"
"2022/06/27","3465","160","4.84","220","15.75","0","0","5313","0.65","110","3.17"
"2022/06/24","3305","90","2.80","220","15.02","0","0","5313","0.62","110","3.33"
"2022/06/23","3215","-205","-5.99","220","14.61","0","0","5313","0.61","110","3.42"
"2022/06/22","3420","-245","-6.68","220","15.55","0","0","5313","0.64","110","3.22"
"2022/06/21","3665","70","1.95","220","16.66","0","0","5313","0.69","110","3.00"
"2022/06/20","3595","-50","-1.37","220","16.34","0","0","5313","0.68","110","3.06"
"2022/06/17","3645","-115","-3.06","220","16.57","0","0","5313","0.69","110","3.02"
"2022/06/16","3760","25","0.67","220","17.09","0","0","5313","0.71","110","2.93"
"2022/06/15","3735","-95","-2.48","220","16.98","0","0","5313","0.70","110","2.95"
"2022/06/14","3830","-380","-9.03","220","17.41","0","0","5313","0.72","110","2.87"
"2022/06/13","4210","160","3.95","220","19.14","0","0","5313","0.79","110","2.61"
"2022/06/10","4050","-135","-3.23","220","18.41","0","0","5313","0.76","110","2.72"
"2022/06/09","4185","-180","-4.12","220","19.02","0","0","5313","0.79","110","2.63"
"2022/06/08","4365","-85","-1.91","220","19.84","0","0","5313","0.82","110","2.52"
"2022/06/07","4450","-95","-2.09","220","20.23","0","0","5313","0.84","110","2.47"
"2022/06/03","4545","-90","-1.94","220","20.66","0","0","5313","0.86","110","2.42"
"2022/06/02","4635","-55","-1.17","220","21.07","0","0","5313","0.87","110","2.37"
"2022/05/31","4690","-265","-5.35","220","21.32","0","0","5313","0.88","110","2.35"
"2022/05/30","4955","110","2.27","220","22.52","0","0","5313","0.93","110","2.22"
"2022/05/27","4845","125","2.65","220","22.02","0","0","5313","0.91","110","2.27"
"2022/05/26","4720","310","7.03","220","21.45","0","0","5313","0.89","110","2.33"
"2022/05/25","4410","425","10.66","220","20.05","0","0","5313","0.83","110","2.49"
"2022/05/24","3985","-140","-3.39","220","18.11","0","0","5313","0.75","110","2.76"
"2022/05/23","4125","-375","-8.33","220","18.75","0","0","5313","0.78","110","2.67"
"2022/05/20","4500","300","7.14","220","20.45","0","0","5313","0.85","110","2.44"
"2022/05/19","4200","-315","-6.98","220","19.09","0","0","5313","0.79","110","2.62"
"2022/05/18","4515","-10","-0.22","220","20.52","0","0","5313","0.85","110","2.44"
"2022/05/17","4525","-370","-7.56","220","20.57","0","0","5313","0.85","110","2.43"
"2022/05/16","4895","330","7.23","220","22.25","0","0","5313","0.92","110","2.25"
"2022/05/13","4565","-80","-1.72","220","20.75","0","0","5313","0.86","110","2.41"
"2022/05/12","4645","-75","-1.59","220","21.11","0","0","5313","0.87","110","2.37"
"2022/05/11","4720","315","7.15","220","21.45","0","0","5313","0.89","110","2.33"
"2022/05/10","4405","-325","-6.87","220","20.02","0","0","5313","0.83","110","2.50"
"2022/05/09","4730","185","4.07","220","21.50","0","0","5313","0.89","110","2.33"
"2022/05/06","4545","-345","-7.06","220","20.66","0","0","5313","0.86","110","2.42"
"2022/05/04","4890","-250","-4.86","220","22.23","0","0","5313","0.92","110","2.25"
"2022/05/03","5140","-220","-4.10","220","23.36","0","0","5313","0.97","110","2.14"
"2022/05/02","5360","1230","29.78","220","24.36","0","0","5313","1.01","110","2.05"
"2022/04/29","4130","45","1.10","263","15.70","0","0","4974","0.83","180","4.36"
"2022/04/28","4085","15","0.37","263","15.53","0","0","4974","0.82","180","4.41"
"2022/04/27","4070","-805","-16.51","263","15.48","0","0","4974","0.82","180","4.42"
"2022/04/26","4875","265","5.75","263","18.54","0","0","4974","0.98","180","3.69"
"2022/04/25","4610","410","9.76","263","17.53","0","0","4974","0.93","180","3.90"
"2022/04/22","4200","-75","-1.75","263","15.97","0","0","4974","0.84","180","4.29"
"2022/04/21","4275","-235","-5.21","263","16.25","0","0","4974","0.86","180","4.21"
"2022/04/20","4510","-205","-4.35","263","17.15","0","0","4974","0.91","180","3.99"
"2022/04/19","4715","815","20.90","263","17.93","0","0","4974","0.95","180","3.82"
"2022/04/18","3900","900","30.00","263","14.83","0","0","4974","0.78","180","4.62"
"2022/04/15","3000","50","1.69","263","11.41","0","0","4974","0.60","180","6.00"
"2022/04/14","2950","65","2.25","263","11.22","0","0","4974","0.59","180","6.10"
"2022/04/13","2885","10","0.35","263","10.97","0","0","4974","0.58","180","6.24"
"2022/04/12","2875","-20","-0.69","263","10.93","0","0","4974","0.58","180","6.26"
"2022/04/11","2895","-10","-0.34","263","11.01","0","0","4974","0.58","180","6.22"
"2022/04/08","2905","-40","-1.36","263","11.05","0","0","4974","0.58","180","6.20"
"2022/04/07","2945","40","1.38","263","11.20","0","0","4974","0.59","180","6.11"
"2022/04/06","2905","-10","-0.34","263","11.05","0","0","4974","0.58","180","6.20"
"2022/04/05","2915","-35","-1.19","263","11.08","0","0","4974","0.59","180","6.17"
"2022/04/04","2950","40","1.37","263","11.22","0","0","4974","0.59","180","6.10"
"2022/04/01","2910","20","0.69","263","11.06","0","0","4974","0.59","180","6.19"
"2022/03/31","2890","5","0.17","263","10.99","0","0","4974","0.58","180","6.23"
"2022/03/30","2885","15","0.52","263","10.97","0","0","4974","0.58","180","6.24"
"2022/03/29","2870","0","0.00","263","10.91","0","0","4974","0.58","180","6.27"
"2022/03/28","2870","0","0.00","263","10.91","0","0","4974","0.58","180","6.27"
"2022/03/25","2870","-70","-2.38","263","10.91","0","0","4974","0.58","180","6.27"
"2022/03/24","2940","65","2.26","263","11.18","0","0","4974","0.59","180","6.12"
"2022/03/23","2875","-50","-1.71","263","10.93","0","0","4974","0.58","180","6.26"
"2022/03/22","2925","100","3.54","263","11.12","0","0","4974","0.59","180","6.15"
"2022/03/21","2825","85","3.10","263","10.74","0","0","4974","0.57","180","6.37"
"2022/03/18","2740","0","0.00","263","10.42","0","0","4974","0.55","180","6.57"
"2022/03/17","2740","20","0.74","263","10.42","0","0","4974","0.55","180","6.57"
"2022/03/16","2720","15","0.55","263","10.34","0","0","4974","0.55","180","6.62"
"2022/03/15","2705","-20","-0.73","263","10.29","0","0","4974","0.54","180","6.65"
"2022/03/14","2725","-40","-1.45","263","10.36","0","0","4974","0.55","180","6.61"
"2022/03/11","2765","35","1.28","263","10.51","0","0","4974","0.56","180","6.51"
