일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","136000","-1000","-0.73","52446","2.59","0","0","534606","0.25","2500","1.84"
"2022/07/14","137000","500","0.37","52446","2.61","0","0","534606","0.26","2500","1.82"
"2022/07/13","136500","2500","1.87","52446","2.60","0","0","534606","0.26","2500","1.83"
"2022/07/12","134000","-5000","-3.60","52446","2.56","0","0","534606","0.25","2500","1.87"
"2022/07/11","139000","-6000","-4.14","52446","2.65","0","0","534606","0.26","2500","1.80"
"2022/07/08","145000","9500","7.01","52446","2.76","0","0","534606","0.27","2500","1.72"
"2022/07/07","135500","500","0.37","52446","2.58","0","0","534606","0.25","2500","1.85"
"2022/07/06","135000","-2000","-1.46","52446","2.57","0","0","534606","0.25","2500","1.85"
"2022/07/05","137000","4000","3.01","52446","2.61","0","0","534606","0.26","2500","1.82"
"2022/07/04","133000","-2000","-1.48","52446","2.54","0","0","534606","0.25","2500","1.88"
"2022/07/01","135000","-3500","-2.53","52446","2.57","0","0","534606","0.25","2500","1.85"
"2022/06/30","138500","-1500","-1.07","52446","2.64","0","0","534606","0.26","2500","1.81"
"2022/06/29","140000","-2000","-1.41","52446","2.67","0","0","534606","0.26","2500","1.79"
"2022/06/28","142000","-500","-0.35","52446","2.71","0","0","534606","0.27","2500","1.76"
"2022/06/27","142500","6000","4.40","52446","2.72","0","0","534606","0.27","2500","1.75"
"2022/06/24","136500","6000","4.60","52446","2.60","0","0","534606","0.26","2500","1.83"
"2022/06/23","130500","-8500","-6.12","52446","2.49","0","0","534606","0.24","2500","1.92"
"2022/06/22","139000","-6500","-4.47","52446","2.65","0","0","534606","0.26","2500","1.80"
"2022/06/21","145500","500","0.34","52446","2.77","0","0","534606","0.27","2500","1.72"
"2022/06/20","145000","-4000","-2.68","52446","2.76","0","0","534606","0.27","2500","1.72"
"2022/06/17","149000","-4500","-2.93","52446","2.84","0","0","534606","0.28","2500","1.68"
"2022/06/16","153500","4500","3.02","52446","2.93","0","0","534606","0.29","2500","1.63"
"2022/06/15","149000","-5000","-3.25","52446","2.84","0","0","534606","0.28","2500","1.68"
"2022/06/14","154000","-4500","-2.84","52446","2.94","0","0","534606","0.29","2500","1.62"
"2022/06/13","158500","-1500","-0.94","52446","3.02","0","0","534606","0.30","2500","1.58"
"2022/06/10","160000","-1500","-0.93","52446","3.05","0","0","534606","0.30","2500","1.56"
"2022/06/09","161500","-3500","-2.12","52446","3.08","0","0","534606","0.30","2500","1.55"
"2022/06/08","165000","-2000","-1.20","52446","3.15","0","0","534606","0.31","2500","1.52"
"2022/06/07","167000","-1500","-0.89","52446","3.18","0","0","534606","0.31","2500","1.50"
"2022/06/03","168500","1500","0.90","52446","3.21","0","0","534606","0.32","2500","1.48"
"2022/06/02","167000","-2000","-1.18","52446","3.18","0","0","534606","0.31","2500","1.50"
"2022/05/31","169000","-1500","-0.88","52446","3.22","0","0","534606","0.32","2500","1.48"
"2022/05/30","170500","1000","0.59","52446","3.25","0","0","534606","0.32","2500","1.47"
"2022/05/27","169500","1500","0.89","52446","3.23","0","0","534606","0.32","2500","1.47"
"2022/05/26","168000","-1500","-0.88","52446","3.20","0","0","534606","0.31","2500","1.49"
"2022/05/25","169500","3000","1.80","52446","3.23","0","0","534606","0.32","2500","1.47"
"2022/05/24","166500","-3000","-1.77","52446","3.17","0","0","534606","0.31","2500","1.50"
"2022/05/23","169500","0","0.00","52446","3.23","0","0","534606","0.32","2500","1.47"
"2022/05/20","169500","0","0.00","52446","3.23","0","0","534606","0.32","2500","1.47"
"2022/05/19","169500","-6000","-3.42","52446","3.23","0","0","534606","0.32","2500","1.47"
"2022/05/18","175500","500","0.29","52446","3.35","0","0","534606","0.33","2500","1.42"
"2022/05/17","175000","-16000","-8.38","52446","3.34","0","0","534606","0.33","2500","1.43"
"2022/05/16","191000","24000","14.37","52446","3.64","0","0","534606","0.36","2500","1.31"
"2022/05/13","167000","3000","1.83","52446","3.18","0","0","534606","0.31","2500","1.50"
"2022/05/12","164000","-7000","-4.09","52446","3.13","0","0","534606","0.31","2500","1.52"
"2022/05/11","171000","1000","0.59","52446","3.26","0","0","534606","0.32","2500","1.46"
"2022/05/10","170000","-7000","-3.95","52446","3.24","0","0","534606","0.32","2500","1.47"
