일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","185500","-500","-0.27","17385","10.67","16419","11.30","392735","0.47","3000","1.62"
"2022/07/14","186000","500","0.27","17385","10.70","16419","11.33","392735","0.47","3000","1.61"
"2022/07/13","185500","1500","0.82","17385","10.67","16419","11.30","392735","0.47","3000","1.62"
"2022/07/12","184000","1500","0.82","17385","10.58","16419","11.21","392735","0.47","3000","1.63"
"2022/07/11","182500","500","0.27","17385","10.50","16419","11.12","392735","0.46","3000","1.64"
"2022/07/08","182000","1000","0.55","17385","10.47","16419","11.08","392735","0.46","3000","1.65"
"2022/07/07","181000","-1500","-0.82","17385","10.41","16419","11.02","392735","0.46","3000","1.66"
"2022/07/06","182500","-2000","-1.08","17385","10.50","16419","11.12","392735","0.46","3000","1.64"
"2022/07/05","184500","2000","1.10","17385","10.61","16419","11.24","392735","0.47","3000","1.63"
"2022/07/04","182500","5500","3.11","17385","10.50","16419","11.12","392735","0.46","3000","1.64"
"2022/07/01","177000","-3000","-1.67","17385","10.18","16443","10.76","392735","0.45","3000","1.69"
"2022/06/30","180000","-2000","-1.10","17385","10.35","16443","10.95","392735","0.46","3000","1.67"
"2022/06/29","182000","0","0.00","17385","10.47","16443","11.07","392735","0.46","3000","1.65"
"2022/06/28","182000","12500","7.37","17385","10.47","16443","11.07","392735","0.46","3000","1.65"
"2022/06/27","169500","8000","4.95","17385","9.75","16443","10.31","392735","0.43","3000","1.77"
"2022/06/24","161500","4000","2.54","17385","9.29","16443","9.82","392735","0.41","3000","1.86"
"2022/06/23","157500","-1000","-0.63","17385","9.06","16443","9.58","392735","0.40","3000","1.90"
"2022/06/22","158500","0","0.00","17385","9.12","16443","9.64","392735","0.40","3000","1.89"
"2022/06/21","158500","4000","2.59","17385","9.12","16443","9.64","392735","0.40","3000","1.89"
"2022/06/20","154500","-7500","-4.63","17385","8.89","16443","9.40","392735","0.39","3000","1.94"
"2022/06/17","162000","-1000","-0.61","17385","9.32","16443","9.85","392735","0.41","3000","1.85"
"2022/06/16","163000","2500","1.56","17385","9.38","16443","9.91","392735","0.42","3000","1.84"
"2022/06/15","160500","2500","1.58","17385","9.23","16443","9.76","392735","0.41","3000","1.87"
"2022/06/14","158000","-1500","-0.94","17385","9.09","16443","9.61","392735","0.40","3000","1.90"
"2022/06/13","159500","2500","1.59","17385","9.17","16443","9.70","392735","0.41","3000","1.88"
"2022/06/10","157000","-500","-0.32","17385","9.03","16443","9.55","392735","0.40","3000","1.91"
"2022/06/09","157500","-1000","-0.63","17385","9.06","16443","9.58","392735","0.40","3000","1.90"
"2022/06/08","158500","1000","0.63","17385","9.12","16443","9.64","392735","0.40","3000","1.89"
"2022/06/07","157500","3000","1.94","17385","9.06","16443","9.58","392735","0.40","3000","1.90"
"2022/06/03","154500","-4500","-2.83","17385","8.89","16443","9.40","392735","0.39","3000","1.94"
"2022/06/02","159000","0","0.00","17385","9.15","16466","9.66","392735","0.40","3000","1.89"
"2022/05/31","159000","-5000","-3.05","17385","9.15","18999","8.37","392735","0.40","3000","1.89"
