일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","48600","-600","-1.22","6291","7.73","0","0","88025","0.55","600","1.23"
"2022/07/14","49200","-200","-0.40","6291","7.82","0","0","88025","0.56","600","1.22"
"2022/07/13","49400","900","1.86","6291","7.85","0","0","88025","0.56","600","1.21"
"2022/07/12","48500","-2500","-4.90","6291","7.71","0","0","88025","0.55","600","1.24"
"2022/07/11","51000","100","0.20","6291","8.11","0","0","88025","0.58","600","1.18"
"2022/07/08","50900","100","0.20","6291","8.09","0","0","88025","0.58","600","1.18"
"2022/07/07","50800","1600","3.25","6291","8.08","0","0","88025","0.58","600","1.18"
"2022/07/06","49200","-2200","-4.28","6291","7.82","0","0","88025","0.56","600","1.22"
"2022/07/05","51400","1500","3.01","6291","8.17","0","0","88025","0.58","600","1.17"
"2022/07/04","49900","-1300","-2.54","6291","7.93","0","0","88025","0.57","600","1.20"
"2022/07/01","51200","-1500","-2.85","6291","8.14","0","0","88025","0.58","600","1.17"
"2022/06/30","52700","-600","-1.13","6291","8.38","0","0","88025","0.60","600","1.14"
"2022/06/29","53300","-700","-1.30","6291","8.47","0","0","88025","0.61","600","1.13"
"2022/06/28","54000","700","1.31","6291","8.58","0","0","88025","0.61","600","1.11"
"2022/06/27","53300","1600","3.09","6291","8.47","0","0","88025","0.61","600","1.13"
"2022/06/24","51700","2000","4.02","6291","8.22","0","0","88025","0.59","600","1.16"
"2022/06/23","49700","-1400","-2.74","6291","7.90","0","0","88025","0.56","600","1.21"
"2022/06/22","51100","-2100","-3.95","6291","8.12","0","0","88025","0.58","600","1.17"
"2022/06/21","53200","200","0.38","6291","8.46","0","0","88025","0.60","600","1.13"
"2022/06/20","53000","-1400","-2.57","6291","8.42","0","0","88025","0.60","600","1.13"
"2022/06/17","54400","-900","-1.63","6291","8.65","0","0","88025","0.62","600","1.10"
"2022/06/16","55300","200","0.36","6291","8.79","0","0","88025","0.63","600","1.08"
"2022/06/15","55100","-900","-1.61","6291","8.76","0","0","88025","0.63","600","1.09"
"2022/06/14","56000","-1700","-2.95","6291","8.90","0","0","88025","0.64","600","1.07"
"2022/06/13","57700","-3500","-5.72","6291","9.17","0","0","88025","0.66","600","1.04"
"2022/06/10","61200","-200","-0.33","6291","9.73","0","0","88025","0.70","600","0.98"
"2022/06/09","61400","400","0.66","6291","9.76","0","0","88025","0.70","600","0.98"
"2022/06/08","61000","-300","-0.49","6291","9.70","0","0","88025","0.69","600","0.98"
"2022/06/07","61300","-1500","-2.39","6291","9.74","0","0","88025","0.70","600","0.98"
"2022/06/03","62800","1700","2.78","6291","9.98","0","0","88025","0.71","600","0.96"
"2022/06/02","61100","-1400","-2.24","6291","9.71","0","0","88025","0.69","600","0.98"
"2022/05/31","62500","-700","-1.11","6291","9.93","0","0","88025","0.71","600","0.96"
"2022/05/30","63200","700","1.12","6291","10.05","0","0","88025","0.72","600","0.95"
"2022/05/27","62500","1000","1.63","6291","9.93","0","0","88025","0.71","600","0.96"
"2022/05/26","61500","-400","-0.65","6291","9.78","0","0","88025","0.70","600","0.98"
"2022/05/25","61900","-100","-0.16","6291","9.84","0","0","88025","0.70","600","0.97"
"2022/05/24","62000","-500","-0.80","6291","9.86","0","0","88025","0.70","600","0.97"
"2022/05/23","62500","2700","4.52","6291","9.93","0","0","88025","0.71","600","0.96"
"2022/05/20","59800","900","1.53","6291","9.51","0","0","88025","0.68","600","1.00"
"2022/05/19","58900","-2200","-3.60","6291","9.36","0","0","88025","0.67","600","1.02"
"2022/05/18","61100","-5100","-7.70","6291","9.71","0","0","88025","0.69","600","0.98"
"2022/05/17","66200","-1100","-1.63","6291","10.52","0","0","88025","0.75","600","0.91"
"2022/05/16","67300","-1700","-2.46","6291","10.70","0","0","88025","0.76","600","0.89"
"2022/05/13","69000","1000","1.47","6291","10.97","0","0","88025","0.78","600","0.87"
"2022/05/12","68000","-200","-0.29","6291","10.81","0","0","88025","0.77","600","0.88"
"2022/05/11","68200","-700","-1.02","6291","10.84","0","0","88025","0.77","600","0.88"
"2022/05/10","68900","0","0.00","6291","10.95","0","0","88025","0.78","600","0.87"
"2022/05/09","68900","-1700","-2.41","6291","10.95","0","0","88025","0.78","600","0.87"
"2022/05/06","70600","-2800","-3.81","6291","11.22","0","0","88025","0.80","600","0.85"
"2022/05/04","73400","-400","-0.54","6291","11.67","0","0","88025","0.83","600","0.82"
"2022/05/03","73800","1100","1.51","6291","11.73","0","0","88025","0.84","600","0.81"
"2022/05/02","72700","-3300","-4.34","6291","11.56","0","0","88025","0.83","600","0.83"
"2022/04/29","76000","-1500","-1.94","4916","15.46","0","0","79003","0.96","500","0.66"
"2022/04/28","77500","700","0.91","4916","15.76","0","0","79003","0.98","500","0.65"
"2022/04/27","76800","-1000","-1.29","4916","15.62","0","0","79003","0.97","500","0.65"
"2022/04/26","77800","1400","1.83","4916","15.83","0","0","79003","0.98","500","0.64"
"2022/04/25","76400","-5800","-7.06","4916","15.54","0","0","79003","0.97","500","0.65"
"2022/04/22","82200","-600","-0.72","4916","16.72","0","0","79003","1.04","500","0.61"
"2022/04/21","82800","5600","7.25","4916","16.84","0","0","79003","1.05","500","0.60"
"2022/04/20","77200","0","0.00","4916","15.70","0","0","79003","0.98","500","0.65"
"2022/04/19","77200","3900","5.32","4916","15.70","0","0","79003","0.98","500","0.65"
"2022/04/18","73300","-300","-0.41","4916","14.91","0","0","79003","0.93","500","0.68"
"2022/04/15","73600","-3100","-4.04","4916","14.97","0","0","79003","0.93","500","0.68"
"2022/04/14","76700","500","0.66","4916","15.60","0","0","79003","0.97","500","0.65"
"2022/04/13","76200","1200","1.60","4916","15.50","0","0","79003","0.96","500","0.66"
"2022/04/12","75000","2700","3.73","4916","15.26","0","0","79003","0.95","500","0.67"
"2022/04/11","72300","5000","7.43","4916","14.71","0","0","79003","0.92","500","0.69"
"2022/04/08","67300","600","0.90","4916","13.69","0","0","79003","0.85","500","0.74"
"2022/04/07","66700","600","0.91","4916","13.57","0","0","79003","0.84","500","0.75"
"2022/04/06","66100","0","0.00","4916","13.45","0","0","79003","0.84","500","0.76"
"2022/04/05","66100","-700","-1.05","4916","13.45","0","0","79003","0.84","500","0.76"
"2022/04/04","66800","100","0.15","4916","13.59","0","0","79003","0.85","500","0.75"
"2022/04/01","66700","-1700","-2.49","4916","13.57","0","0","79003","0.84","500","0.75"
"2022/03/31","68400","1100","1.63","4916","13.91","0","0","79003","0.87","500","0.73"
"2022/03/30","67300","1200","1.82","4916","13.69","0","0","79003","0.85","500","0.74"
"2022/03/29","66100","1000","1.54","4916","13.45","0","0","79003","0.84","500","0.76"
