일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","95300","-800","-0.83","20907","4.56","21855","4.36","114016","0.84","1700","1.78"
"2022/07/14","96100","5200","5.72","20907","4.60","21855","4.40","114016","0.84","1700","1.77"
"2022/07/13","90900","2800","3.18","20907","4.35","21855","4.16","114016","0.80","1700","1.87"
"2022/07/12","88100","-2000","-2.22","20907","4.21","21855","4.03","114016","0.77","1700","1.93"
"2022/07/11","90100","1100","1.24","20907","4.31","21855","4.12","114016","0.79","1700","1.89"
"2022/07/08","89000","1800","2.06","20907","4.26","21855","4.07","114016","0.78","1700","1.91"
"2022/07/07","87200","200","0.23","20907","4.17","21855","3.99","114016","0.76","1700","1.95"
"2022/07/06","87000","-3800","-4.19","20907","4.16","21855","3.98","114016","0.76","1700","1.95"
"2022/07/05","90800","-3700","-3.92","20907","4.34","21855","4.15","114016","0.80","1700","1.87"
"2022/07/04","94500","-1000","-1.05","20907","4.52","21855","4.32","114016","0.83","1700","1.80"
"2022/07/01","95500","-900","-0.93","20907","4.57","21958","4.35","114016","0.84","1700","1.78"
"2022/06/30","96400","-2300","-2.33","20907","4.61","21958","4.39","114016","0.85","1700","1.76"
"2022/06/29","98700","-900","-0.90","20907","4.72","21958","4.50","114016","0.87","1700","1.72"
"2022/06/28","99600","-200","-0.20","20907","4.76","21958","4.54","114016","0.87","1700","1.71"
"2022/06/27","99800","800","0.81","20907","4.77","21958","4.55","114016","0.88","1700","1.70"
"2022/06/24","99000","4000","4.21","20907","4.74","21958","4.51","114016","0.87","1700","1.72"
"2022/06/23","95000","-6000","-5.94","20907","4.54","21958","4.33","114016","0.83","1700","1.79"
"2022/06/22","101000","-8000","-7.34","20907","4.83","21958","4.60","114016","0.89","1700","1.68"
"2022/06/21","109000","-1500","-1.36","20907","5.21","21958","4.96","114016","0.96","1700","1.56"
"2022/06/20","110500","-3000","-2.64","20907","5.29","21958","5.03","114016","0.97","1700","1.54"
"2022/06/17","113500","500","0.44","20907","5.43","21958","5.17","114016","1.00","1700","1.50"
"2022/06/16","113000","-500","-0.44","20907","5.40","21958","5.15","114016","0.99","1700","1.50"
"2022/06/15","113500","-2500","-2.16","20907","5.43","21958","5.17","114016","1.00","1700","1.50"
"2022/06/14","116000","3000","2.65","20907","5.55","21958","5.28","114016","1.02","1700","1.47"
"2022/06/13","113000","-3500","-3.00","20907","5.40","21958","5.15","114016","0.99","1700","1.50"
"2022/06/10","116500","-2000","-1.69","20907","5.57","21958","5.31","114016","1.02","1700","1.46"
"2022/06/09","118500","-3500","-2.87","20907","5.67","21958","5.40","114016","1.04","1700","1.43"
"2022/06/08","122000","-2500","-2.01","20907","5.84","21958","5.56","114016","1.07","1700","1.39"
"2022/06/07","124500","0","0.00","20907","5.95","21958","5.67","114016","1.09","1700","1.37"
