일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","57300","-200","-0.35","1496","38.30","1690","33.90","28297","2.02","400","0.70"
"2022/07/14","57500","400","0.70","1496","38.44","1708","33.66","28297","2.03","400","0.70"
"2022/07/13","57100","-300","-0.52","1496","38.17","1708","33.42","28297","2.02","400","0.70"
"2022/07/12","57400","0","0.00","1496","38.37","1708","33.60","28297","2.03","400","0.70"
"2022/07/11","57400","100","0.17","1496","38.37","1708","33.60","28297","2.03","400","0.70"
"2022/07/08","57300","-400","-0.69","1496","38.30","1703","33.64","28297","2.02","400","0.70"
"2022/07/07","57700","600","1.05","1496","38.57","1703","33.88","28297","2.04","400","0.69"
"2022/07/06","57100","-600","-1.04","1496","38.17","1703","33.53","28297","2.02","400","0.70"
"2022/07/05","57700","700","1.23","1496","38.57","1703","33.88","28297","2.04","400","0.69"
"2022/07/04","57000","1000","1.79","1496","38.10","1703","33.47","28297","2.01","400","0.70"
"2022/07/01","56000","0","0.00","1496","37.43","1664","33.65","28297","1.98","400","0.71"
"2022/06/30","56000","300","0.54","1496","37.43","1664","33.65","28297","1.98","400","0.71"
"2022/06/29","55700","-400","-0.71","1496","37.23","1664","33.47","28297","1.97","400","0.72"
"2022/06/28","56100","800","1.45","1496","37.50","1664","33.71","28297","1.98","400","0.71"
"2022/06/27","55300","-400","-0.72","1496","36.97","1664","33.23","28297","1.95","400","0.72"
"2022/06/24","55700","1100","2.01","1496","37.23","1664","33.47","28297","1.97","400","0.72"
"2022/06/23","54600","-400","-0.73","1496","36.50","1664","32.81","28297","1.93","400","0.73"
"2022/06/22","55000","-400","-0.72","1496","36.76","1664","33.05","28297","1.94","400","0.73"
"2022/06/21","55400","700","1.28","1496","37.03","1664","33.29","28297","1.96","400","0.72"
"2022/06/20","54700","300","0.55","1496","36.56","1664","32.87","28297","1.93","400","0.73"
"2022/06/17","54400","-200","-0.37","1496","36.36","1677","32.43","28297","1.92","400","0.74"
"2022/06/16","54600","400","0.74","1496","36.50","1677","32.55","28297","1.93","400","0.73"
"2022/06/15","54200","-1500","-2.69","1496","36.23","1677","32.31","28297","1.92","400","0.74"
"2022/06/14","55700","0","0.00","1496","37.23","1677","33.21","28297","1.97","400","0.72"
"2022/06/13","55700","-1500","-2.62","1496","37.23","1690","32.97","28297","1.97","400","0.72"
"2022/06/10","57200","-1100","-1.89","1496","38.24","1690","33.86","28297","2.02","400","0.70"
"2022/06/09","58300","200","0.34","1496","38.97","1690","34.51","28297","2.06","400","0.69"
"2022/06/08","58100","100","0.17","1496","38.84","1690","34.39","28297","2.05","400","0.69"
"2022/06/07","58000","-1600","-2.68","1496","38.77","1690","34.33","28297","2.05","400","0.69"
"2022/06/03","59600","0","0.00","1496","39.84","1690","35.28","28297","2.11","400","0.67"
