일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","6340","-50","-0.78","900","7.04","0","0","9204","0.69","270","4.26"
"2022/07/14","6390","20","0.31","900","7.10","0","0","9204","0.69","270","4.23"
"2022/07/13","6370","180","2.91","900","7.08","0","0","9204","0.69","270","4.24"
"2022/07/12","6190","-40","-0.64","900","6.88","0","0","9204","0.67","270","4.36"
"2022/07/11","6230","50","0.81","900","6.92","0","0","9204","0.68","270","4.33"
"2022/07/08","6180","100","1.64","900","6.87","0","0","9204","0.67","270","4.37"
"2022/07/07","6080","30","0.50","900","6.76","0","0","9204","0.66","270","4.44"
"2022/07/06","6050","-50","-0.82","900","6.72","0","0","9204","0.66","270","4.46"
"2022/07/05","6100","120","2.01","900","6.78","0","0","9204","0.66","270","4.43"
"2022/07/04","5980","-80","-1.32","900","6.64","0","0","9204","0.65","270","4.52"
"2022/07/01","6060","-20","-0.33","900","6.73","0","0","9204","0.66","270","4.46"
"2022/06/30","6080","-10","-0.16","900","6.76","0","0","9204","0.66","270","4.44"
"2022/06/29","6090","-10","-0.16","900","6.77","0","0","9204","0.66","270","4.43"
"2022/06/28","6100","60","0.99","900","6.78","0","0","9204","0.66","270","4.43"
"2022/06/27","6040","180","3.07","900","6.71","0","0","9204","0.66","270","4.47"
"2022/06/24","5860","140","2.45","900","6.51","0","0","9204","0.64","270","4.61"
"2022/06/23","5720","-190","-3.21","900","6.36","0","0","9204","0.62","270","4.72"
"2022/06/22","5910","-170","-2.80","900","6.57","0","0","9204","0.64","270","4.57"
"2022/06/21","6080","80","1.33","900","6.76","0","0","9204","0.66","270","4.44"
"2022/06/20","6000","-200","-3.23","900","6.67","0","0","9204","0.65","270","4.50"
"2022/06/17","6200","-60","-0.96","900","6.89","0","0","9204","0.67","270","4.35"
"2022/06/16","6260","0","0.00","900","6.96","0","0","9204","0.68","270","4.31"
"2022/06/15","6260","-190","-2.95","900","6.96","0","0","9204","0.68","270","4.31"
"2022/06/14","6450","-120","-1.83","900","7.17","0","0","9204","0.70","270","4.19"
"2022/06/13","6570","-240","-3.52","900","7.30","0","0","9204","0.71","270","4.11"
"2022/06/10","6810","250","3.81","900","7.57","0","0","9204","0.74","270","3.96"
"2022/06/09","6560","-240","-3.53","900","7.29","0","0","9204","0.71","270","4.12"
"2022/06/08","6800","-140","-2.02","900","7.56","0","0","9204","0.74","270","3.97"
"2022/06/07","6940","-170","-2.39","900","7.71","0","0","9204","0.75","270","3.89"
"2022/06/03","7110","-30","-0.42","900","7.90","0","0","9204","0.77","270","3.80"
