일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","12950","-300","-2.26","963","13.45","0","0","12420","1.04","220","1.70"
"2022/07/14","13250","100","0.76","963","13.76","0","0","12420","1.07","220","1.66"
"2022/07/13","13150","-100","-0.75","963","13.66","0","0","12420","1.06","220","1.67"
"2022/07/12","13250","-650","-4.68","963","13.76","0","0","12420","1.07","220","1.66"
"2022/07/11","13900","-450","-3.14","963","14.43","0","0","12420","1.12","220","1.58"
"2022/07/08","14350","0","0.00","963","14.90","0","0","12420","1.16","220","1.53"
"2022/07/07","14350","-50","-0.35","963","14.90","0","0","12420","1.16","220","1.53"
"2022/07/06","14400","-450","-3.03","963","14.95","0","0","12420","1.16","220","1.53"
"2022/07/05","14850","650","4.58","963","15.42","0","0","12420","1.20","220","1.48"
"2022/07/04","14200","-50","-0.35","963","14.75","0","0","12420","1.14","220","1.55"
"2022/07/01","14250","150","1.06","963","14.80","0","0","12420","1.15","220","1.54"
"2022/06/30","14100","-350","-2.42","963","14.64","0","0","12420","1.14","220","1.56"
"2022/06/29","14450","200","1.40","963","15.01","0","0","12420","1.16","220","1.52"
"2022/06/28","14250","200","1.42","963","14.80","0","0","12420","1.15","220","1.54"
"2022/06/27","14050","500","3.69","963","14.59","0","0","12420","1.13","220","1.57"
"2022/06/24","13550","600","4.63","963","14.07","0","0","12420","1.09","220","1.62"
"2022/06/23","12950","-1700","-11.60","963","13.45","0","0","12420","1.04","220","1.70"
"2022/06/22","14650","-800","-5.18","963","15.21","0","0","12420","1.18","220","1.50"
"2022/06/21","15450","150","0.98","963","16.04","0","0","12420","1.24","220","1.42"
"2022/06/20","15300","-300","-1.92","963","15.89","0","0","12420","1.23","220","1.44"
"2022/06/17","15600","300","1.96","963","16.20","0","0","12420","1.26","220","1.41"
"2022/06/16","15300","850","5.88","963","15.89","0","0","12420","1.23","220","1.44"
"2022/06/15","14450","-800","-5.25","963","15.01","0","0","12420","1.16","220","1.52"
"2022/06/14","15250","-750","-4.69","963","15.84","0","0","12420","1.23","220","1.44"
"2022/06/13","16000","-100","-0.62","963","16.61","0","0","12420","1.29","220","1.38"
"2022/06/10","16100","-200","-1.23","963","16.72","0","0","12420","1.30","220","1.37"
"2022/06/09","16300","-100","-0.61","963","16.93","0","0","12420","1.31","220","1.35"
"2022/06/08","16400","-150","-0.91","963","17.03","0","0","12420","1.32","220","1.34"
"2022/06/07","16550","-550","-3.22","963","17.19","0","0","12420","1.33","220","1.33"
"2022/06/03","17100","250","1.48","963","17.76","0","0","12420","1.38","220","1.29"
"2022/06/02","16850","450","2.74","963","17.50","0","0","12420","1.36","220","1.31"
"2022/05/31","16400","0","0.00","963","17.03","0","0","12420","1.32","220","1.34"
"2022/05/30","16400","200","1.23","963","17.03","0","0","12420","1.32","220","1.34"
