일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","28550","-400","-1.38","5214","5.48","5732","4.98","56341","0.51","600","2.10"
"2022/07/14","28950","-250","-0.86","5214","5.55","5732","5.05","56341","0.51","600","2.07"
"2022/07/13","29200","700","2.46","5214","5.60","5732","5.09","56341","0.52","600","2.05"
"2022/07/12","28500","-1800","-5.94","5214","5.47","5732","4.97","56341","0.51","600","2.11"
"2022/07/11","30300","-450","-1.46","5214","5.81","5732","5.29","56341","0.54","600","1.98"
"2022/07/08","30750","250","0.82","5214","5.90","5732","5.37","56341","0.55","600","1.95"
"2022/07/07","30500","700","2.35","5214","5.85","5703","5.35","56341","0.54","600","1.97"
"2022/07/06","29800","-1700","-5.40","5214","5.72","5703","5.22","56341","0.53","600","2.01"
"2022/07/05","31500","600","1.94","5214","6.04","5703","5.52","56341","0.56","600","1.90"
"2022/07/04","30900","-600","-1.90","5214","5.93","5703","5.42","56341","0.55","600","1.94"
"2022/07/01","31500","800","2.61","5214","6.04","5668","5.56","56341","0.56","600","1.90"
"2022/06/30","30700","-1350","-4.21","5214","5.89","5668","5.42","56341","0.54","600","1.95"
"2022/06/29","32050","-400","-1.23","5214","6.15","5668","5.66","56341","0.57","600","1.87"
"2022/06/28","32450","0","0.00","5214","6.22","5668","5.73","56341","0.58","600","1.85"
"2022/06/27","32450","-150","-0.46","5214","6.22","5668","5.73","56341","0.58","600","1.85"
"2022/06/24","32600","1800","5.84","5214","6.25","5668","5.75","56341","0.58","600","1.84"
"2022/06/23","30800","-1500","-4.64","5214","5.91","5668","5.43","56341","0.55","600","1.95"
"2022/06/22","32300","-800","-2.42","5214","6.19","5668","5.70","56341","0.57","600","1.86"
"2022/06/21","33100","350","1.07","5214","6.35","5668","5.84","56341","0.59","600","1.81"
"2022/06/20","32750","-1150","-3.39","5214","6.28","5668","5.78","56341","0.58","600","1.83"
"2022/06/17","33900","600","1.80","5214","6.50","5668","5.98","56341","0.60","600","1.77"
"2022/06/16","33300","-950","-2.77","5214","6.39","5668","5.88","56341","0.59","600","1.80"
"2022/06/15","34250","-750","-2.14","5214","6.57","5668","6.04","56341","0.61","600","1.75"
"2022/06/14","35000","-650","-1.82","5214","6.71","5668","6.18","56341","0.62","600","1.71"
"2022/06/13","35650","-1950","-5.19","5214","6.84","5668","6.29","56341","0.63","600","1.68"
"2022/06/10","37600","0","0.00","5214","7.21","5668","6.63","56341","0.67","600","1.60"
"2022/06/09","37600","-800","-2.08","5214","7.21","5668","6.63","56341","0.67","600","1.60"
"2022/06/08","38400","100","0.26","5214","7.36","5668","6.78","56341","0.68","600","1.56"
"2022/06/07","38300","-450","-1.16","5214","7.35","5668","6.76","56341","0.68","600","1.57"
"2022/06/03","38750","600","1.57","5214","7.43","5668","6.84","56341","0.69","600","1.55"
"2022/06/02","38150","-300","-0.78","5214","7.32","5632","6.77","56341","0.68","600","1.57"
"2022/05/31","38450","-400","-1.03","5214","7.37","5632","6.83","56341","0.68","600","1.56"
"2022/05/30","38850","300","0.78","5214","7.45","5633","6.90","56341","0.69","600","1.54"
"2022/05/27","38550","1400","3.77","5214","7.39","5633","6.84","56341","0.68","600","1.56"
"2022/05/26","37150","150","0.41","5214","7.13","5633","6.60","56341","0.66","600","1.62"
"2022/05/25","37000","-100","-0.27","5214","7.10","5640","6.56","56341","0.66","600","1.62"
"2022/05/24","37100","-500","-1.33","5214","7.12","5649","6.57","56341","0.66","600","1.62"
"2022/05/23","37600","-200","-0.53","5214","7.21","5649","6.66","56341","0.67","600","1.60"
"2022/05/20","37800","1500","4.13","5214","7.25","5649","6.69","56341","0.67","600","1.59"
"2022/05/19","36300","-1500","-3.97","5214","6.96","5649","6.43","56341","0.64","600","1.65"
"2022/05/18","37800","-250","-0.66","5214","7.25","5649","6.69","56341","0.67","600","1.59"
"2022/05/17","38050","150","0.40","5214","7.30","5649","6.74","56341","0.68","600","1.58"
"2022/05/16","37900","-1300","-3.32","5214","7.27","5649","6.71","56341","0.67","600","1.58"
"2022/05/13","39200","850","2.22","5214","7.52","5649","6.94","56341","0.70","600","1.53"
"2022/05/12","38350","-750","-1.92","5214","7.36","5649","6.79","56341","0.68","600","1.56"
"2022/05/11","39100","2100","5.68","5214","7.50","5590","6.99","56341","0.69","600","1.53"
"2022/05/10","37000","500","1.37","5214","7.10","5162","7.17","56341","0.66","600","1.62"
"2022/05/09","36500","1800","5.19","5214","7.00","5275","6.92","56341","0.65","600","1.64"
"2022/05/06","34700","-800","-2.25","5214","6.66","5275","6.58","56341","0.62","600","1.73"
"2022/05/04","35500","100","0.28","5214","6.81","5275","6.73","56341","0.63","600","1.69"
"2022/05/03","35400","-450","-1.26","5214","6.79","5275","6.71","56341","0.63","600","1.69"
"2022/05/02","35850","350","0.99","5214","6.88","5244","6.84","56341","0.64","600","1.67"
"2022/04/29","35500","-400","-1.11","3873","9.17","5244","6.77","45559","0.78","450","1.27"
"2022/04/28","35900","350","0.98","3873","9.27","5244","6.85","45559","0.79","450","1.25"
"2022/04/27","35550","-650","-1.80","3873","9.18","5244","6.78","45559","0.78","450","1.27"
"2022/04/26","36200","500","1.40","3873","9.35","5278","6.86","45559","0.79","450","1.24"
"2022/04/25","35700","-1450","-3.90","3873","9.22","5278","6.76","45559","0.78","450","1.26"
"2022/04/22","37150","-350","-0.93","3873","9.59","5278","7.04","45559","0.82","450","1.21"
"2022/04/21","37500","250","0.67","3873","9.68","5278","7.10","45559","0.82","450","1.20"
"2022/04/20","37250","50","0.13","3873","9.62","5278","7.06","45559","0.82","450","1.21"
"2022/04/19","37200","100","0.27","3873","9.60","5284","7.04","45559","0.82","450","1.21"
"2022/04/18","37100","700","1.92","3873","9.58","5284","7.02","45559","0.81","450","1.21"
"2022/04/15","36400","-600","-1.62","3873","9.40","5284","6.89","45559","0.80","450","1.24"
"2022/04/14","37000","850","2.35","3873","9.55","5284","7.00","45559","0.81","450","1.22"
"2022/04/13","36150","250","0.70","3873","9.33","5284","6.84","45559","0.79","450","1.24"
"2022/04/12","35900","1250","3.61","3873","9.27","5284","6.79","45559","0.79","450","1.25"
"2022/04/11","34650","-100","-0.29","3873","8.95","5284","6.56","45559","0.76","450","1.30"
"2022/04/08","34750","-400","-1.14","3873","8.97","5285","6.58","45559","0.76","450","1.29"
"2022/04/07","35150","-1050","-2.90","3873","9.08","5285","6.65","45559","0.77","450","1.28"
"2022/04/06","36200","-50","-0.14","3873","9.35","5285","6.85","45559","0.79","450","1.24"
"2022/04/05","36250","550","1.54","3873","9.36","5285","6.86","45559","0.80","450","1.24"
"2022/04/04","35700","350","0.99","3873","9.22","5285","6.76","45559","0.78","450","1.26"
"2022/04/01","35350","-350","-0.98","3873","9.13","5249","6.73","45559","0.78","450","1.27"
"2022/03/31","35700","200","0.56","3873","9.22","5249","6.80","45559","0.78","450","1.26"
"2022/03/30","35500","0","0.00","3873","9.17","5249","6.76","45559","0.78","450","1.27"
"2022/03/29","35500","50","0.14","3873","9.17","5249","6.76","45559","0.78","450","1.27"
"2022/03/28","35450","650","1.87","3873","9.15","5249","6.75","45559","0.78","450","1.27"
"2022/03/25","34800","-150","-0.43","3873","8.99","5250","6.63","45559","0.76","450","1.29"
"2022/03/24","34950","50","0.14","3873","9.02","5250","6.66","45559","0.77","450","1.29"
"2022/03/23","34900","-200","-0.57","3873","9.01","5250","6.65","45559","0.77","450","1.29"
"2022/03/22","35100","-300","-0.85","3873","9.06","5250","6.69","45559","0.77","450","1.28"
"2022/03/21","35400","150","0.43","3873","9.14","5250","6.74","45559","0.78","450","1.27"
"2022/03/18","35250","800","2.32","3873","9.10","5250","6.71","45559","0.77","450","1.28"
"2022/03/17","34450","-750","-2.13","3873","8.89","5250","6.56","45559","0.76","450","1.31"
