일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","23400","-100","-0.43","9781","2.39","6521","3.59","52527","0.45","750","3.21"
"2022/07/14","23500","-150","-0.63","9781","2.40","6521","3.60","52527","0.45","750","3.19"
"2022/07/13","23650","-300","-1.25","9781","2.42","6521","3.63","52527","0.45","750","3.17"
"2022/07/12","23950","-450","-1.84","9781","2.45","6521","3.67","52527","0.46","750","3.13"
"2022/07/11","24400","-350","-1.41","9781","2.49","6521","3.74","52527","0.46","750","3.07"
"2022/07/08","24750","350","1.43","9781","2.53","6521","3.80","52527","0.47","750","3.03"
"2022/07/07","24400","200","0.83","9781","2.49","6521","3.74","52527","0.46","750","3.07"
"2022/07/06","24200","-1400","-5.47","9781","2.47","6521","3.71","52527","0.46","750","3.10"
"2022/07/05","25600","450","1.79","9781","2.62","6521","3.93","52527","0.49","750","2.93"
"2022/07/04","25150","-800","-3.08","9781","2.57","6521","3.86","52527","0.48","750","2.98"
"2022/07/01","25950","100","0.39","9781","2.65","6409","4.05","52527","0.49","750","2.89"
"2022/06/30","25850","-450","-1.71","9781","2.64","6409","4.03","52527","0.49","750","2.90"
"2022/06/29","26300","300","1.15","9781","2.69","6409","4.10","52527","0.50","750","2.85"
"2022/06/28","26000","150","0.58","9781","2.66","6409","4.06","52527","0.49","750","2.88"
"2022/06/27","25850","350","1.37","9781","2.64","6409","4.03","52527","0.49","750","2.90"
"2022/06/24","25500","800","3.24","9781","2.61","6409","3.98","52527","0.49","750","2.94"
"2022/06/23","24700","-500","-1.98","9781","2.53","6409","3.85","52527","0.47","750","3.04"
"2022/06/22","25200","-1650","-6.15","9781","2.58","6409","3.93","52527","0.48","750","2.98"
"2022/06/21","26850","150","0.56","9781","2.75","6409","4.19","52527","0.51","750","2.79"
"2022/06/20","26700","-550","-2.02","9781","2.73","6409","4.17","52527","0.51","750","2.81"
"2022/06/17","27250","-550","-1.98","9781","2.79","6409","4.25","52527","0.52","750","2.75"
"2022/06/16","27800","100","0.36","9781","2.84","6409","4.34","52527","0.53","750","2.70"
"2022/06/15","27700","-900","-3.15","9781","2.83","6409","4.32","52527","0.53","750","2.71"
"2022/06/14","28600","-100","-0.35","9781","2.92","6409","4.46","52527","0.54","750","2.62"
"2022/06/13","28700","-1150","-3.85","9781","2.93","6409","4.48","52527","0.55","750","2.61"
"2022/06/10","29850","250","0.84","9781","3.05","6409","4.66","52527","0.57","750","2.51"
"2022/06/09","29600","850","2.96","9781","3.03","6409","4.62","52527","0.56","750","2.53"
"2022/06/08","28750","-300","-1.03","9781","2.94","6409","4.49","52527","0.55","750","2.61"
"2022/06/07","29050","-400","-1.36","9781","2.97","6409","4.53","52527","0.55","750","2.58"
"2022/06/03","29450","1200","4.25","9781","3.01","6409","4.60","52527","0.56","750","2.55"
"2022/06/02","28250","-650","-2.25","9781","2.89","6709","4.21","52527","0.54","750","2.65"
"2022/05/31","28900","350","1.23","9781","2.95","6709","4.31","52527","0.55","750","2.60"
"2022/05/30","28550","550","1.96","9781","2.92","7093","4.02","52527","0.54","750","2.63"
"2022/05/27","28000","450","1.63","9781","2.86","7093","3.95","52527","0.53","750","2.68"
"2022/05/26","27550","250","0.92","9781","2.82","7093","3.88","52527","0.52","750","2.72"
"2022/05/25","27300","100","0.37","9781","2.79","7184","3.80","52527","0.52","750","2.75"
"2022/05/24","27200","-650","-2.33","9781","2.78","7184","3.79","52527","0.52","750","2.76"
"2022/05/23","27850","-200","-0.71","9781","2.85","7184","3.88","52527","0.53","750","2.69"
"2022/05/20","28050","450","1.63","9781","2.87","7184","3.90","52527","0.53","750","2.67"
"2022/05/19","27600","-600","-2.13","9781","2.82","7635","3.61","52527","0.53","750","2.72"
