일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/07/15","63000","-800","-1.25","8652","7.28","11044","5.70","202283","0.31","1100","1.75"
"2022/07/14","63800","-500","-0.78","8652","7.37","11044","5.78","202283","0.32","1100","1.72"
"2022/07/13","64300","-200","-0.31","8652","7.43","11044","5.82","202283","0.32","1100","1.71"
"2022/07/12","64500","-2000","-3.01","8652","7.45","11044","5.84","202283","0.32","1100","1.71"
"2022/07/11","66500","-600","-0.89","8652","7.69","11044","6.02","202283","0.33","1100","1.65"
"2022/07/08","67100","0","0.00","8652","7.76","11044","6.08","202283","0.33","1100","1.64"
"2022/07/07","67100","100","0.15","8652","7.76","11039","6.08","202283","0.33","1100","1.64"
"2022/07/06","67000","-2800","-4.01","8652","7.74","11039","6.07","202283","0.33","1100","1.64"
"2022/07/05","69800","500","0.72","8652","8.07","11115","6.28","202283","0.35","1100","1.58"
"2022/07/04","69300","-1000","-1.42","8652","8.01","11115","6.23","202283","0.34","1100","1.59"
"2022/07/01","70300","200","0.29","8652","8.13","10951","6.42","202283","0.35","1100","1.56"
"2022/06/30","70100","-900","-1.27","8652","8.10","10942","6.41","202283","0.35","1100","1.57"
"2022/06/29","71000","-1600","-2.20","8652","8.21","10942","6.49","202283","0.35","1100","1.55"
"2022/06/28","72600","-100","-0.14","8652","8.39","10942","6.64","202283","0.36","1100","1.52"
"2022/06/27","72700","600","0.83","8652","8.40","10942","6.64","202283","0.36","1100","1.51"
"2022/06/24","72100","600","0.84","8652","8.33","10942","6.59","202283","0.36","1100","1.53"
"2022/06/23","71500","-300","-0.42","8652","8.26","10942","6.53","202283","0.35","1100","1.54"
"2022/06/22","71800","-1800","-2.45","8652","8.30","10921","6.57","202283","0.35","1100","1.53"
"2022/06/21","73600","1300","1.80","8652","8.51","10921","6.74","202283","0.36","1100","1.49"
"2022/06/20","72300","-700","-0.96","8652","8.36","10921","6.62","202283","0.36","1100","1.52"
"2022/06/17","73000","-3100","-4.07","8652","8.44","10921","6.68","202283","0.36","1100","1.51"
"2022/06/16","76100","-100","-0.13","8652","8.80","10921","6.97","202283","0.38","1100","1.45"
"2022/06/15","76200","-500","-0.65","8652","8.81","10921","6.98","202283","0.38","1100","1.44"
"2022/06/14","76700","-100","-0.13","8652","8.87","10921","7.02","202283","0.38","1100","1.43"
"2022/06/13","76800","-2500","-3.15","8652","8.88","10893","7.05","202283","0.38","1100","1.43"
"2022/06/10","79300","-500","-0.63","8652","9.17","10893","7.28","202283","0.39","1100","1.39"
"2022/06/09","79800","-200","-0.25","8652","9.22","10838","7.36","202283","0.39","1100","1.38"
"2022/06/08","80000","700","0.88","8652","9.25","10838","7.38","202283","0.40","1100","1.38"
"2022/06/07","79300","-1200","-1.49","8652","9.17","10826","7.33","202283","0.39","1100","1.39"
"2022/06/03","80500","2800","3.60","8652","9.30","10826","7.44","202283","0.40","1100","1.37"
"2022/06/02","77700","-1300","-1.65","8652","8.98","10663","7.29","202283","0.38","1100","1.42"
"2022/05/31","79000","-300","-0.38","8652","9.13","10716","7.37","202283","0.39","1100","1.39"
"2022/05/30","79300","1500","1.93","8652","9.17","10755","7.37","202283","0.39","1100","1.39"
"2022/05/27","77800","900","1.17","8652","8.99","10755","7.23","202283","0.38","1100","1.41"
"2022/05/26","76900","-400","-0.52","8652","8.89","10755","7.15","202283","0.38","1100","1.43"
"2022/05/25","77300","500","0.65","8652","8.93","10755","7.19","202283","0.38","1100","1.42"
"2022/05/24","76800","-700","-0.90","8652","8.88","10679","7.19","202283","0.38","1100","1.43"
"2022/05/23","77500","1200","1.57","8652","8.96","10679","7.26","202283","0.38","1100","1.42"
"2022/05/20","76300","300","0.39","8652","8.82","10679","7.14","202283","0.38","1100","1.44"
"2022/05/19","76000","-2100","-2.69","8652","8.78","10670","7.12","202283","0.38","1100","1.45"
"2022/05/18","78100","1000","1.30","8652","9.03","10670","7.32","202283","0.39","1100","1.41"
"2022/05/17","77100","200","0.26","8652","8.91","10670","7.23","202283","0.38","1100","1.43"
"2022/05/16","76900","-1600","-2.04","8652","8.89","10670","7.21","202283","0.38","1100","1.43"
"2022/05/13","78500","1500","1.95","8652","9.07","10670","7.36","202283","0.39","1100","1.40"
"2022/05/12","77000","-500","-0.65","8652","8.90","10602","7.26","202283","0.38","1100","1.43"
"2022/05/11","77500","2400","3.20","8652","8.96","10532","7.36","202283","0.38","1100","1.42"
"2022/05/10","75100","2300","3.16","8652","8.68","10532","7.13","202283","0.37","1100","1.46"
"2022/05/09","72800","-1800","-2.41","8652","8.41","10532","6.91","202283","0.36","1100","1.51"
"2022/05/06","74600","-400","-0.53","8652","8.62","10532","7.08","202283","0.37","1100","1.47"
"2022/05/04","75000","-300","-0.40","8652","8.67","10532","7.12","202283","0.37","1100","1.47"
"2022/05/03","75300","-700","-0.92","8652","8.70","10532","7.15","202283","0.37","1100","1.46"
"2022/05/02","76000","300","0.40","8652","8.78","10365","7.33","202283","0.38","1100","1.45"
"2022/04/29","75700","-300","-0.39","3172","23.87","10365","7.30","182312","0.42","1000","1.32"
"2022/04/28","76000","1300","1.74","3172","23.96","10365","7.33","182312","0.42","1000","1.32"
"2022/04/27","74700","-1300","-1.71","3172","23.55","10334","7.23","182312","0.41","1000","1.34"
"2022/04/26","76000","900","1.20","3172","23.96","10334","7.35","182312","0.42","1000","1.32"
"2022/04/25","75100","-2600","-3.35","3172","23.68","10334","7.27","182312","0.41","1000","1.33"
"2022/04/22","77700","-700","-0.89","3172","24.50","10334","7.52","182312","0.43","1000","1.29"
"2022/04/21","78400","300","0.38","3172","24.72","10334","7.59","182312","0.43","1000","1.28"
"2022/04/20","78100","700","0.90","3172","24.62","10334","7.56","182312","0.43","1000","1.28"
"2022/04/19","77400","200","0.26","3172","24.40","10334","7.49","182312","0.42","1000","1.29"
"2022/04/18","77200","1200","1.58","3172","24.34","10287","7.50","182312","0.42","1000","1.30"
"2022/04/15","76000","-300","-0.39","3172","23.96","10287","7.39","182312","0.42","1000","1.32"
"2022/04/14","76300","700","0.93","3172","24.05","10287","7.42","182312","0.42","1000","1.31"
"2022/04/13","75600","200","0.27","3172","23.83","10287","7.35","182312","0.41","1000","1.32"
"2022/04/12","75400","-300","-0.40","3172","23.77","10393","7.25","182312","0.41","1000","1.33"
"2022/04/11","75700","600","0.80","3172","23.87","10393","7.28","182312","0.42","1000","1.32"
"2022/04/08","75100","-200","-0.27","3172","23.68","10461","7.18","182312","0.41","1000","1.33"
"2022/04/07","75300","-1000","-1.31","3172","23.74","10461","7.20","182312","0.41","1000","1.33"
"2022/04/06","76300","-800","-1.04","3172","24.05","10455","7.30","182312","0.42","1000","1.31"
"2022/04/05","77100","600","0.78","3172","24.31","10455","7.37","182312","0.42","1000","1.30"
"2022/04/04","76500","300","0.39","3172","24.12","10455","7.32","182312","0.42","1000","1.31"
"2022/04/01","76200","500","0.66","3172","24.02","10295","7.40","182312","0.42","1000","1.31"
"2022/03/31","75700","800","1.07","3172","23.87","10295","7.35","182312","0.42","1000","1.32"
"2022/03/30","74900","300","0.40","3172","23.61","10305","7.27","182312","0.41","1000","1.34"
"2022/03/29","74600","-100","-0.13","3172","23.52","10305","7.24","182312","0.41","1000","1.34"
"2022/03/28","74700","100","0.13","3172","23.55","10341","7.22","182312","0.41","1000","1.34"
"2022/03/25","74600","100","0.13","3172","23.52","10341","7.21","182312","0.41","1000","1.34"
"2022/03/24","74500","-2200","-2.87","3172","23.49","10341","7.20","182312","0.41","1000","1.34"
"2022/03/23","76700","100","0.13","3172","24.18","10332","7.42","182312","0.42","1000","1.30"
"2022/03/22","76600","200","0.26","3172","24.15","10332","7.41","182312","0.42","1000","1.31"
"2022/03/21","76400","1100","1.46","3172","24.09","10332","7.39","182312","0.42","1000","1.31"
"2022/03/18","75300","-1800","-2.33","3172","23.74","10332","7.29","182312","0.41","1000","1.33"
"2022/03/17","77100","-500","-0.64","3172","24.31","10332","7.46","182312","0.42","1000","1.30"
"2022/03/16","77600","1600","2.11","3172","24.46","10332","7.51","182312","0.43","1000","1.29"
"2022/03/15","76000","-1100","-1.43","3172","23.96","10332","7.36","182312","0.42","1000","1.32"
"2022/03/14","77100","-2100","-2.65","3172","24.31","10332","7.46","182312","0.42","1000","1.30"
"2022/03/11","79200","2100","2.72","3172","24.97","10332","7.67","182312","0.43","1000","1.26"
"2022/03/10","77100","1900","2.53","3172","24.31","10332","7.46","182312","0.42","1000","1.30"
"2022/03/08","75200","-2300","-2.97","3172","23.71","10332","7.28","182312","0.41","1000","1.33"
"2022/03/07","77500","-1000","-1.27","3172","24.43","10195","7.60","182312","0.43","1000","1.29"
"2022/03/04","78500","-500","-0.63","3172","24.75","10195","7.70","182312","0.43","1000","1.27"
"2022/03/03","79000","800","1.02","3172","24.91","10195","7.75","182312","0.43","1000","1.27"
"2022/03/02","78200","400","0.51","3172","24.65","10044","7.79","182312","0.43","1000","1.28"
"2022/02/28","77800","1200","1.57","3172","24.53","10153","7.66","182312","0.43","1000","1.29"
"2022/02/25","76600","100","0.13","3172","24.15","10153","7.54","182312","0.42","1000","1.31"
"2022/02/24","76500","-1400","-1.80","3172","24.12","10223","7.48","182312","0.42","1000","1.31"
"2022/02/23","77900","400","0.52","3172","24.56","10259","7.59","182312","0.43","1000","1.28"
"2022/02/22","77500","-400","-0.51","3172","24.43","10236","7.57","182312","0.43","1000","1.29"
