번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1","095570","AJ네트웍스","KOSPI","2021","12","서비스업","0.43",,"1000","270","5","15.752","46822295","12087310320"
"2","006840","AK홀딩스","KOSPI","2021","12","기타금융",,,"5000","200","1.01","-1.309","13247561","2609099000"
"3","054620","APS홀딩스","KOSDAQ","2021","12","금융","1.34",,"500","100","0.8","7.799","20394221","1839385200"
"4","265520","AP시스템","KOSDAQ","2021","12","반도체","0.42",,"500","240","0.9","6.325","15281421","3615872160"
"5","211270","AP위성","KOSDAQ","2021","12","통신장비","0.28",,"500","70","0.5","53.203","15082304","745375120"
"6","027410","BGF","KOSPI","2021","12","기타금융",,,"1000","110","2.1","29.263","95716791","10527964370"
"7","282330","BGF리테일","KOSPI","2021","12","유통업","1.59",,"1000","3000","2","35.102","17283906","51825045000"
"8","032790","BNGT","KOSDAQ","2021","12","정보기기","0.73",,"500",,,,"29534345",
"9","138930","BNK금융지주","KOSPI","2021","12","기타금융",,,"5000","560","6.3","21.778","325935246","181681734640"
"10","001460","BYC","KOSPI","2021","12","섬유의복","0.53",,"5000","1500","0.32","4.228","624615","1262387250"
"11","013720","CBI","KOSDAQ","2021","12","운송장비·부품","0.36",,"100",,,,"52809535",
"12","001040","CJ","KOSPI","2021","12","기타금융",,,"5000","2300","2.7","9.571","29176998","77234117150"
"13","079160","CJ CGV","KOSPI","2021","12","서비스업","0.43",,"500",,,,"37953412",
"14","035760","CJ ENM","KOSDAQ","2021","12","방송서비스","0.89",,"5000","2100","1.5","19.13","21929154","43532199900"
"15","311690","CJ 바이오사이언스","KOSDAQ","2021","12","기타서비스","0.5",,"500",,,,"5873672",
"16","000120","CJ대한통운","KOSPI","2021","12","운수창고업","0.4",,"5000",,,,"22812344",
"17","011150","CJ씨푸드","KOSPI","2021","12","음식료품","1.34",,"500",,,,"35930773",
"18","097950","CJ제일제당","KOSPI","2021","12","음식료품","1.34",,"5000","5000","1.3","8.985","15054186","80182250200"
"19","051500","CJ프레시웨이","KOSDAQ","2021","12","유통","0.36",,"1000","300","1.04","11.45","11871586","3561475800"
"20","058820","CMG제약","KOSDAQ","2021","12","제약","0.3",,"500",,,,"138892244",
"21","023460","CNH","KOSDAQ","2021","12","금융","1.34",,"2500","20","0.8","66.417","37200000","692068000"
"22","056730","CNT85","KOSDAQ","2021","12","유통","0.36",,"500",,,,"70703912",
"23","065770","CS","KOSDAQ","2021","12","통신장비","0.28",,"500",,,,"19411130",
"24","083660","CSA 코스믹","KOSDAQ","2021","12","화학","0.41",,"500",,,,"37934114",
"25","000590","CS홀딩스","KOSPI","2021","12","기타금융",,,"5000","500","0.8","2.696","1154482","567910500"
"26","012030","DB","KOSPI","2021","12","서비스업","0.43",,"500",,,,"201173933",
"27","367340","DB금융스팩8호","KOSDAQ","2021","12","금융","1.34",,"100",,,,"6050000",
"28","367360","DB금융스팩9호","KOSDAQ","2021","12","금융","1.34",,"100",,,,"4840000",
"29","016610","DB금융투자","KOSPI","2021","12","증권","3.64",,"5000","500","7.4","16.334","42446389","20714444500"
"30","005830","DB손해보험","KOSPI","2021","12","보험","3.28",,"500","3500","6","24.075","70800000","210152141500"
"31","000990","DB하이텍","KOSPI","2021","12","전기전자","2.7",,"5000","450","0.63","6.173","44398588","19562638100"
"32","139130","DGB금융지주","KOSPI","2021","12","기타금융",,,"5000","630","6.4","19.242","169145833","106561874160"
"33","000210","DL","KOSPI","2021","12","기타금융",,,"5000","1900","3","4.92","20955884","43052331400"
"34","001880","DL건설","KOSPI","2021","12","건설업","1.63",,"5000","750","2.8","10.274","22053284","18037171670"
"35","375500","DL이앤씨","KOSPI","2021","12","건설업","1.63",,"5000","2700","2.2","9.124","19358738","58012054750"
"36","068790","DMS","KOSDAQ","2021","12","기계·장비","0.53",,"500","100","1.5","6.941","24573061","2443926400"
"37","007340","DN오토모티브","KOSPI","2021","12","전기전자","2.7",,"500","2000","3.3","20.259","9994005","17236250000"
"38","004840","DRB동일","KOSPI","2021","12","화학","1.1",,"500","30","0.5","-20.671","19930000","578170920"
"39","241520","DSC인베스트먼트","KOSDAQ","2021","12","금융","1.34",,"500",,,,"27811403",
"40","155660","DSR","KOSPI","2021","12","철강금속","2.09",,"500","50","0.9","6.38","16000000","800000000"
"41","069730","DSR제강","KOSPI","2021","12","철강금속","2.09",,"500","40","0.85","7.559","14400000","576000000"
"42","017940","E1","KOSPI","2021","12","유통업","1.59",,"5000","2200","4.5","9.18","6860000","12719852200"
"43","245620","EDGC","KOSDAQ","2021","12","기타서비스","0.5",,"100",,,,"83692876",
"44","037370","EG","KOSDAQ","2021","12","건설","1.48",,"1000",,,,"8287477",
"45","278990","EMB","KONEX","2021","12","-",,,"500",,,,"3628222",
"46","050120","ES큐브","KOSDAQ","2021","12","유통","0.36",,"5000",,,,"13564086",
"47","084180","EV수성","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"56810229",
"48","383220","F&F","KOSPI","2021","12","섬유의복","0.53",,"500","5500","0.61","18.148","7661415","42089289000"
"49","007700","F&F 홀딩스","KOSPI","2021","12","기타금융",,,"500","170","0.5","0.329","39114367","6641881810"
"50","214270","FSN","KOSDAQ","2021","12","출판·매체복제","0.32",,"500",,,,"26452717",
"51","130500","GH신소재","KOSDAQ","2021","12","섬유·의류","0.7",,"500",,,,"14545052",
"52","114090","GKL","KOSPI","2021","12","서비스업","0.43",,"500",,,,"61855670",
"53","078930","GS","KOSPI","2021","12","기타금융",,,"5000","2000","4.9","1173.217","92915378","189439325800"
"54","083450","GST","KOSDAQ","2021","12","반도체","0.42",,"500","300","0.8","6.785","9317745","2644273500"
"55","006360","GS건설","KOSPI","2021","12","건설업","1.63",,"5000","1300","3.1","25.736","85581490","110355563500"
"56","001250","GS글로벌","KOSPI","2021","12","유통업","1.59",,"2500",,,,"82533764",
"57","007070","GS리테일","KOSPI","2021","12","유통업","1.59",,"1000","1200","3.9","15.303","104717922","122616030000"
"58","297890","HB솔루션","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"16690289",
"59","078150","HB테크놀러지","KOSDAQ","2021","12","기계·장비","0.53",,"500","20","0.7","16.324","78990426","1523216680"
"60","012630","HDC","KOSPI","2021","12","기타금융",,,"5000","250","2.4","5.953","59741721","13705516250"
"61","039570","HDC랩스","KOSPI","2021","12","건설업","1.63",,"500","450","3.6","118.511","25957601","10773853200"
"62","089470","HDC현대EP","KOSPI","2021","12","화학","1.1",,"500","140","2.3","39.339","31900000","4046000000"
"63","294870","HDC현대산업개발","KOSPI","2021","12","건설업","1.63",,"5000","600","2.6","22.429","65907330","39538716000"
"64","267250","HD현대","KOSPI","2021","12","화학","1.1",,"1000","5550","9.61","210.852","78993085","392209786500"
"65","097230","HJ중공업","KOSPI","2021","12","건설업","1.63",,"5000",,,,"83274281",
"66","195940","HK이노엔","KOSDAQ","2021","12","제약","0.3",,"500","320","0.6","21.628","28904499","5349920000"
"67","028300","HLB","KOSDAQ","2021","12","운송장비·부품","0.36",,"500",,,,"106610064",
"68","003580","HLB글로벌","KOSPI","2021","12","광업",,,"500",,,,"42065837",
"69","343090","HLB사이언스","KONEX","2021","12","-",,,"1000",,,,"5458325",
"70","067630","HLB생명과학","KOSDAQ","2021","12","기타서비스","0.5",,"500",,,,"95498081",
"71","047920","HLB제약","KOSDAQ","2021","12","기타서비스","0.5",,"500",,,,"26098182",
"72","115450","HLB테라퓨틱스","KOSDAQ","2021","12","유통","0.36",,"500",,,,"27088019",
"73","011200","HMM","KOSPI","2021","12","운수창고업","0.4",,"5000","600","2.2","5.498","489039496","293423697600"
"74","036640","HRS","KOSDAQ","2021","12","화학","0.41",,"500","200","2.7","15.352","16354800","3196353000"
"75","082740","HSD엔진","KOSPI","2021","12","기계","0.76",,"1000",,,,"46721246",
"76","335870","IBKS제12호스팩","KOSDAQ","2021","12","금융","1.34",,"100",,,,"3120000",
"77","351340","IBKS제13호스팩","KOSDAQ","2021","12","금융","1.34",,"100",,,,"5170000",
"78","388790","IBKS제16호스팩","KOSDAQ","2021","12","금융","1.34",,"100",,,,"3410000",
"79","405350","IBKS제17호스팩","KOSDAQ","2021","12","-",,,,,,,,
"80","095340","ISC","KOSDAQ","2021","12","반도체","0.42",,"500","200","0.6","10.511","16544516","3162330000"
"81","099520","ITX-AI","KOSDAQ","2021","12","통신장비","0.28",,"500",,,,"29301683",
"82","175330","JB금융지주","KOSPI","2021","12","기타금융",,,"5000","599","6.9","22.156","196982894","116412100925"
"83","234080","JW생명과학","KOSPI","2021","12","의약품","0.12",,"2500","500","3.5","59.957","15834554","7742277000"
"84","067290","JW신약","KOSDAQ","2021","12","제약","0.3",,"500",,,,"43936858",
"85","001060","JW중외제약","KOSPI","2021","12","의약품","0.12",,"2500","325","1.4","-510.199","21539926","7351967825"
"86","096760","JW홀딩스","KOSPI","2021","12","기타금융",,,"500","90","2.6","135.526","68441182","6010574940"
"87","035900","JYP Ent.","KOSDAQ","2021","12","오락·문화","0.04",,"500","369","0.745","18.093","35497492","12213183771"
"88","318000","KBG","KOSDAQ","2021","12","화학","0.41",,"200","100","1.2","20.223","8176825","809746100"
"89","024840","KBI메탈","KOSDAQ","2021","12","금속","0.87",,"500",,,,"32950848",
"90","105560","KB금융","KOSPI","2021","12","기타금융",,,"5000","2940","5.1","26.127","415807920","1145524944900"
"91","024120","KB오토시스","KOSDAQ","2021","12","운송장비·부품","0.36",,"500","120","1.8","-340.741","11500000","1380000000"
"92","021320","KCC건설","KOSDAQ","2021","12","건설","1.48",,"5000","180","2.2","7.608","21400000","3590178480"
"93","036670","KCI","KOSDAQ","2021","12","화학","0.41",,"500","200","2.17","21.192","11270000","2152040000"
"94","009440","KC그린홀딩스","KOSPI","2021","12","기타금융",,,"500","70","1.68","15.813","22434980","1548748600"
"95","112190","KC산업","KONEX","2021","12","-",,,"500",,,,"7125253",
"96","119650","KC코트렐","KOSPI","2021","12","기계","0.76",,"500",,,,"17600000",
"97","044180","KD","KOSDAQ","2021","12","건설","1.48",,"500",,,,"23281243",
"98","092220","KEC","KOSPI","2021","12","전기전자","2.7",,"500",,,,"144718141",
"99","151860","KG ETS","KOSDAQ","2021","12","기타서비스","0.5",,"500","120","0.8","2.243","36000000","4320000000"
"100","046440","KG모빌리언스","KOSDAQ","2021","12","소프트웨어","0.32",,"500","220","1.77","27.784","38825568","8162664840"
"101","016380","KG스틸","KOSPI","2021","12","철강금속","2.09",,"5000","100","0.9","5.248","100008897","10008137250"
"102","035600","KG이니시스","KOSDAQ","2021","12","소프트웨어","0.32",,"500","400","2.1","17.148","27904434","10647395200"
"103","001390","KG케미칼","KOSPI","2021","12","화학","1.1",,"5000","500","1.6","2.446","13866096","6897974000"
"104","226360","KH 건설","KOSDAQ","2021","12","건설","1.48",,"100",,,,"71353755",
"105","111870","KH 전자","KOSDAQ","2021","12","일반전기전자","0.23",,"500",,,,"110941315",
"106","033180","KH 필룩스","KOSPI","2021","12","전기전자","2.7",,"500",,,,"136730264",
"107","060720","KH바텍","KOSDAQ","2021","12","IT부품","0.36",,"500","300","1.2","20.549","23677442","6803232600"
"108","001940","KISCO홀딩스","KOSPI","2021","12","철강금속","2.09",,"1000","400","2.7","3.107","18476380","5541826000"
"109","122450","KMH","KOSDAQ","2021","12","방송서비스","0.89",,"500",,,,"45335964",
"110","052900","KMH하이텍","KOSDAQ","2021","12","반도체","0.42",,"500",,,,"51628046",
"111","058400","KNN","KOSDAQ","2021","12","방송서비스","0.89",,"500","20","1.51","28.808","132429720","2648594400"
"112","114450","KPX생명과학","KOSDAQ","2021","12","제약","0.3",,"500",,,,"15000000",
