,회사명,회계년도,log(age)
0,노루페인트,2010,1.6094379124341003
1,노루페인트,2011,1.791759469228055
2,노루페인트,2012,1.9459101490553132
3,노루페인트,2013,2.0794415416798357
4,노루페인트,2014,2.1972245773362196
5,노루페인트,2015,2.302585092994046
6,노루페인트,2016,2.3978952727983707
7,노루페인트,2017,2.4849066497880004
8,노루페인트,2018,2.5649493574615367
9,노루페인트,2019,2.6390573296152584
10,노루페인트,2020,2.70805020110221
11,노루페인트,2021,2.772588722239781
12,대동,2010,3.58351893845611
13,대동,2011,3.6109179126442243
14,대동,2012,3.6375861597263857
15,대동,2013,3.6635616461296463
16,대동,2014,3.6888794541139363
17,대동,2015,3.713572066704308
18,대동,2016,3.7376696182833684
19,대동,2017,3.7612001156935624
20,대동,2018,3.784189633918261
21,대동,2019,3.8066624897703196
22,대동,2020,3.828641396489095
23,대동,2021,3.8501476017100584
24,삼천리,2010,3.5553480614894135
25,삼천리,2011,3.58351893845611
26,삼천리,2012,3.6109179126442243
27,삼천리,2013,3.6375861597263857
28,삼천리,2014,3.6635616461296463
29,삼천리,2015,3.6888794541139363
30,삼천리,2016,3.713572066704308
31,삼천리,2017,3.7376696182833684
32,삼천리,2018,3.7612001156935624
33,삼천리,2019,3.784189633918261
34,삼천리,2020,3.8066624897703196
35,삼천리,2021,3.828641396489095
36,NI스틸,2010,3.58351893845611
37,NI스틸,2011,3.6109179126442243
38,NI스틸,2012,3.6375861597263857
39,NI스틸,2013,3.6635616461296463
40,NI스틸,2014,3.6888794541139363
41,NI스틸,2015,3.713572066704308
42,NI스틸,2016,3.7376696182833684
43,NI스틸,2017,3.7612001156935624
44,NI스틸,2018,3.784189633918261
45,NI스틸,2019,3.8066624897703196
46,NI스틸,2020,3.828641396489095
47,NI스틸,2021,3.8501476017100584
48,LS,2010,3.5263605246161616
49,LS,2011,3.5553480614894135
50,LS,2012,3.58351893845611
51,LS,2013,3.6109179126442243
52,LS,2014,3.6375861597263857
53,LS,2015,3.6635616461296463
54,LS,2016,3.6888794541139363
55,LS,2017,3.713572066704308
56,LS,2018,3.7376696182833684
57,LS,2019,3.7612001156935624
58,LS,2020,3.784189633918261
59,LS,2021,3.8066624897703196
60,LF,2010,1.6094379124341003
61,LF,2011,1.791759469228055
62,LF,2012,1.9459101490553132
63,LF,2013,2.0794415416798357
64,LF,2014,2.1972245773362196
65,LF,2015,2.302585092994046
66,LF,2016,2.3978952727983707
67,LF,2017,2.4849066497880004
68,LF,2018,2.5649493574615367
69,LF,2019,2.6390573296152584
70,LF,2020,2.70805020110221
71,LF,2021,2.772588722239781
72,유니드,2010,1.9459101490553132
73,유니드,2011,2.0794415416798357
74,유니드,2012,2.1972245773362196
75,유니드,2013,2.302585092994046
76,유니드,2014,2.3978952727983707
77,유니드,2015,2.4849066497880004
78,유니드,2016,2.5649493574615367
79,유니드,2017,2.6390573296152584
80,유니드,2018,2.70805020110221
81,유니드,2019,2.772588722239781
82,유니드,2020,2.833213344056216
83,유니드,2021,2.8903717578961645
84,유한양행,2010,3.8918202981106265
85,유한양행,2011,3.912023005428146
86,유한양행,2012,3.9318256327243257
87,유한양행,2013,3.9512437185814275
88,유한양행,2014,3.970291913552122
89,유한양행,2015,3.9889840465642745
90,유한양행,2016,4.007333185232471
91,유한양행,2017,4.02535169073515
92,유한양행,2018,4.04305126783455
93,유한양행,2019,4.060443010546419
94,유한양행,2020,4.07753744390572
95,유한양행,2021,4.0943445622221
96,한섬,2010,2.70805020110221
97,한섬,2011,2.772588722239781
98,한섬,2012,2.833213344056216
99,한섬,2013,2.8903717578961645
100,한섬,2014,2.9444389791664403
101,한섬,2015,2.995732273553991
102,한섬,2016,3.044522437723423
103,한섬,2017,3.091042453358316
104,한섬,2018,3.1354942159291497
105,한섬,2019,3.1780538303479458
106,한섬,2020,3.2188758248682006
107,한섬,2021,3.258096538021482
108,한화,2010,3.5553480614894135
109,한화,2011,3.58351893845611
110,한화,2012,3.6109179126442243
111,한화,2013,3.6375861597263857
112,한화,2014,3.6635616461296463
113,한화,2015,3.6888794541139363
114,한화,2016,3.713572066704308
115,한화,2017,3.7376696182833684
116,한화,2018,3.7612001156935624
117,한화,2019,3.784189633918261
118,한화,2020,3.8066624897703196
119,한화,2021,3.828641396489095
120,현대백화점,2010,2.1972245773362196
121,현대백화점,2011,2.302585092994046
122,현대백화점,2012,2.3978952727983707
123,현대백화점,2013,2.4849066497880004
124,현대백화점,2014,2.5649493574615367
125,현대백화점,2015,2.6390573296152584
126,현대백화점,2016,2.70805020110221
127,현대백화점,2017,2.772588722239781
128,현대백화점,2018,2.833213344056216
129,현대백화점,2019,2.8903717578961645
130,현대백화점,2020,2.9444389791664403
131,현대백화점,2021,2.995732273553991
132,고려산업,2010,2.995732273553991
133,고려산업,2011,3.044522437723423
134,고려산업,2012,3.091042453358316
135,고려산업,2013,3.1354942159291497
136,고려산업,2014,3.1780538303479458
137,고려산업,2015,3.2188758248682006
138,고려산업,2016,3.258096538021482
139,고려산업,2017,3.295836866004329
140,고려산업,2018,3.332204510175204
141,고려산업,2019,3.367295829986474
142,고려산업,2020,3.4011973816621555
143,고려산업,2021,3.4339872044851463
144,금강철강,2010,2.1972245773362196
145,금강철강,2011,2.302585092994046
146,금강철강,2012,2.3978952727983707
147,금강철강,2013,2.4849066497880004
148,금강철강,2014,2.5649493574615367
149,금강철강,2015,2.6390573296152584
150,금강철강,2016,2.70805020110221
151,금강철강,2017,2.772588722239781
152,금강철강,2018,2.833213344056216
153,금강철강,2019,2.8903717578961645
154,금강철강,2020,2.9444389791664403
155,금강철강,2021,2.995732273553991
156,대상홀딩스,2010,1.791759469228055
157,대상홀딩스,2011,1.9459101490553132
158,대상홀딩스,2012,2.0794415416798357
159,대상홀딩스,2013,2.1972245773362196
160,대상홀딩스,2014,2.302585092994046
161,대상홀딩스,2015,2.3978952727983707
162,대상홀딩스,2016,2.4849066497880004
163,대상홀딩스,2017,2.5649493574615367
164,대상홀딩스,2018,2.6390573296152584
165,대상홀딩스,2019,2.70805020110221
166,대상홀딩스,2020,2.772588722239781
167,대상홀딩스,2021,2.833213344056216
168,대정화금,2010,0.0
169,대정화금,2011,0.6931471805599453
170,대정화금,2012,1.0986122886681098
171,대정화금,2013,1.3862943611198906
172,대정화금,2014,1.6094379124341003
173,대정화금,2015,1.791759469228055
174,대정화금,2016,1.9459101490553132
175,대정화금,2017,2.0794415416798357
176,대정화금,2018,2.1972245773362196
177,대정화금,2019,2.302585092994046
178,대정화금,2020,2.3978952727983707
179,대정화금,2021,2.4849066497880004
180,대한제당,2010,3.7612001156935624
181,대한제당,2011,3.784189633918261
182,대한제당,2012,3.8066624897703196
183,대한제당,2013,3.828641396489095
184,대한제당,2014,3.8501476017100584
185,대한제당,2015,3.871201010907891
186,대한제당,2016,3.8918202981106265
187,대한제당,2017,3.912023005428146
188,대한제당,2018,3.9318256327243257
189,대한제당,2019,3.9512437185814275
190,대한제당,2020,3.970291913552122
191,대한제당,2021,3.9889840465642745
192,대한제분,2010,3.713572066704308
193,대한제분,2011,3.7376696182833684
194,대한제분,2012,3.7612001156935624
195,대한제분,2013,3.784189633918261
196,대한제분,2014,3.8066624897703196
197,대한제분,2015,3.828641396489095
198,대한제분,2016,3.8501476017100584
199,대한제분,2017,3.871201010907891
200,대한제분,2018,3.8918202981106265
201,대한제분,2019,3.912023005428146
202,대한제분,2020,3.9318256327243257
203,대한제분,2021,3.9512437185814275
204,세방전지,2010,3.1780538303479458
205,세방전지,2011,3.2188758248682006
206,세방전지,2012,3.258096538021482
207,세방전지,2013,3.295836866004329
208,세방전지,2014,3.332204510175204
209,세방전지,2015,3.367295829986474
210,세방전지,2016,3.4011973816621555
211,세방전지,2017,3.4339872044851463
212,세방전지,2018,3.4657359027997265
213,세방전지,2019,3.4965075614664802
214,세방전지,2020,3.5263605246161616
215,세방전지,2021,3.5553480614894135
216,SK텔레콤,2010,3.091042453358316
217,SK텔레콤,2011,3.1354942159291497
218,SK텔레콤,2012,3.1780538303479458
219,SK텔레콤,2013,3.2188758248682006
220,SK텔레콤,2014,3.258096538021482
221,SK텔레콤,2015,3.295836866004329
222,SK텔레콤,2016,3.332204510175204
223,SK텔레콤,2017,3.367295829986474
224,SK텔레콤,2018,3.4011973816621555
225,SK텔레콤,2019,3.4339872044851463
226,SK텔레콤,2020,3.4657359027997265
227,SK텔레콤,2021,3.4965075614664802
228,태경산업,2010,2.70805020110221
229,태경산업,2011,2.772588722239781
230,태경산업,2012,2.833213344056216
231,태경산업,2013,2.8903717578961645
232,태경산업,2014,2.9444389791664403
233,태경산업,2015,2.995732273553991
234,태경산업,2016,3.044522437723423
235,태경산업,2017,3.091042453358316
236,태경산업,2018,3.1354942159291497
237,태경산업,2019,3.1780538303479458
238,태경산업,2020,3.2188758248682006
239,태경산업,2021,3.258096538021482
240,태경케미컬,2010,2.0794415416798357
241,태경케미컬,2011,2.1972245773362196
242,태경케미컬,2012,2.302585092994046
243,태경케미컬,2013,2.3978952727983707
244,태경케미컬,2014,2.4849066497880004
245,태경케미컬,2015,2.5649493574615367
246,태경케미컬,2016,2.6390573296152584
247,태경케미컬,2017,2.70805020110221
248,태경케미컬,2018,2.772588722239781
249,태경케미컬,2019,2.833213344056216
250,태경케미컬,2020,2.8903717578961645
251,태경케미컬,2021,2.9444389791664403
