,날짜,시가,고가,저가,종가,거래량,종목코드,종목명
0,2010-01-04,2490,2575,2490,2510,916834,053260,금강철강
1,2010-01-05,2545,2545,2470,2510,371742,053260,금강철강
2,2010-01-06,2510,2530,2450,2480,345649,053260,금강철강
3,2010-01-07,2475,2520,2475,2520,270200,053260,금강철강
4,2010-01-08,2525,2560,2435,2500,388606,053260,금강철강
5,2010-01-11,2490,2520,2460,2500,134221,053260,금강철강
6,2010-01-12,2480,2500,2440,2445,114007,053260,금강철강
7,2010-01-13,2445,2525,2445,2480,385204,053260,금강철강
8,2010-01-14,2500,2535,2455,2495,471366,053260,금강철강
9,2010-01-15,2500,2660,2435,2435,1753319,053260,금강철강
10,2010-01-18,2435,2435,2320,2360,397550,053260,금강철강
11,2010-01-19,2360,2455,2310,2375,321344,053260,금강철강
12,2010-01-20,2375,2395,2290,2370,315881,053260,금강철강
13,2010-01-21,2360,2460,2305,2375,844359,053260,금강철강
14,2010-01-22,2375,2470,2320,2340,1112535,053260,금강철강
15,2010-01-25,2325,2385,2200,2240,658999,053260,금강철강
16,2010-01-26,2270,2270,2165,2215,345029,053260,금강철강
17,2010-01-27,2210,2225,2175,2225,132740,053260,금강철강
18,2010-01-28,2205,2230,2195,2220,110787,053260,금강철강
19,2010-01-29,2200,2215,2150,2170,161176,053260,금강철강
20,2010-02-01,2150,2190,2100,2175,59412,053260,금강철강
21,2010-02-02,2180,2255,2175,2210,83468,053260,금강철강
22,2010-02-03,2240,2265,2210,2255,118623,053260,금강철강
23,2010-02-04,2230,2260,2195,2210,144607,053260,금강철강
24,2010-02-05,2145,2150,2100,2150,252802,053260,금강철강
25,2010-02-08,2105,2165,2105,2130,51933,053260,금강철강
26,2010-02-09,2160,2160,2130,2155,41322,053260,금강철강
27,2010-02-10,2165,2190,2150,2185,41306,053260,금강철강
28,2010-02-11,2165,2245,2165,2225,83639,053260,금강철강
29,2010-02-12,2220,2245,2200,2240,66843,053260,금강철강
30,2010-02-16,2255,2280,2230,2250,29518,053260,금강철강
31,2010-02-17,2250,2265,2210,2255,79220,053260,금강철강
32,2010-02-18,2265,2270,2240,2250,55033,053260,금강철강
