회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),보통주배당금_현금(천원),상장일,종가(원),보통주식비율,외국인_주식분포비율,소액주주계_주식수(주),[공통]   보통주(IFRS연결)(천원),[공통]         우선주자본금(IFRS연결)(천원),[공통]자산(*)(IFRS)(천원),[공통]자본(*)(IFRS)(천원),[공통]부채(*)(IFRS)(천원),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[공통]   보통주(IFRS)(천원),[공통]      우선주자본금(IFRS)(천원),발행주식 보통주
(주)노루페인트,90350,Dec-10,432876772,218550474,214326298,18.46,18506397,3000000,2006-07-03,3305,68.4,1,7386317,20000000,231563,421870977,217948168,203922809,17.5,16176192,20000000,231563,20000000
(주)노루페인트,90350,Dec-11,490240264,224078306,266161958,19.61,25186149,4000000,2006-07-03,2970,68.1,0.98,,20000000,231563,473071190,218898181,254173009,19.63,23786392,20000000,231563,20000000
(주)노루페인트,90350,Dec-12,527545682,222705225,304840457,8.16,-5557404,4000000,2006-07-03,4555,65.04,2.69,5858064,20000000,231563,511877762,218703476,293174286,7.82,-6315034,20000000,231563,20000000
(주)노루페인트,90350,Dec-13,528887786,230644925,298242861,3.54,15754793,4000000,2006-07-03,5110,65.12,0.53,7439238,20000000,231563,507427528,224963718,282463810,2.39,18284130,20000000,231563,20000000
(주)노루페인트,90350,Dec-14,544220095,241258376,302961719,5.69,26737511,4000000,2006-07-03,9050,55.75,2.65,7817491,20000000,231563,518168929,232266487,285902442,4.48,20446818,20000000,231563,20000000
(주)노루페인트,90350,Dec-15,572890897,271200294,301690604,0.76,28906227,4000000,2006-07-03,11150,54.59,3.46,7785581,20000000,231563,526081263,244314331,281766932,0.97,25430195,20000000,231563,20000000
(주)노루페인트,90350,Dec-16,570582358,276454031,294128326,3.75,44454802,4000000,2006-07-03,8550,54.03,3.68,8485332,20000000,231563,543186736,266158031,277028706,2.95,42491282,20000000,231563,20000000
(주)노루페인트,90350,Dec-17,591817509,299029824,292787685,15.13,33336696,5000000,2006-07-03,8680,53.69,4.4,7842488,20000000,231563,541017214,282180816,258836398,11.06,31427537,20000000,231563,20000000
(주)노루페인트,90350,Dec-18,607444943,307805863,299639080,11.48,13983628,5000000,2006-07-03,8230,53.39,5.18,7909745,20000000,231563,555644322,291347902,264296420,11.96,17976429,20000000,231563,20000000
(주)노루페인트,90350,Dec-19,627342505,322368611,304973894,5.32,59239359,5500000,2006-07-03,8150,53.21,5.67,8035363,20000000,231563,570495808,301854965,268640842,5.08,45995895,20000000,231563,20000000
(주)노루페인트,90350,Dec-20,666659131,333862156,332796975,-0.7,39913309,5500000,2006-07-03,9910,53.21,6.5,8809021,20000000,231563,598656694,307886508,290770186,-1.66,33506452,20000000,231563,20000000
(주)노루페인트,90350,Dec-21,670646934,344991439,325655495,13.69,23768428,5500000,2006-07-03,14900,51.91,5.34,8594487,20000000,231563,600505458,311999317,288506141,16.57,18815693,20000000,231563,20000000
(주)대동,490,Dec-10,537197200,229915145,307282054,1.34,48196101,1036411,1975-06-27,5020,43.42,1.61,9051605,23728210,0,463412629,211483914,251928715,5.48,18109272,23728210,0,23728210
(주)대동,490,Dec-11,568320324,234924528,333395797,19.14,18794798,1036000,1975-06-27,3675,43.42,1.46,8825545,23728210,0,469760509,211881261,257879247,14.08,30245296,23728210,0,23728210
(주)대동,490,Dec-12,554436780,230400313,324036467,-8.99,21357764,1036000,1975-06-27,5660,28.8,1.77,7986825,23728210,0,456743836,212757014,243986822,-5.83,23467393,23728210,0,23728210
(주)대동,490,Dec-13,577832578,225940641,351891937,9.07,34316607,1036411,1975-06-27,6000,29.31,1.85,7845605,23728210,0,489594789,205375934,284218856,7.51,16521273,23728210,0,23728210
(주)대동,490,Dec-14,707010305,230397276,476613029,-1.84,-29488157,1243693,1975-06-27,9850,32.02,1.88,7676238,23728210,0,603838912,208491784,395347128,-0.83,-31838299,23728210,0,23728210
