,회사명,회계년도,자산총계,자본총계,부채총계,매출액증가율,영업활동현금흐름,보통주총배당금,상장일,종가,최대주주지분율,외국인지분율,소액주주주식수,우선주자본금,발행주식 보통주,ROA
0,노루페인트,2010,4.32877E+11,2.1855E+11,2.14326E+11,18.46,18506397000,3000000000,2006-07-03,3305,68.4,1,7386317,231563000,20000000,1.44
1,노루페인트,2011,4.9024E+11,2.24078E+11,2.66162E+11,19.61,25186149000,4000000000,2006-07-03,2970,68.1,0.98,7814830,231563000,20000000,1.92
2,노루페인트,2012,5.27546E+11,2.22705E+11,3.0484E+11,8.16,-5557404000,4000000000,2006-07-03,4555,65.04,2.69,5858064,231563000,20000000,0.9
3,노루페인트,2013,5.28888E+11,2.30645E+11,2.98243E+11,3.54,15754793000,4000000000,2006-07-03,5110,65.12,0.53,7439238,231563000,20000000,2.23
4,노루페인트,2014,5.4422E+11,2.41258E+11,3.02962E+11,5.69,26737511000,4000000000,2006-07-03,9050,55.75,2.65,7817491,231563000,20000000,2.86
5,노루페인트,2015,5.72891E+11,2.712E+11,3.01691E+11,0.76,28906227000,4000000000,2006-07-03,11150,54.59,3.46,7785581,231563000,20000000,5.86
6,노루페인트,2016,5.70582E+11,2.76454E+11,2.94128E+11,3.75,44454802000,4000000000,2006-07-03,8550,54.03,3.68,8485332,231563000,20000000,1.66
7,노루페인트,2017,5.91818E+11,2.9903E+11,2.92788E+11,15.13,33336696000,5000000000,2006-07-03,8680,53.69,4.4,7842488,231563000,20000000,5.07
8,노루페인트,2018,6.07445E+11,3.07806E+11,2.99639E+11,11.48,13983628000,5000000000,2006-07-03,8230,53.39,5.18,7909745,231563000,20000000,2.12
9,노루페인트,2019,6.27343E+11,3.22369E+11,3.04974E+11,5.32,59239359000,5500000000,2006-07-03,8150,53.21,5.67,8035363,231563000,20000000,3.06
10,노루페인트,2020,6.66659E+11,3.33862E+11,3.32797E+11,-0.7,39913309000,5500000000,2006-07-03,9910,53.21,6.5,8809021,231563000,20000000,2.78
11,노루페인트,2021,6.70647E+11,3.44991E+11,3.25655E+11,13.69,23768428000,5500000000,2006-07-03,14900,51.91,5.34,8594487,231563000,20000000,2.16
12,대동,2010,5.37197E+11,2.29915E+11,3.07282E+11,1.34,48196101000,1036411000,1975-06-27,5020,43.42,1.61,9051605,0,23728210,0.35
13,대동,2011,5.6832E+11,2.34925E+11,3.33396E+11,19.14,18794798000,1036000000,1975-06-27,3675,43.42,1.46,8825545,0,23728210,1.14
14,대동,2012,5.54437E+11,2.304E+11,3.24036E+11,-8.99,21357764000,1036000000,1975-06-27,5660,28.8,1.77,7986825,0,23728210,-0.24
15,대동,2013,5.77833E+11,2.25941E+11,3.51892E+11,9.07,34316607000,1036411000,1975-06-27,6000,29.31,1.85,7845605,0,23728210,-0.17
16,대동,2014,7.0701E+11,2.30397E+11,4.76613E+11,-1.84,-29488157000,1243693000,1975-06-27,9850,32.02,1.88,7676238,0,23728210,0.78
17,대동,2015,6.88285E+11,2.33123E+11,4.55163E+11,-3.28,15423255000,1036410000,1975-06-27,9170,32.42,1.82,7938806,0,23728210,0.51
