회사명,거래소코드,회계년도,[공통]총자본순이익률(IFRS),[공통]총자본순이익률(IFRS연결)
(주)노루페인트,90350,Dec.07,1.51,1.54
(주)노루페인트,90350,Dec.08,1.52,1.49
(주)노루페인트,90350,Dec.09,0.84,0.82
(주)노루페인트,90350,Dec.10,0.79,1.44
(주)노루페인트,90350,Dec.11,1.11,1.92
(주)노루페인트,90350,Dec.12,0.82,0.9
(주)노루페인트,90350,Dec.13,1.89,2.23
(주)노루페인트,90350,Dec.14,2.45,2.86
(주)노루페인트,90350,Dec.15,3.04,5.86
(주)노루페인트,90350,Dec.16,4.89,1.66
(주)노루페인트,90350,Dec.17,3.73,5.07
(주)노루페인트,90350,Dec.18,2.63,2.12
(주)노루페인트,90350,Dec.19,2.77,3.06
(주)노루페인트,90350,Dec.20,1.93,2.78
(주)노루페인트,90350,Dec.21,1.67,2.16
(주)대동,490,Dec.07,-1.56,-1.4
(주)대동,490,Dec.08,-4.35,-3.67
(주)대동,490,Dec.09,1.19,0.99
(주)대동,490,Dec.10,0.61,0.35
(주)대동,490,Dec.11,0.37,1.14
(주)대동,490,Dec.12,0.53,-0.24
(주)대동,490,Dec.13,-0.89,-0.17
(주)대동,490,Dec.14,0.73,0.78
(주)대동,490,Dec.15,-0.09,0.51
(주)대동,490,Dec.16,-3.56,-2.65
(주)대동,490,Dec.17,0.8,1.41
(주)대동,490,Dec.18,-0.66,0.19
(주)대동,490,Dec.19,-1.5,0.38
(주)대동,490,Dec.20,2.22,2.39
(주)대동,490,Dec.21,2.19,3.15
(주)삼천리,4690,Dec.07,5.29,5.22
(주)삼천리,4690,Dec.08,4.49,4.22
(주)삼천리,4690,Dec.09,8.87,8.62
(주)삼천리,4690,Dec.10,4.32,3.85
(주)삼천리,4690,Dec.11,1.62,1.34
(주)삼천리,4690,Dec.12,1.65,1.37
(주)삼천리,4690,Dec.13,1.74,1.46
(주)삼천리,4690,Dec.14,0.56,0.36
(주)삼천리,4690,Dec.15,0.86,1.03
(주)삼천리,4690,Dec.16,1.53,0.55
(주)삼천리,4690,Dec.17,1.36,0.14
(주)삼천리,4690,Dec.18,0.94,0.72
(주)삼천리,4690,Dec.19,1.26,0.95
(주)삼천리,4690,Dec.20,1.2,0.7
(주)삼천리,4690,Dec.21,1.3,1.75
(주)엔아이스틸,8260,Dec.07,4.4,4.4
(주)엔아이스틸,8260,Dec.08,1.09,1.09
(주)엔아이스틸,8260,Dec.09,0.99,0.99
(주)엔아이스틸,8260,Dec.10,4.95,4.95
(주)엔아이스틸,8260,Dec.11,4.67,4.67
(주)엔아이스틸,8260,Dec.12,4.94,4.94
(주)엔아이스틸,8260,Dec.13,5.03,5.03
(주)엔아이스틸,8260,Dec.14,3.28,3.28
(주)엔아이스틸,8260,Dec.15,4.11,4.11
(주)엔아이스틸,8260,Dec.16,5.33,5.33
(주)엔아이스틸,8260,Dec.17,4.79,4.79
(주)엔아이스틸,8260,Dec.18,4.12,4.12
(주)엔아이스틸,8260,Dec.19,2.55,2.55
(주)엔아이스틸,8260,Dec.20,4.44,4.44
(주)엔아이스틸,8260,Dec.21,7.02,7.02
(주)엘에스,6260,Dec.07,5.76,6.65
(주)엘에스,6260,Dec.08,-1.26,2.09
(주)엘에스,6260,Dec.09,12.67,4.22
(주)엘에스,6260,Dec.10,2.65,3.38
(주)엘에스,6260,Dec.11,3.06,1.29
(주)엘에스,6260,Dec.12,3.78,2.13
(주)엘에스,6260,Dec.13,3.41,1.64
(주)엘에스,6260,Dec.14,2.65,0.85
(주)엘에스,6260,Dec.15,5,-0.73
(주)엘에스,6260,Dec.16,1.8,2.2
(주)엘에스,6260,Dec.17,3.21,3.71
(주)엘에스,6260,Dec.18,8,4.76
(주)엘에스,6260,Dec.19,1.78,0.87
(주)엘에스,6260,Dec.20,3.44,1.74
(주)엘에스,6260,Dec.21,7.26,2.9
(주)엘에프,93050,Dec.07,11.6,11.6
(주)엘에프,93050,Dec.08,12.11,22.91
(주)엘에프,93050,Dec.09,10.29,10.29
(주)엘에프,93050,Dec.10,11.5,9.85
(주)엘에프,93050,Dec.11,10.18,7.99
(주)엘에프,93050,Dec.12,6.85,4.77
(주)엘에프,93050,Dec.13,6.94,5.19
(주)엘에프,93050,Dec.14,7.15,6.02
(주)엘에프,93050,Dec.15,4,3.52
(주)엘에프,93050,Dec.16,3.96,3.35
(주)엘에프,93050,Dec.17,5,4.41
(주)엘에프,93050,Dec.18,5.76,5.01
(주)엘에프,93050,Dec.19,4.67,3.41
(주)엘에프,93050,Dec.20,2.35,1.17
(주)엘에프,93050,Dec.21,8.06,5.42
(주)유니드,14830,Dec.07,9.25,8.68
(주)유니드,14830,Dec.08,14.93,13.67
(주)유니드,14830,Dec.09,6.92,6.4
(주)유니드,14830,Dec.10,11.61,13.39
(주)유니드,14830,Dec.11,7.23,8.3
(주)유니드,14830,Dec.12,1.26,0.5
(주)유니드,14830,Dec.13,3.57,4.17
(주)유니드,14830,Dec.14,4.83,5.34
(주)유니드,14830,Dec.15,8.72,7.59
(주)유니드,14830,Dec.16,5.42,4.65
(주)유니드,14830,Dec.17,3.45,3.8
(주)유니드,14830,Dec.18,1.4,3.23
(주)유니드,14830,Dec.19,4.06,6.17
(주)유니드,14830,Dec.20,5.03,6.99
(주)유니드,14830,Dec.21,10.96,13.54
(주)유한양행,100,Dec.07,9.45,9.23
(주)유한양행,100,Dec.08,12.61,12.34
(주)유한양행,100,Dec.09,11.36,11.2
(주)유한양행,100,Dec.10,11.33,10.78
(주)유한양행,100,Dec.11,6.61,7.24
(주)유한양행,100,Dec.12,5.34,5.95
(주)유한양행,100,Dec.13,5.26,5.93
(주)유한양행,100,Dec.14,5.72,5.81
(주)유한양행,100,Dec.15,7.07,7.21
(주)유한양행,100,Dec.16,7.46,8.21
(주)유한양행,100,Dec.17,6.31,5.3
(주)유한양행,100,Dec.18,4.37,2.73
(주)유한양행,100,Dec.19,2.8,1.71
(주)유한양행,100,Dec.20,9.49,8.44
(주)유한양행,100,Dec.21,5.25,4.02
(주)한섬,20000,Dec.07,8.81,8.73
(주)한섬,20000,Dec.08,10.72,9.62
(주)한섬,20000,Dec.09,9.86,9.18
(주)한섬,20000,Dec.10,11.62,11.24
(주)한섬,20000,Dec.11,12.27,11.64
(주)한섬,20000,Dec.12,8.76,7.69
(주)한섬,20000,Dec.13,6.35,4.35
(주)한섬,20000,Dec.14,5.9,3.55
(주)한섬,20000,Dec.15,8.63,7.27
(주)한섬,20000,Dec.16,5.71,5.66
(주)한섬,20000,Dec.17,4.96,4.7
(주)한섬,20000,Dec.18,6.01,6.02
(주)한섬,20000,Dec.19,6.11,6.7
(주)한섬,20000,Dec.20,6.27,6.15
(주)한섬,20000,Dec.21,7.79,7.16
(주)한화,880,Dec.07,5.2,0.84
(주)한화,880,Dec.08,6.25,0.69
(주)한화,880,Dec.09,10.34,1.26
(주)한화,880,Dec.10,2.22,2.55
(주)한화,880,Dec.11,1.14,0.63
(주)한화,880,Dec.12,1.14,2.06
(주)한화,880,Dec.13,0.88,0.35
(주)한화,880,Dec.14,1.48,-0.14
(주)한화,880,Dec.15,0.51,0.09
(주)한화,880,Dec.16,1.38,0.86
(주)한화,880,Dec.17,2.1,0.83
(주)한화,880,Dec.18,3.73,0.48
(주)한화,880,Dec.19,1.28,0.13
(주)한화,880,Dec.20,1.68,0.4
(주)한화,880,Dec.21,1.7,1.1
(주)현대백화점,69960,Dec.07,8.49,8.1
(주)현대백화점,69960,Dec.08,9.74,9.37
(주)현대백화점,69960,Dec.09,9.45,9.24
(주)현대백화점,69960,Dec.10,6.86,8.92
(주)현대백화점,69960,Dec.11,8.15,9.14
(주)현대백화점,69960,Dec.12,6.01,7.2
(주)현대백화점,69960,Dec.13,5.71,6.14
(주)현대백화점,69960,Dec.14,5.4,5.16
(주)현대백화점,69960,Dec.15,4.4,4.73
(주)현대백화점,69960,Dec.16,4.6,5.04
(주)현대백화점,69960,Dec.17,4.1,4.52
(주)현대백화점,69960,Dec.18,7.19,4.18
(주)현대백화점,69960,Dec.19,3.52,3.33
(주)현대백화점,69960,Dec.20,1.67,1.29
(주)현대백화점,69960,Dec.21,2.32,2.64
고려산업(주),2140,Dec.07,3.74,3.45
고려산업(주),2140,Dec.08,-6.67,-6.13
고려산업(주),2140,Dec.09,8.26,8.26
고려산업(주),2140,Dec.10,5.41,5.25
고려산업(주),2140,Dec.11,3.44,3.5
고려산업(주),2140,Dec.12,3.51,5.69
고려산업(주),2140,Dec.13,2.62,3.2
고려산업(주),2140,Dec.14,5.65,5.94
고려산업(주),2140,Dec.15,3.27,3.42
고려산업(주),2140,Dec.16,3.34,4.18
고려산업(주),2140,Dec.17,3.24,2.89
고려산업(주),2140,Dec.18,1.65,1.87
고려산업(주),2140,Dec.19,2.1,2.25
고려산업(주),2140,Dec.20,2.99,3.2
고려산업(주),2140,Dec.21,1.33,1.99
금강철강(주),53260,Dec.07,6.56,6.56
금강철강(주),53260,Dec.08,4.74,4.74
금강철강(주),53260,Dec.09,7.43,7.43
금강철강(주),53260,Dec.10,6.74,6.02
금강철강(주),53260,Dec.11,8.39,7.7
금강철강(주),53260,Dec.12,5.84,6.66
금강철강(주),53260,Dec.13,5.58,5.94
금강철강(주),53260,Dec.14,4.75,4.53
금강철강(주),53260,Dec.15,4.95,5.21
금강철강(주),53260,Dec.16,4.48,4.23
금강철강(주),53260,Dec.17,2.32,2.25
금강철강(주),53260,Dec.18,3.51,3.99
금강철강(주),53260,Dec.19,3.4,3.25
금강철강(주),53260,Dec.20,1.9,2.07
금강철강(주),53260,Dec.21,6.49,7.04
대상홀딩스(주),84690,Dec.07,6.87,1.87
대상홀딩스(주),84690,Dec.08,4.31,1.01
대상홀딩스(주),84690,Dec.09,-0.13,0.68
대상홀딩스(주),84690,Dec.10,2.07,1.88
대상홀딩스(주),84690,Dec.11,2.6,4.82
대상홀딩스(주),84690,Dec.12,1.5,6.44
대상홀딩스(주),84690,Dec.13,1.22,6.29
대상홀딩스(주),84690,Dec.14,4.51,4.36
대상홀딩스(주),84690,Dec.15,2.44,2.27
대상홀딩스(주),84690,Dec.16,1.85,2.6
대상홀딩스(주),84690,Dec.17,2.79,2.22
대상홀딩스(주),84690,Dec.18,2.97,1.73
대상홀딩스(주),84690,Dec.19,0.33,5
대상홀딩스(주),84690,Dec.20,0.6,5.53
대상홀딩스(주),84690,Dec.21,0.82,4.27
대정화금(주),120240,Dec.07,5.93,5.93
대정화금(주),120240,Dec.08,7.79,7.79
대정화금(주),120240,Dec.09,13.07,13.07
대정화금(주),120240,Dec.10,9.58,9.58
대정화금(주),120240,Dec.11,10.12,10.12
대정화금(주),120240,Dec.12,5.26,5.26
대정화금(주),120240,Dec.13,12.43,12.43
대정화금(주),120240,Dec.14,6.93,6.93
대정화금(주),120240,Dec.15,7.7,7.7
대정화금(주),120240,Dec.16,7.08,7.08
대정화금(주),120240,Dec.17,6.53,6.53
대정화금(주),120240,Dec.18,8.33,8.33
대정화금(주),120240,Dec.19,4.33,4.33
대정화금(주),120240,Dec.20,5.71,5.71
대정화금(주),120240,Dec.21,5.21,5.21
대한제당(주),1790,Dec.07,2.08,1.05
대한제당(주),1790,Dec.08,0.63,0.46
대한제당(주),1790,Dec.09,2.37,1.53
대한제당(주),1790,Dec.10,0.82,0.63
대한제당(주),1790,Dec.11,0.65,1.21
대한제당(주),1790,Dec.12,2.48,1.81
대한제당(주),1790,Dec.13,0.76,0.65
대한제당(주),1790,Dec.14,0.14,0.42
대한제당(주),1790,Dec.15,-1.1,-1.13
대한제당(주),1790,Dec.16,3.34,1.64
대한제당(주),1790,Dec.17,0.73,0.91
대한제당(주),1790,Dec.18,0.67,0.85
대한제당(주),1790,Dec.19,1.53,1.27
대한제당(주),1790,Dec.20,1.71,1.98
대한제당(주),1790,Dec.21,1.34,1.71
대한제분(주),1130,Dec.07,4.73,4.09
대한제분(주),1130,Dec.08,-2.18,-1.83
대한제분(주),1130,Dec.09,9.09,7.46
대한제분(주),1130,Dec.10,5.53,5.79
대한제분(주),1130,Dec.11,0.35,0.64
대한제분(주),1130,Dec.12,3.42,3.64
대한제분(주),1130,Dec.13,1.95,2.05
대한제분(주),1130,Dec.14,3.34,4.1
대한제분(주),1130,Dec.15,2.92,3.81
대한제분(주),1130,Dec.16,2.87,3.11
대한제분(주),1130,Dec.17,2.01,5.86
대한제분(주),1130,Dec.18,4.96,5.74
대한제분(주),1130,Dec.19,0.4,1.77
대한제분(주),1130,Dec.20,0.79,1.99
대한제분(주),1130,Dec.21,9.95,7.26
세방전지(주),4490,Dec.07,5.94,5.94
세방전지(주),4490,Dec.08,22.31,22.31
세방전지(주),4490,Dec.09,17.84,17.84
세방전지(주),4490,Dec.10,16.78,16.78
세방전지(주),4490,Dec.11,16.13,16.13
세방전지(주),4490,Dec.12,13.18,13.18
세방전지(주),4490,Dec.13,8.53,8.53
세방전지(주),4490,Dec.14,6.83,6.83
세방전지(주),4490,Dec.15,8.25,7.85
세방전지(주),4490,Dec.16,6.17,6.01
세방전지(주),4490,Dec.17,6.02,5.97
세방전지(주),4490,Dec.18,7.97,8
세방전지(주),4490,Dec.19,5.95,5.64
세방전지(주),4490,Dec.20,4.61,4.41
세방전지(주),4490,Dec.21,6.08,5.33
에스케이텔레콤(주),17670,Dec.07,9.05,8.2
에스케이텔레콤(주),17670,Dec.08,6.95,4.68
에스케이텔레콤(주),17670,Dec.09,6.8,4.62
에스케이텔레콤(주),17670,Dec.10,9.98,7.63
에스케이텔레콤(주),17670,Dec.11,8.42,6.66
에스케이텔레콤(주),17670,Dec.12,5.81,4.47
에스케이텔레콤(주),17670,Dec.13,4.04,6.17
에스케이텔레콤(주),17670,Dec.14,4.52,6.6
에스케이텔레콤(주),17670,Dec.15,4.83,5.36
에스케이텔레콤(주),17670,Dec.16,5.01,5.54
에스케이텔레콤(주),17670,Dec.17,5.22,8.21
에스케이텔레콤(주),17670,Dec.18,3.43,8.26
에스케이텔레콤(주),17670,Dec.19,3.28,1.98
에스케이텔레콤(주),17670,Dec.20,2.42,3.24
에스케이텔레콤(주),17670,Dec.21,3.68,7.83
태경산업(주),15890,Dec.07,8.94,6.03
태경산업(주),15890,Dec.08,14.2,10.18
태경산업(주),15890,Dec.09,10.68,9.35
태경산업(주),15890,Dec.10,9.01,8.92
태경산업(주),15890,Dec.11,3.98,6.34
태경산업(주),15890,Dec.12,5.11,5.77
태경산업(주),15890,Dec.13,2.02,1.77
태경산업(주),15890,Dec.14,2.27,1.67
태경산업(주),15890,Dec.15,-3.85,-1.85
태경산업(주),15890,Dec.16,3.73,0.9
태경산업(주),15890,Dec.17,3.91,1.59
