,roa,cashflow,g,lvrg,주식수익률,시장가치대장부가치비율,주식수익률변동성,roa변동성,외국인지분율,dps,시가배당률,dy변화,price
0,1.92,0.051375141,19.61,0.542921834,-0.101361573,0.265360489,0.027951668,0.373229152,0.98,200,6.73,0.333114362,2970
1,0.9,-0.010534444,8.16,0.577845344,0.533670034,0.409487089,0.124570818,0.55148285,2.69,200,4.39,-0.360563478,4555
2,2.23,0.029788524,3.54,0.56390578,0.121844127,0.443550521,0.049627916,0.510294033,0.53,200,3.91,-0.093271443,5110
3,2.86,0.049129968,5.69,0.556690309,0.771037182,0.750954967,0.048862436,0.695868762,2.65,200,2.21,-0.425003005,9050
4,5.86,0.050456766,0.76,0.526611519,0.232044199,0.822974079,0.093275167,1.000616477,3.46,200,1.79,-0.140229341,11150
5,1.66,0.077911329,3.75,0.515487695,-0.233183857,0.619066293,0.048609062,1.93966492,3.68,200,2.34,0.179929211,8550
6,5.07,0.056329304,15.13,0.494726419,0.015204678,0.580993668,0.027597566,2.163330765,4.4,250,2.88,0.149864347,8680
7,2.12,0.023020402,11.48,0.493277581,-0.051843318,0.535155007,0.056812333,2.232046893,5.18,250,3.04,0.040409538,8230
8,3.06,0.094428979,5.32,0.486135973,-0.009720535,0.50599521,0.032814957,1.850324296,5.67,275,3.37,0.078518317,8150
9,2.78,0.059870652,-0.7,0.499201241,0.21595092,0.594070498,0.060849148,1.506994802,6.5,275,2.77,-0.147688008,9910
10,2.16,0.035441041,13.69,0.485583325,0.503531786,0.864370828,0.092158607,0.482631675,5.34,275,1.85,-0.279756007,14900
11,1.14,0.033070802,19.14,0.586634291,-0.267928287,0.37118728,0.052223494,2.526050936,1.46,50,1.36,0.165514438,3675
12,-0.24,0.038521534,-8.99,0.584441515,0.540136054,0.582906548,0.076352846,0.419563265,1.77,50,0.88,-0.227389842,5660
13,-0.17,0.059388451,9.07,0.608985641,0.060070671,0.630116977,0.033127821,0.692411246,1.85,50,0.83,-0.02695581,6000
14,0.78,-0.04170826,-1.84,0.674124836,0.641666667,1.014435381,0.051636604,0.777324471,1.88,60,0.61,-0.128081788,9850
15,0.51,0.022408239,-3.28,0.661300188,-0.069035533,0.93336001,0.047378021,0.569766034,1.82,50,0.55,-0.037979248,9170
16,-2.65,0.000521626,0.33,0.677542205,-0.220283533,0.788558116,0.037371368,0.489523578,1.65,40,0.56,0.00643089,7150
17,1.41,0.014567022,4.22,0.700396646,0.342657343,1.040625387,0.047285658,1.907153201,2.76,60,0.63,0.037740328,9600
18,0.19,0.0051097,7.32,0.718520493,-0.460416667,0.565102839,0.072869412,2.132260147,2.52,50,0.97,0.195607394,5180
19,0.38,0.089240964,27.21,0.729727613,0.096525097,0.610366433,0.057300132,2.08317066,4.39,60,1.06,0.04467244,5680
20,2.39,0.075488958,7.54,0.650272817,0.200704225,0.492923805,0.081734922,0.656429737,2.23,80,1.17,0.052021185,6820
