,종목명,시장구분,사업연도,업종별 배당률,액면가,주당배당금,시가배당률,배당성향,기말주식수,총배당금액,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액
0,AJ네트웍스,KOSPI,2010,,,,,,,,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
1,AJ네트웍스,KOSPI,2011,,,,,,,,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
2,AJ네트웍스,KOSPI,2012,,,,,,,,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
3,AJ네트웍스,KOSPI,2013,,,,,,,,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
4,AJ네트웍스,KOSPI,2014,,,,,,,,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
5,AJ네트웍스,KOSPI,2015,0.84,5000,,,,9364459.0,,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
6,AJ네트웍스,KOSPI,2016,1.3,5000,60.0,1.0,16.449,9364459.0,2809337700.0,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
7,AJ네트웍스,KOSPI,2017,0.81,1000,86.0,1.2,19.503,46822295.0,4026717370.0,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
8,AJ네트웍스,KOSPI,2018,1.23,1000,100.0,2.3,8.715,46822295.0,4682229500.0,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
9,AJ네트웍스,KOSPI,2019,1.04,1000,300.0,6.1,33.342,46822295.0,14046688500.0,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
10,AJ네트웍스,KOSPI,2020,0.68,1000,210.0,4.6,-296.433,46822295.0,9832681950.0,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
11,AJ네트웍스,KOSPI,2021,0.43,1000,270.0,5.0,15.752,46822295.0,12087310320.0,6820,60,0.89,6740,6880,6640,46495,313949850,319328051900
12,AK홀딩스,KOSPI,2010,1.03,5000,1500.0,4.2,17.466,6000000.0,8534115000.0,15800,250,1.61,15700,15950,15600,7263,114747200,209311463800
13,AK홀딩스,KOSPI,2011,1.28,5000,750.0,2.1,21.538,8900000.0,6442057500.0,15800,250,1.61,15700,15950,15600,7263,114747200,209311463800
14,AK홀딩스,KOSPI,2012,1.46,5000,150.0,0.67,0.89,7458917.0,1604657100.0,15800,250,1.61,15700,15950,15600,7263,114747200,209311463800
15,AK홀딩스,KOSPI,2013,1.3,5000,200.0,0.5,2.086,11647561.0,2259099000.0,15800,250,1.61,15700,15950,15600,7263,114747200,209311463800
