,종목명,현금배당_시가배당률2010,현금배당_시가배당률2011,현금배당_시가배당률2012,현금배당_시가배당률2013,현금배당_시가배당률2014,현금배당_시가배당률2015,현금배당_시가배당률2016,현금배당_시가배당률2017,현금배당_시가배당률2018,현금배당_시가배당률2019,현금배당_시가배당률2020,현금배당_시가배당률2021
0,금강철강,4.1,3.6,4,3.9,3.5,2.5,1.8,2.6,2.5,2.8,2.9,2.3
1,LS,1,1.6,1.4,1.5,2.2,2.9,2.1,1.8,2.5,3,2,2.7
2,LF,1.3,0.71,1.25,1.3,1.6,1.9,2.3,1.6,2,2.7,3.4,3.5
3,NI스틸,2.13,2.74,2.9,2.74,2.12,1.91,1.64,1.69,2.18,2.24,1.97,2.24
4,삼천리,1.8,3.3,2.4,2.3,1.4,2.4,2.5,2.6,3.3,3.5,3.7,3.3
5,태경케미컬,3.3,4.3,3.3,2.8,2.6,2.4,2.8,3.2,3.2,2.9,1.4,1.8
6,노루페인트,4.5,6.6,4.3,3.8,2.4,1.8,2.3,2.82,2.91,3.31,3,2.2
7,SK텔레콤,5.2,6.2,6.16,4.09,3.51,4.3,4.3,3.6,3.7,4.1,4.1,5.3
8,대한제분,2,2.3,1.8,1.3,1.6,1.08,1.1,1.21,1.4,1.4,1.3,1.6
9,한화,1.3,1.3,1.3,1,1.6,1.2,1.7,1.5,2.2,2.8,2.57,2.35
10,고려산업,2.9,4.3,2.9,2.2,2.2,1.5,0.5,1.3,1.3,0.9,0.9,1.4
11,대상홀딩스,4.5,3.7,1.9,1.4,1,0.9,1.6,1.8,2.4,2.9,2.1,2.5
12,현대백화점,0.5,0.4,0.4,0.4,0.6,0.5,0.6,0.8,1,1.2,1.4,1.5
13,대동,1,1.3,0.9,0.8,0.8,0.5,0.57,0.6,1,1.1,1.2,0.8
14,유한양행,0.6,0.9,0.7,0.8,1,0.7,1,0.9,0.9,0.8,0.5,0.61
15,태경산업,3.1,4.5,4.4,3.1,2.5,3.1,4.1,3.7,3.9,3.7,4,4
16,유니드,2,1.4,2,1.7,1.9,2.4,2.4,2.4,2.5,2.5,2.9,1.7
17,대한제당,1.63,1.52,2.45,1.8,2.22,2.2,2.7,2.2,2.79,3.38,3.86,3.64
18,대정화금,3.9,2.9,3.2,2.4,2.6,2,2,2.2,2.3,2,0.8,1.4
19,한섬,2.17,1.62,1.03,1,1,0.8,0.9,1.1,1.1,1.5,1.5,1.7
20,세방전지,0.93,0.79,0.73,0.6,0.75,0.85,0.92,1.1,1.33,1.36,0.84,0.8
