종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3130","-10","-0.32","3085","3140","3070","193365","599842595","144829835690","46271513"
"095570","AJ네트웍스","KOSPI",,"6840","20","0.29","6800","6900","6700","92206","627605620","320264497800","46822295"
"006840","AK홀딩스","KOSPI",,"19100","-600","-3.05","19300","19350","18700","40965","777349950","253028415100","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","11700","-250","-2.09","11900","11900","11600","29075","341099700","238612385700","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","21400","-550","-2.51","21300","21600","21300","115405","2475387850","327022409400","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","18500","2350","14.55","15700","18500","15400","1215791","20975021350","279022624000","15082304"
"027410","BGF","KOSPI",,"4985","-145","-2.83","5050","5050","4975","150272","750595380","477148203135","95716791"
"282330","BGF리테일","KOSPI",,"184000","-3000","-1.60","181500","188000","178000","66291","12195398000","3180238704000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"7540","-180","-2.33","7580","7600","7520","1077000","8137772520","2457551754840","325935246"
"001460","BYC","KOSPI",,"448000","9500","2.17","431500","448000","427500","483","212332500","279827520000","624615"
"001465","BYC우","KOSPI",,"174500","-500","-0.29","174000","174500","172000","116","20066500","37584682500","215385"
"013720","CBI","KOSDAQ","벤처기업부","2070","-55","-2.59","2020","2110","2010","437078","893022780","140056266240","67660032"
"001040","CJ","KOSPI",,"81000","-2100","-2.53","82000","82000","80000","69603","5629287000","2363336838000","29176998"
"079160","CJ CGV","KOSPI",,"26250","0","0.00","25650","26350","25550","155532","4052577650","1072181932500","40845026"
"035760","CJ ENM","KOSDAQ","우량기업부","105000","-2000","-1.87","105000","105700","104100","56661","5938030600","2302561170000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","35100","-400","-1.13","35200","36450","34500","6196","215745650","206341387200","5878672"
"00104K","CJ4우(전환)","KOSPI",,"73000","-800","-1.08","72200","73000","71700","4789","345320000","308535376000","4226512"
"000120","CJ대한통운","KOSPI",,"125500","-7000","-5.28","131000","131000","125500","76344","9663139000","2862949172000","22812344"
"011150","CJ씨푸드","KOSPI",,"3950","-80","-1.99","3985","3995","3890","207504","820499620","141926553350","35930773"
"011155","CJ씨푸드1우","KOSPI",,"33300","-50","-0.15","33450","33450","32150","282","9209650","6660000000","200000"
"001045","CJ우","KOSPI",,"51100","-700","-1.35","51800","51800","50500","1658","84256200","115497395300","2260223"
"097950","CJ제일제당","KOSPI",,"396000","-11500","-2.82","400500","402000","392000","52950","20997485500","5961457656000","15054186"
"097955","CJ제일제당 우","KOSPI",,"177500","-2500","-1.39","178500","179000","176500","1125","199625500","235619357500","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","38200","-350","-0.91","37350","38500","37000","94856","3581599900","453494585200","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","3015","-40","-1.31","3030","3035","2985","423457","1271568625","418760115660","138892244"
"023460","CNH","KOSDAQ","중견기업부","2265","-25","-1.09","2250","2265","2195","33140","73863500","84258000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","3100","0","0.00","0","0","0","0","0","109591063600","35351956"
"065770","CS","KOSDAQ","벤처기업부","2780","-40","-1.42","2720","2890","2720","625618","1747364945","53962941400","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1955","0","0.00","1910","1955","1830","176662","332755045","77127082315","39451193"
"000590","CS홀딩스","KOSPI",,"63800","-1100","-1.69","64200","64200","63700","1022","65338300","73655951600","1154482"
"012030","DB","KOSPI",,"966","-13","-1.33","963","970","959","173140","167136774","194334019278","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2155","-15","-0.69","2180","2180","2150","26187","56337720","12585200000","5840000"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2170","0","0.00","2170","2170","2150","15192","32706040","13128500000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2175","0","0.00","2175","2175","2150","6812","14731740","10527000000","4840000"
"016610","DB금융투자","KOSPI",,"5860","-110","-1.84","5900","5900","5820","44731","261644090","248735839540","42446389"
"005830","DB손해보험","KOSPI",,"62900","-800","-1.26","63100","63800","62200","122520","7714781500","4453320000000","70800000"
"000990","DB하이텍","KOSPI",,"73600","-600","-0.81","71700","74200","71400","1081999","78879757500","3267736076800","44398588"
"000995","DB하이텍1우","KOSPI",,"103500","500","0.49","102500","103500","102500","371","38335500","11624706000","112316"
"139130","DGB금융지주","KOSPI",,"8520","-220","-2.52","8610","8650","8520","629038","5392307660","1441122497160","169145833"
"001530","DI동일","KOSPI",,"24500","-250","-1.01","24000","24850","23650","548473","12983746650","626422615000","25568270"
"000210","DL","KOSPI",,"62400","-100","-0.16","61600","62600","60700","58546","3602213600","1307647161600","20955884"
"001880","DL건설","KOSPI",,"22750","-750","-3.19","23000","23150","22650","31722","723775200","501712211000","22053284"
"000215","DL우","KOSPI",,"39700","-150","-0.38","39850","39850","39150","1218","47964500","66938765500","1686115"
