회사명,회계년도,주식수익률변동성
LF,2010,0.04556623437339227
LF,2011,0.0655863051470813
LF,2012,0.0517278782245113
LF,2013,0.034562329046223444
LF,2014,0.031161695469551557
LF,2015,0.035532246353745245
LF,2016,0.030034290076990936
LF,2017,0.035907176375163274
LF,2018,0.03849110763995881
LF,2019,0.04052743487956489
LF,2020,0.05560707215573526
LF,2021,0.03502644294515724
LS,2010,0.0433684560377072
LS,2011,0.05502029971510561
LS,2012,0.03564822530576504
LS,2013,0.03359413746094158
LS,2014,0.03257587683359745
LS,2015,0.05388755838086083
LS,2016,0.04330322603844484
LS,2017,0.03615810439345695
LS,2018,0.04548647908460569
LS,2019,0.04543544759453068
LS,2020,0.08809820425992737
LS,2021,0.04234351329002207
NI스틸,2010,0.053696919714125296
NI스틸,2011,0.04355057297037241
NI스틸,2012,0.04564560157194921
NI스틸,2013,0.02370723836254011
NI스틸,2014,0.06716651527439153
NI스틸,2015,0.04498980528735332
NI스틸,2016,0.030236107722484237
NI스틸,2017,0.051367239944232666
NI스틸,2018,0.04450668765348153
NI스틸,2019,0.03997861422928189
NI스틸,2020,0.06660970702957537
NI스틸,2021,0.08757699163725786
SK텔레콤,2010,0.023567667190226384
SK텔레콤,2011,0.03830082601920901
SK텔레콤,2012,0.03209144277135639
SK텔레콤,2013,0.03853463317600562
SK텔레콤,2014,0.03567125442369504
SK텔레콤,2015,0.034362967731645475
SK텔레콤,2016,0.029136708204119087
SK텔레콤,2017,0.027272516275704352
SK텔레콤,2018,0.031809890555201545
SK텔레콤,2019,0.0215574172292858
SK텔레콤,2020,0.04062444955667626
SK텔레콤,2021,0.040676227235368574
고려산업,2010,0.04426388992836965
고려산업,2011,0.07282531736931273
고려산업,2012,0.0560524118914561
고려산업,2013,0.04124575281656486
고려산업,2014,0.08724773317473615
고려산업,2015,0.06751798539619898
고려산업,2016,0.17281366261349224
고려산업,2017,0.10232909695877075
고려산업,2018,0.06318047134329466
고려산업,2019,0.10200669529135979
고려산업,2020,0.12195059114671856
고려산업,2021,0.059823137680352675
금강철강,2010,0.035287406215737525
금강철강,2011,0.08070159239905342
금강철강,2012,0.03456301624278637
금강철강,2013,0.018658818766097058
금강철강,2014,0.028364054705179376
금강철강,2015,0.07078788978805525
금강철강,2016,0.060198688721710476
금강철강,2017,0.03677159814329534
금강철강,2018,0.046556555497432636
금강철강,2019,0.028219347496730763
금강철강,2020,0.03794420081949932
금강철강,2021,0.11725714939930738
노루페인트,2010,0.039415955359680094
노루페인트,2011,0.027951668107860463
노루페인트,2012,0.1245708178702053
노루페인트,2013,0.04962791596209414
노루페인트,2014,0.04886243566813205
노루페인트,2015,0.0932751669781928
노루페인트,2016,0.048609062248387486
