,종목명,종목코드
0,AJ네트웍스,'095570
1,AP시스템,'265520
2,BGF,'027410
3,BGF리테일,'282330
4,BNK금융지주,'138930
5,CJ,'001040
6,CJ ENM,'035760
7,CJ제일제당,'097950
8,DB손해보험,'005830
9,DB하이텍,'000990
10,DGB금융지주,'139130
11,DL,'000210
12,DL건설,'001880
13,DN오토모티브,'007340
14,DRB동일,'004840
15,DSR,'155660
16,E1,'017940
17,GST,'083450
18,GS건설,'006360
19,GS리테일,'007070
20,HB테크놀러지,'078150
21,HDC,'012630
22,HDC현대산업개발,'294870
23,ISC,'095340
24,JB금융지주,'175330
25,JW중외제약,'001060
26,JYP Ent.,'035900
27,KB금융,'105560
28,KCI,'036670
29,KC그린홀딩스,'009440
30,KG ETS,'151860
31,KG모빌리언스,'046440
32,KG이니시스,'035600
33,KG케미칼,'001390
34,KNN,'058400
35,KSS해운,'044450
36,KTcs,'058850
37,KT서브마린,'060370
38,LF,'093050
39,LG,'003550
40,LG생활건강,'051900
41,LG유플러스,'032640
42,LG이노텍,'011070
43,LG전자,'066570
44,LG헬로비전,'037560
45,LG화학,'051910
46,LS,'006260
47,LS전선아시아,'229640
48,LX세미콘,'108320
49,LX인터내셔널,'001120
50,LX하우시스,'108670
51,NAVER,'035420
52,NH투자증권,'005940
53,NICE,'034310
54,NICE평가정보,'030190
55,NI스틸,'008260
56,PI첨단소재,'178920
57,POSCO홀딩스,'005490
58,RFHIC,'218410
59,S-Oil,'010950
60,SCI평가정보,'036120
61,SIMPAC,'009160
62,SK,'034730
63,SKC,'011790
64,SK가스,'018670
65,SK네트웍스,'001740
66,SK디스커버리,'006120
67,SK증권,'001510
68,SK케미칼,'285130
69,SK텔레콤,'017670
70,SK하이닉스,'000660
71,SNT에너지,'100840
72,SNT중공업,'003570
73,SPC삼립,'005610
74,TCC스틸,'002710
75,TS인베스트먼트,'246690
76,가온미디어,'078890
77,가온전선,'000500
78,갤럭시아머니트리,'094480
79,경남스틸,'039240
80,경농,'002100
81,경동나비엔,'009450
82,경동도시가스,'267290
83,경동제약,'011040
84,경인양행,'012610
85,고려산업,'002140
86,고려시멘트,'198440
87,고려신용정보,'049720
88,고려아연,'010130
89,고영,'098460
90,골프존,'215000
91,골프존뉴딘홀딩스,'121440
92,광동제약,'009290
93,광명전기,'017040
94,구영테크,'053270
95,국도화학,'007690
96,국순당,'043650
97,그래디언트,'035080
98,그린케미칼,'083420
99,극동유화,'014530
100,금강공업,'014280
101,금강철강,'053260
102,금호건설,'002990
103,기아,'000270
104,기업은행,'024110
105,까뮤이앤씨,'013700
106,나노신소재,'121600
107,나라엠앤디,'051490
108,남성,'004270
109,남해화학,'025860
110,네오셈,'253590
111,넥센타이어,'002350
112,노루페인트,'090350
113,노바렉스,'194700
114,노바텍,'285490
115,녹십자,'006280
116,녹십자웰빙,'234690
117,녹십자홀딩스,'005250
118,농심,'004370
119,농우바이오,'054050
120,다올투자증권,'030210
121,다우기술,'023590
122,다우데이타,'032190
123,다원시스,'068240
124,대덕,'008060
125,대동,'000490
126,대동기어,'008830
127,대륙제관,'004780
128,대봉엘에스,'078140
129,대상,'001680
130,대상홀딩스,'084690
131,대성에너지,'117580
132,대성홀딩스,'016710
133,대신증권,'003540
134,대양전기공업,'108380
135,대웅,'003090
136,대웅제약,'069620
137,대원제약,'003220
138,대정화금,'120240
139,대주산업,'003310
140,대창단조,'015230
141,대한유화,'006650
142,대한제강,'084010
143,대한제당,'001790
144,대한제분,'001130
145,대현,'016090
146,더블유게임즈,'192080
147,더존비즈온,'012510
148,덕성,'004830
149,덕우전자,'263600
150,도화엔지니어링,'002150
151,동구바이오제약,'006620
152,동국S&C,'100130
153,동국알앤에스,'075970
154,동국제약,'086450
155,동방아그로,'007590
156,동부건설,'005960
157,동서,'026960
158,동성화인텍,'033500
159,동아쏘시오홀딩스,'000640
160,동아에스티,'170900
161,동아지질,'028100
162,동아화성,'041930
163,동양,'001520
164,동양생명,'082640
165,동운아나텍,'094170
166,동원F&B,'049770
167,동원개발,'013120
168,동원산업,'006040
169,동원시스템즈,'014820
170,동일고무벨트,'163560
171,동일산업,'004890
172,동진쎄미켐,'005290
173,동화약품,'000020
174,두산,'000150
175,두올,'016740
176,드림텍,'192650
177,디스플레이텍,'066670
178,디씨엠,'024090
179,디와이,'013570
180,디와이파워,'210540
181,디와이피엔에프,'104460
182,디지틀조선,'033130
183,디케이락,'105740
184,러셀,'217500
185,롯데쇼핑,'023530
186,롯데정밀화학,'004000
187,롯데정보통신,'286940
188,롯데제과,'280360
189,롯데지주,'004990
190,롯데케미칼,'011170
191,리노공업,'058470
192,리드코프,'012700
193,매일유업,'267980
194,매커스,'093520
195,메가스터디교육,'215200
196,메리츠금융지주,'138040
197,메리츠증권,'008560
198,메리츠화재,'000060
199,무림P&P,'009580
200,무림페이퍼,'009200
201,문배철강,'008420
202,미래에셋벤처투자,'100790
203,미래에셋증권,'006800
204,미스터블루,'207760
205,바디텍메드,'206640
206,바텍,'043150
207,백광산업,'001340
208,백산,'035150
209,베뉴지,'019010
210,보광산업,'225530
211,보락,'002760
212,보령,'003850
213,부광약품,'003000
214,부산산업,'011390
215,뷰웍스,'100120
216,브이원텍,'251630
217,비엠티,'086670
218,비츠로테크,'042370
219,비트컴퓨터,'032850
220,빙그레,'005180
221,사람인에이치알,'143240
222,사조대림,'003960
223,사조산업,'007160
224,사조오양,'006090
225,삼륭물산,'014970
226,삼성SDI,'006400
227,삼성물산,'028260
228,삼성생명,'032830
229,삼성에스디에스,'018260
230,삼성전기,'009150
231,삼성전자,'005930
232,삼성증권,'016360
233,삼성출판사,'068290
234,삼성카드,'029780
235,삼아알미늄,'006110
236,삼양사,'145990
237,삼양식품,'003230
238,삼양홀딩스,'000070
239,삼익THK,'004380
240,삼일제약,'000520
241,삼지전자,'037460
242,삼진제약,'005500
243,삼천리,'004690
244,삼표시멘트,'038500
245,삼현철강,'017480
246,삼호개발,'010960
247,삼화왕관,'004450
248,상신브레이크,'041650
249,상신이디피,'091580
250,상아프론테크,'089980
251,샘표,'007540
252,샘표식품,'248170
253,서린바이오,'038070
254,서암기계공업,'100660
255,서연,'007860
256,서연이화,'200880
257,서울바이오시스,'092190
258,서울반도체,'046890
259,서희건설,'035890
260,선광,'003100
261,선진,'136490
262,성광벤드,'014620
263,성도이엔지,'037350
264,성보화학,'003080
265,성신양회,'004980
266,성우하이텍,'015750
267,세경하이테크,'148150
268,세방,'004360
269,세방전지,'004490
270,세보엠이씨,'011560
271,세아베스틸지주,'001430
272,세아제강,'306200
273,세아제강지주,'003030
274,세운메디칼,'100700
275,세종공업,'033530
276,송원산업,'004430
277,스틱인베스트먼트,'026890
278,시공테크,'020710
279,시디즈,'134790
280,신성델타테크,'065350
281,신세계,'004170
282,신세계인터내셔날,'031430
283,신세계푸드,'031440
284,신송홀딩스,'006880
285,신일전자,'002700
286,신일제약,'012790
287,신한지주,'055550
288,신흥에스이씨,'243840
289,심텍,'222800
290,심텍홀딩스,'036710
291,싸이맥스,'160980
292,쎄트렉아이,'099320
293,씨에스윈드,'112610
294,씨젠,'096530
295,씨티케이,'260930
296,아바코,'083930
297,아비코전자,'036010
298,아세아시멘트,'183190
299,아세아제지,'002310
300,아이디스,'143160
301,아이마켓코리아,'122900
302,아이센스,'099190
303,아이에스동서,'010780
304,아이윈,'090150
305,아주IB투자,'027360
306,아진엑스텍,'059120
307,아프리카TV,'067160
308,안랩,'053800
309,알서포트,'131370
310,애경산업,'018250
311,애경케미칼,'161000
312,액트로,'290740
313,어보브반도체,'102120
314,에너토크,'019990
315,에스넷,'038680
316,에스씨디,'042110
317,에스앤에스텍,'101490
318,에스에이엠티,'031330
319,에스에프에이,'056190
320,에스엠코어,'007820
321,에스원,'012750
322,에스제이그룹,'306040
323,에스티아이,'039440
324,에스퓨얼셀,'288620
325,에스피지,'058610
326,에이텍,'045660
327,에이티넘인베스트,'021080
328,에코마케팅,'230360
329,에코프로,'086520
330,에코프로비엠,'247540
331,에코플라스틱,'038110
332,에프에스티,'036810
333,엑시콘,'092870
334,엔브이에이치코리아,'067570
335,엔씨소프트,'036570
336,엘비세미콘,'061970
337,엘앤씨바이오,'290650
338,엠씨넥스,'097520
339,엠아이텍,'179290
340,엠케이전자,'033160
341,연우,'115960
342,영원무역,'111770
343,영원무역홀딩스,'009970
344,영풍,'000670
345,영풍제지,'006740
346,영화테크,'265560
347,예스24,'053280
348,오뚜기,'007310
349,오로라,'039830
350,오리온,'271560
351,오리온홀딩스,'001800
352,오션브릿지,'241790
353,오이솔루션,'138080
354,오텍,'067170
355,오픈베이스,'049480
356,와이솔,'122990
357,우리금융지주,'316140
358,우리산업,'215360
359,우리산업홀딩스,'072470
360,우리손에프앤지,'073560
361,우성,'006980
362,우주일렉트로,'065680
363,우진,'105840
364,원익머트리얼즈,'104830
365,월덱스,'101160
366,웹케시,'053580
367,위닉스,'044340
368,위메이드,'112040
369,윈스,'136540
370,유니드,'014830
371,유니셈,'036200
372,유니온,'000910
373,유니퀘스트,'077500
374,유비케어,'032620
375,유비쿼스,'264450
376,유유제약,'000220
377,유진기업,'023410
378,유진테크,'084370
379,유한양행,'000100
380,이건홀딩스,'039020
381,이구산업,'025820
