변환,원자료,원자료
"2010/12","","3.94"
"2011/01","","4.17"
"2011/02","","4.42"
"2011/03","","4.47"
"2011/04","","4.41"
"2011/05","","4.40"
"2011/06","","4.33"
"2011/07","","4.33"
"2011/08","","4.19"
"2011/09","","4.14"
"2011/10","","4.25"
"2011/11","","4.26"
"2011/12","","4.21"
"2012/01","4.05","4.06"
"2012/02","4.00","4.10"
"2012/03","4.01","4.11"
"2012/04","4.01","4.12"
"2012/05","3.92","3.95"
"2012/06","3.91","3.85"
"2012/07","3.70","3.78"
"2012/08","3.41","3.31"
"2012/09","3.44","3.34"
"2012/10","3.38","3.43"
"2012/11","3.28","3.43"
"2012/12","3.36","3.49"
"2013/01","3.25","3.36"
"2013/02","3.15","3.22"
"2013/03","3.04","3.11"
"2013/04","2.94","3.00"
"2013/05","2.82","2.86"
"2013/06","2.83","2.91"
"2013/07","2.80","2.89"
"2013/08","2.78","2.85"
"2013/09","2.79","2.88"
"2013/10","2.76","2.86"
"2013/11","2.75","2.88"
"2013/12","2.81","2.95"
"2014/01","2.76","2.89"
"2014/02","2.74","2.90"
"2014/03","2.72","2.78"
"2014/04","2.71","2.79"
"2014/05","2.69","2.77"
"2014/06","2.68","2.80"
"2014/07","2.57","2.65"
"2014/08","2.43","2.47"
"2014/09","2.36","2.46"
"2014/10","2.27","2.32"
"2014/11","2.22","2.30"
"2014/12","2.26","2.33"
"2015/01","2.18","2.28"
"2015/02","2.11","2.16"
"2015/03","2.01","2.07"
"2015/04","1.84","1.89"
"2015/05","1.78","1.85"
"2015/06","1.73","1.80"
"2015/07","1.63","1.63"
"2015/08","1.61","1.66"
"2015/09","1.61","1.63"
"2015/10","1.64","1.66"
"2015/11","1.73","1.75"
"2015/12","1.81","1.86"
"2016/01","1.72","1.73"
"2016/02","1.65","1.66"
"2016/03","1.62","1.58"
"2016/04","1.64","1.59"
"2016/05","1.61","1.61"
"2016/06","1.52","1.57"
"2016/07","1.38","1.44"
"2016/08","1.36","1.36"
"2016/09","1.41","1.40"
"2016/10","1.48","1.48"
"2016/11","1.61","1.57"
"2016/12","1.66","1.69"
"2017/01","1.58","1.66"
"2017/02","1.56","1.58"
"2017/03","1.58","1.59"
"2017/04","1.56","1.58"
"2017/05","1.56","1.60"
"2017/06","1.58","1.64"
"2017/07","1.56","1.62"
"2017/08","1.60","1.73"
"2017/09","1.67","1.86"
"2017/10","1.79","1.95"
"2017/11","1.96","2.07"
"2017/12","1.91","2.19"
"2018/01","1.93","2.07"
"2018/02","1.95","2.16"
"2018/03","2.02","2.16"
"2018/04","2.00","2.11"
"2018/05","2.00","2.10"
"2018/06","2.00","2.11"
"2018/07","1.97","2.09"
"2018/08","1.97","2.01"
"2018/09","2.01","2.05"
"2018/10","2.06","2.09"
"2018/11","2.15","2.16"
"2018/12","2.17","2.27"
"2019/01","2.14","2.14"
"2019/02","2.07","2.05"
"2019/03","2.05","2.05"
"2019/04","1.99","2.05"
"2019/05","1.97","2.01"
"2019/06","1.90","1.94"
"2019/07","1.81","1.83"
"2019/08","1.61","1.61"
"2019/09","1.64","1.72"
"2019/10","1.62","1.72"
"2019/11","1.70","1.81"
"2019/12","1.69","1.73"
"2020/01","1.62","1.73"
"2020/02","1.51","1.54"
"2020/03","1.37","1.43"
"2020/04","1.34","1.41"
"2020/05","1.19","1.28"
"2020/06","1.02","1.06"
"2020/07","0.94","0.99"
"2020/08","0.91","0.92"
"2020/09","1.00","0.96"
"2020/10","1.00","1.02"
"2020/11","1.02","1.03"
"2020/12","1.02","1.00"
"2021/01","0.97","1.01"
"2021/02","0.94","1.00"
"2021/03","0.94","1.02"
"2021/04","0.93","1.04"
"2021/05","0.92","1.07"
"2021/06","1.06","1.13"
"2021/07","1.10","1.24"
"2021/08","1.16","1.36"
"2021/09","1.31","1.30"
"2021/10","1.46","1.67"
"2021/11","1.72","1.91"
"2021/12","1.79","1.99"
"2022/01","1.83","1.83"
"2022/02","1.91","1.98"
"2022/03","1.93","2.11"
"2022/04","2.10","2.36"
"2022/05","2.22","2.39"
